,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,288.291,196.658,952.0,284.633,194.087,949.0,279.925,193.473,962.0,275.449,194.829,978.0,272.495,197.782,978.0,275.829,198.983,981.0,280.239,199.072,973.0,284.685,198.091,962.0,309.974,195.06,978.0,313.178,192.149,984.0,317.967,190.803,987.0,322.774,191.501,995.0,326.062,193.933,1001.0,322.788,195.575,993.0,318.32,196.253,987.0,313.793,195.944,981.0,288.124,182.984,959.0,280.166,181.965,981.0,271.289,182.605,984.0,266.267,186.431,984.0,263.584,191.303,984.0,265.535,192.308,981.0,268.657,188.846,981.0,272.829,186.697,981.0,280.127,186.275,970.0,287.459,186.773,952.0,307.75,181.422,987.0,315.869,179.273,995.0,325.181,178.623,1010.0,331.12,181.778,1022.0,334.27,185.904,0.0,332.489,187.265,1016.0,328.992,184.456,1013.0,324.109,183.024,1004.0,316.522,183.59,993.0,308.812,185.127,987.0,294.029,195.913,962.0,293.715,201.772,968.0,291.861,206.986,962.0,288.473,211.506,965.0,289.816,216.688,968.0,296.207,215.813,970.0,301.326,215.414,976.0,308.614,215.354,981.0,309.648,210.124,978.0,306.061,206.09,976.0,304.214,200.959,976.0,303.719,195.201,976.0,286.8,231.942,968.0,290.25,227.758,965.0,294.925,224.332,973.0,299.437,224.898,976.0,303.978,223.668,978.0,309.028,226.237,984.0,313.147,229.768,995.0,310.029,231.617,990.0,305.635,233.133,978.0,299.899,234.045,970.0,294.173,234.153,968.0,289.92,233.378,968.0,290.729,230.999,965.0,294.377,229.321,970.0,299.549,228.739,973.0,304.902,228.488,978.0,309.15,229.411,987.0,304.732,228.381,978.0,299.544,228.645,973.0,294.563,229.245,970.0,261.028,200.4,987.0,261.584,209.587,987.0,263.285,218.631,990.0,265.476,227.378,995.0,268.474,235.497,998.0,272.706,242.417,1044.0,277.88,247.31,1044.0,284.101,251.459,1037.0,291.803,254.302,1040.0,301.226,255.104,1047.0,310.461,252.945,1060.0,318.613,248.924,1076.0,325.113,243.354,1086.0,330.265,236.875,1148.0,333.86,228.906,0.0,335.914,220.519,0.0,337.245,211.905,0.0,337.816,203.318,0.0,337.37,193.982,0.0,280.193,196.622,973.0,318.107,193.902,987.0,299.001,212.247,973.0,288.81,179.132,962.0,280.401,178.097,981.0,269.864,178.997,990.0,263.035,183.939,990.0,259.791,189.502,990.0,306.854,177.704,993.0,315.421,175.481,998.0,326.399,174.863,1016.0,334.099,178.847,1031.0,337.759,183.53,0.0,0
2,291.219,194.493,1050.0,287.946,192.389,1056.0,283.859,191.894,1063.0,279.929,193.106,1066.0,277.236,195.708,1066.0,280.292,196.636,1066.0,284.156,196.681,1060.0,288.043,195.822,1053.0,311.449,192.933,1069.0,314.328,190.5,1069.0,318.452,189.369,1073.0,322.613,189.98,1079.0,325.55,192.122,1086.0,322.651,193.474,1076.0,318.747,194.031,1069.0,314.804,193.764,1069.0,291.194,180.958,1040.0,284.424,180.107,1066.0,276.997,180.811,1073.0,272.543,184.046,1073.0,269.997,188.174,1073.0,271.35,189.482,1069.0,274.449,186.424,1069.0,278.349,184.525,1069.0,284.566,184.081,1050.0,290.881,184.489,1037.0,309.191,179.482,1076.0,315.977,177.671,1079.0,323.792,177.258,1090.0,328.951,179.849,1107.0,331.891,183.316,1111.0,330.698,184.902,1107.0,327.285,182.439,1097.0,322.882,181.207,1083.0,316.405,181.652,1079.0,309.86,182.987,1073.0,296.759,193.636,1056.0,296.358,198.76,1056.0,294.569,203.384,1056.0,291.325,207.483,1053.0,292.715,212.113,1056.0,299.075,211.135,1056.0,303.756,210.766,1060.0,310.606,210.781,1069.0,311.596,206.06,1066.0,308.138,202.41,1063.0,306.253,197.948,1060.0,305.579,192.96,1063.0,289.427,225.516,1050.0,293.003,221.544,1050.0,297.62,218.395,1053.0,301.917,218.823,1056.0,306.169,217.724,1063.0,311.148,220.043,1069.0,315.3,223.379,1083.0,311.984,225.121,1076.0,307.791,226.36,1066.0,302.438,227.157,1060.0,297.076,227.362,1060.0,292.847,226.829,1053.0,292.631,224.658,1053.0,296.834,222.934,1053.0,302.039,222.332,1056.0,307.391,222.084,1066.0,312.034,223.032,1073.0,307.276,222.124,1066.0,302.045,222.329,1056.0,296.955,222.987,1053.0,266.111,198.825,1076.0,266.466,207.093,1076.0,267.746,215.058,1083.0,269.557,222.865,1086.0,272.187,230.149,1100.0,276.036,236.34,1107.0,281.121,240.847,1111.0,287.29,244.508,1111.0,294.777,246.972,1111.0,303.73,247.51,1118.0,312.429,245.613,1133.0,320.084,241.974,1144.0,326.27,236.909,1155.0,331.001,230.88,0.0,333.998,223.861,0.0,335.638,216.386,0.0,336.593,208.744,0.0,336.843,201.162,0.0,336.225,192.994,0.0,284.085,194.591,1063.0,318.574,192.022,1073.0,301.472,208.016,1060.0,291.835,177.522,1047.0,284.61,176.644,1069.0,275.729,177.583,1076.0,269.784,181.75,1079.0,266.766,186.452,1076.0,308.301,176.169,1083.0,315.54,174.274,1086.0,324.82,173.889,1097.0,331.478,177.171,1118.0,334.878,181.109,1118.0,0
3,291.398,193.776,1097.0,288.301,191.658,1100.0,284.453,191.07,1104.0,280.718,192.21,1107.0,278.149,194.762,1107.0,281.03,195.679,1107.0,284.669,195.78,1104.0,288.346,195.02,1100.0,310.728,192.617,1111.0,313.546,190.298,1111.0,317.453,189.256,1118.0,321.356,189.978,1122.0,324.042,192.198,1129.0,321.303,193.406,1122.0,317.637,193.849,1118.0,313.927,193.511,1111.0,291.785,180.736,1083.0,285.311,179.784,1111.0,278.171,180.429,1114.0,273.81,183.525,1114.0,271.292,187.513,1114.0,272.544,188.892,1114.0,275.612,185.903,1111.0,279.409,184.066,1111.0,285.403,183.707,1107.0,291.471,184.236,1083.0,308.611,179.621,1122.0,315.14,178.021,1129.0,322.649,177.887,1136.0,327.517,180.539,1148.0,330.275,184.007,1159.0,329.156,185.587,1151.0,325.873,183.04,1133.0,321.683,181.68,1125.0,315.446,181.945,1125.0,309.158,183.129,1118.0,296.658,192.988,1097.0,296.133,197.896,1097.0,294.291,202.224,1097.0,291.044,205.991,1100.0,292.275,210.547,1097.0,298.698,209.83,1097.0,303.124,209.567,1104.0,309.886,209.559,1111.0,310.89,204.966,1111.0,307.586,201.498,1107.0,305.791,197.294,1104.0,305.168,192.495,1107.0,288.227,223.23,1097.0,292.158,219.49,1093.0,296.953,216.632,1093.0,301.255,217.148,1097.0,305.54,216.122,1104.0,310.605,218.32,1114.0,314.93,221.543,1129.0,311.277,223.309,1125.0,306.983,224.41,1114.0,301.639,225.068,1107.0,296.318,225.212,1100.0,291.971,224.674,1097.0,291.022,222.486,1097.0,295.822,220.937,1097.0,301.308,220.497,1100.0,306.957,220.253,1107.0,312.098,221.155,1125.0,306.903,220.347,1107.0,301.329,220.484,1100.0,295.88,221.032,1097.0,267.347,197.706,1122.0,267.406,205.827,1122.0,268.327,213.594,1129.0,269.759,221.312,1133.0,272.048,228.615,1151.0,275.644,234.827,1155.0,280.538,239.276,1151.0,286.527,242.872,1155.0,293.835,245.288,1151.0,302.541,245.929,1155.0,311.025,244.287,1171.0,318.542,240.998,1187.0,324.646,236.237,1200.0,329.296,230.459,0.0,332.201,223.607,0.0,333.754,216.263,0.0,334.644,208.757,0.0,334.851,201.379,0.0,334.278,193.382,0.0,284.633,193.744,1104.0,317.499,191.889,1118.0,300.974,206.773,1100.0,292.44,177.415,1090.0,285.503,176.425,1114.0,276.963,177.282,1122.0,271.197,181.253,1122.0,268.234,185.787,1122.0,307.835,176.384,1122.0,314.824,174.706,1129.0,323.74,174.643,1140.0,329.999,178.003,1159.0,333.18,181.941,0.0,0
4,291.321,193.601,1114.0,288.313,191.549,1118.0,284.6,190.964,1122.0,280.991,192.097,1125.0,278.512,194.63,1125.0,281.314,195.469,1125.0,284.817,195.551,1122.0,288.361,194.818,1118.0,310.269,192.499,1129.0,313.031,190.254,1133.0,316.811,189.251,1136.0,320.59,189.999,1140.0,323.192,192.225,1144.0,320.514,193.341,1136.0,316.958,193.732,1136.0,313.369,193.39,1133.0,291.823,180.883,1104.0,285.6,179.965,1114.0,278.751,180.656,1133.0,274.497,183.64,1133.0,272.021,187.491,1133.0,273.165,188.932,1129.0,276.202,186.004,1129.0,279.932,184.198,1129.0,285.711,183.822,1122.0,291.575,184.337,1104.0,308.114,179.796,1140.0,314.427,178.292,1144.0,321.715,178.279,1155.0,326.458,180.868,1163.0,329.188,184.24,1171.0,328.172,185.87,1167.0,324.875,183.332,1151.0,320.746,181.956,1151.0,314.66,182.155,1140.0,308.559,183.276,1136.0,296.451,192.816,1118.0,295.842,197.503,1114.0,293.975,201.627,1114.0,290.781,205.264,1114.0,291.975,209.696,1118.0,298.327,208.997,1118.0,302.612,208.756,1122.0,309.376,208.786,1129.0,310.41,204.309,1129.0,307.176,200.952,1129.0,305.407,196.962,1125.0,304.769,192.366,1125.0,287.78,222.125,1114.0,291.734,218.356,1111.0,296.511,215.546,1111.0,300.8,216.042,1114.0,305.08,215.056,1125.0,310.216,217.248,1133.0,314.641,220.517,1148.0,310.849,222.198,1144.0,306.524,223.186,1133.0,301.193,223.784,1122.0,295.933,223.951,1114.0,291.593,223.49,1114.0,290.392,221.364,1111.0,295.322,219.779,1111.0,300.862,219.339,1114.0,306.612,219.123,1125.0,311.965,220.086,1140.0,306.577,219.246,1125.0,300.895,219.336,1114.0,295.37,219.894,1111.0,268.105,197.646,1136.0,267.99,205.536,1140.0,268.701,213.059,1144.0,269.948,220.609,1155.0,272.056,227.838,1163.0,275.5,234.018,1175.0,280.298,238.432,1171.0,286.221,241.952,1167.0,293.467,244.296,1167.0,302.063,244.939,1171.0,310.53,243.431,1187.0,318.109,240.349,1204.0,324.3,235.748,1216.0,328.97,230.081,0.0,331.828,223.327,0.0,333.305,216.058,0.0,334.107,208.649,0.0,334.227,201.403,0.0,333.605,193.584,0.0,284.779,193.585,1122.0,316.842,191.837,1136.0,300.579,206.048,1122.0,292.471,177.659,1111.0,285.773,176.699,1125.0,277.567,177.6,1140.0,271.98,181.424,1144.0,269.077,185.802,1140.0,307.37,176.648,1144.0,314.156,175.064,1151.0,322.808,175.134,1163.0,328.861,178.41,1175.0,331.992,182.232,0.0,0
5,290.924,193.438,1129.0,288.036,191.48,1136.0,284.489,190.936,1136.0,281.048,192.082,1140.0,278.699,194.594,1144.0,281.38,195.345,1140.0,284.722,195.378,1136.0,288.099,194.651,1133.0,309.253,192.27,1144.0,311.919,190.085,1148.0,315.52,189.097,1155.0,319.112,189.83,1155.0,321.568,192.029,1159.0,319.018,193.076,1155.0,315.637,193.445,1155.0,312.211,193.132,1148.0,291.58,181.408,1122.0,285.653,180.569,1129.0,279.163,181.329,1148.0,275.02,184.155,1148.0,272.575,187.823,1148.0,273.613,189.347,1148.0,276.594,186.525,1148.0,280.234,184.762,1144.0,285.764,184.334,1136.0,291.393,184.79,1122.0,307.092,180.263,1155.0,313.081,178.82,1159.0,320.0,178.852,1167.0,324.563,181.248,1171.0,327.228,184.436,1183.0,326.335,186.112,1179.0,323.099,183.692,1171.0,319.102,182.383,1159.0,313.287,182.576,1159.0,307.484,183.669,1148.0,295.9,192.637,1129.0,295.242,197.129,1129.0,293.396,201.06,1129.0,290.3,204.588,1133.0,291.475,208.894,1133.0,297.762,208.2,1133.0,301.851,207.945,1136.0,308.437,207.908,1144.0,309.444,203.551,1144.0,306.363,200.331,1140.0,304.622,196.573,1140.0,303.948,192.163,1144.0,287.048,221.124,1133.0,291.034,217.316,1125.0,295.809,214.545,1129.0,300.075,214.978,1133.0,304.344,214.015,1140.0,309.423,216.118,1148.0,313.789,219.386,1163.0,309.985,221.124,1155.0,305.73,222.122,1151.0,300.435,222.742,1136.0,295.234,222.951,1129.0,290.918,222.514,1133.0,289.488,220.364,1129.0,294.559,218.675,1125.0,300.121,218.184,1129.0,305.87,217.958,1140.0,311.315,218.958,1155.0,305.854,218.307,1144.0,300.166,218.446,1129.0,294.586,219.01,1125.0,268.296,197.649,1155.0,268.062,205.363,1155.0,268.627,212.721,1159.0,269.735,220.169,1171.0,271.723,227.357,1183.0,275.089,233.527,1191.0,279.803,237.857,1187.0,285.659,241.239,1183.0,292.828,243.413,1183.0,301.249,243.972,1187.0,309.527,242.479,1204.0,316.946,239.489,1212.0,322.991,234.954,1225.0,327.501,229.342,1234.0,330.227,222.611,0.0,331.616,215.388,0.0,332.313,208.058,0.0,332.326,200.946,0.0,331.631,193.342,1204.0,284.675,193.488,1136.0,315.53,191.62,1155.0,299.878,205.31,1136.0,292.203,178.289,1125.0,285.803,177.407,1140.0,278.045,178.373,1155.0,272.685,181.977,1155.0,269.84,186.135,1155.0,306.371,177.227,1159.0,312.838,175.7,1163.0,321.039,175.811,1179.0,326.8,178.846,1187.0,329.841,182.46,1187.0,0
6,289.094,191.861,1183.0,286.288,189.513,1179.0,282.532,188.775,1191.0,278.911,189.983,1195.0,276.589,192.782,1191.0,279.148,193.594,1191.0,282.633,193.637,1183.0,286.181,192.944,1183.0,306.422,191.401,1195.0,309.244,189.01,1200.0,313.219,188.037,1212.0,317.062,189.078,1221.0,319.392,191.681,1221.0,316.651,192.615,1216.0,313.013,192.792,1204.0,309.393,192.305,1200.0,290.187,182.73,1175.0,283.633,181.782,1179.0,276.258,182.43,1200.0,271.822,185.512,1204.0,269.43,189.57,1195.0,271.088,190.556,1191.0,273.685,187.572,1200.0,277.202,185.696,1195.0,283.355,185.365,1183.0,289.502,185.927,1179.0,304.931,182.047,1204.0,311.914,180.9,1216.0,319.909,181.361,1225.0,324.735,184.451,1238.0,327.044,188.164,1247.0,325.449,189.195,1238.0,322.687,186.383,1234.0,318.648,184.655,1225.0,312.073,184.502,1216.0,305.498,185.258,1204.0,293.479,191.433,1187.0,292.576,195.586,1183.0,290.603,199.025,1179.0,287.796,202.265,1179.0,288.514,206.48,1179.0,293.66,205.83,1179.0,297.419,205.693,1187.0,303.656,206.175,1191.0,304.936,202.041,1195.0,302.628,198.99,1195.0,301.449,195.537,1191.0,301.315,191.307,1191.0,284.097,220.155,1179.0,287.277,215.898,1175.0,291.518,212.861,1175.0,295.553,213.408,1179.0,299.866,212.691,1183.0,304.212,215.405,1191.0,307.542,219.354,1208.0,304.515,220.267,1204.0,300.551,220.945,1191.0,295.315,221.308,1187.0,290.389,221.404,1183.0,286.775,220.969,1175.0,287.334,219.172,1175.0,290.691,217.246,1175.0,295.402,216.743,1175.0,300.329,216.955,1187.0,304.317,218.489,1200.0,300.17,217.126,1187.0,295.434,216.964,1175.0,290.853,217.435,1175.0,267.44,194.918,1200.0,266.639,202.254,1204.0,266.834,209.723,1204.0,267.463,217.28,1212.0,268.863,224.813,1225.0,271.641,231.503,1238.0,275.445,235.835,1234.0,280.438,239.327,1225.0,287.026,241.614,1225.0,294.993,242.698,1225.0,303.223,241.561,1238.0,310.936,239.245,1252.0,317.173,235.1,1270.0,321.974,229.863,1270.0,325.404,222.687,0.0,327.384,215.123,1542.0,328.685,207.496,1256.0,329.259,200.146,1299.0,329.069,192.318,1247.0,282.672,191.636,1187.0,313.05,190.865,1208.0,296.151,203.312,1183.0,290.828,179.659,1175.0,283.835,178.677,1179.0,275.163,179.531,1208.0,269.375,183.445,1208.0,266.522,188.044,1204.0,304.614,179.046,1208.0,312.075,177.856,1225.0,321.386,178.5,1243.0,327.345,182.38,1275.0,329.944,186.574,1309.0,0
7,286.571,195.618,1195.0,283.809,193.356,1195.0,280.189,192.703,1204.0,276.749,193.929,1204.0,274.595,196.653,1204.0,277.048,197.48,1200.0,280.391,197.489,1200.0,283.774,196.745,1195.0,303.004,194.738,1208.0,305.649,192.306,1212.0,309.405,191.23,1221.0,313.069,192.112,1225.0,315.318,194.537,1229.0,312.794,195.591,1221.0,309.387,195.918,1216.0,305.924,195.553,1212.0,287.441,186.907,1187.0,281.084,186.044,1195.0,273.945,186.743,1212.0,269.691,189.795,1212.0,267.434,193.764,1212.0,269.081,194.725,1208.0,271.552,191.821,1208.0,274.912,189.964,1208.0,280.868,189.559,1204.0,286.82,190.038,1191.0,301.267,185.916,1221.0,307.905,184.525,1229.0,315.523,184.633,1243.0,320.211,187.415,1256.0,322.561,190.932,1261.0,321.064,192.002,1256.0,318.356,189.431,1247.0,314.493,187.925,1238.0,308.245,188.029,1221.0,302.003,189.02,1212.0,290.711,195.115,1200.0,290.042,199.418,1195.0,288.306,202.974,1195.0,285.651,206.176,1191.0,286.432,210.361,1191.0,291.629,209.904,1195.0,295.277,209.687,1200.0,301.26,209.648,1208.0,302.254,205.502,1208.0,299.864,202.585,1204.0,298.582,199.101,1204.0,298.3,194.773,1208.0,282.206,223.266,1200.0,285.52,219.471,1187.0,289.725,216.723,1187.0,293.688,217.221,1191.0,297.846,216.351,1200.0,302.209,218.539,1208.0,305.751,221.869,1221.0,302.663,223.259,1216.0,298.775,224.246,1208.0,293.696,224.807,1195.0,288.837,224.935,1195.0,285.155,224.408,1195.0,285.065,222.411,1191.0,288.822,220.772,1187.0,293.63,220.31,1191.0,298.63,220.227,1200.0,302.902,221.298,1212.0,298.547,220.55,1200.0,293.67,220.666,1191.0,288.911,221.092,1191.0,265.524,198.607,1212.0,265.079,206.04,1212.0,265.582,213.503,1216.0,266.498,221.032,1221.0,268.199,228.436,1229.0,271.261,234.902,1243.0,275.137,238.981,1243.0,280.044,242.262,1238.0,286.393,244.299,1238.0,293.993,245.121,1238.0,301.664,243.707,1252.0,308.709,241.126,1261.0,314.304,236.875,1280.0,318.628,231.677,1289.0,321.693,224.565,1275.0,323.348,217.113,1536.0,324.35,209.573,1299.0,324.667,202.337,1261.0,324.258,194.591,1256.0,280.391,195.497,1200.0,309.319,193.998,1216.0,293.834,207.105,1195.0,287.99,183.873,1187.0,281.223,182.986,1191.0,272.849,183.901,1221.0,267.314,187.775,1216.0,264.628,192.272,1216.0,300.827,182.968,1225.0,307.903,181.52,1229.0,316.776,181.75,1252.0,322.611,185.253,1261.0,325.275,189.231,1309.0,0
8,285.875,196.128,1204.0,283.127,194.043,1204.0,279.586,193.486,1208.0,276.223,194.654,1212.0,274.064,197.194,1208.0,276.52,198.01,1204.0,279.807,198.014,1204.0,283.124,197.277,1208.0,302.43,195.036,1221.0,304.995,192.702,1221.0,308.61,191.642,1225.0,312.155,192.375,1234.0,314.426,194.578,1238.0,311.99,195.677,1229.0,308.696,196.082,1225.0,305.309,195.8,1221.0,286.67,187.236,1195.0,280.626,186.412,1200.0,273.91,187.059,1221.0,269.743,189.837,1221.0,267.402,193.492,1216.0,268.813,194.637,1216.0,271.407,191.967,1216.0,274.801,190.263,1216.0,280.464,189.862,1208.0,286.172,190.296,1204.0,300.618,186.112,1225.0,306.8,184.621,1238.0,313.88,184.493,1256.0,318.45,186.838,1265.0,320.934,189.993,1261.0,319.691,191.255,1261.0,316.876,189.009,1256.0,313.066,187.771,1247.0,307.201,188.038,1229.0,301.332,189.131,1225.0,290.168,195.577,1208.0,289.585,199.966,1204.0,287.93,203.673,1204.0,285.228,206.985,1204.0,286.132,211.111,1195.0,291.591,210.705,1204.0,295.364,210.445,1204.0,301.268,210.162,1212.0,302.155,206.039,1216.0,299.6,203.069,1212.0,298.186,199.489,1212.0,297.748,195.119,1212.0,281.966,223.456,1200.0,285.456,219.892,1191.0,289.753,217.306,1191.0,293.733,217.734,1195.0,297.824,216.819,1204.0,302.239,218.724,1212.0,305.917,221.744,1225.0,302.78,223.515,1221.0,298.936,224.729,1212.0,293.863,225.427,1208.0,288.922,225.541,1200.0,285.134,224.889,1200.0,284.622,222.737,1195.0,288.77,221.167,1191.0,293.716,220.69,1200.0,298.795,220.48,1208.0,303.306,221.366,1221.0,298.761,221.083,1208.0,293.764,221.376,1200.0,288.822,221.764,1191.0,264.427,199.16,1221.0,264.198,206.597,1216.0,264.875,213.965,1225.0,266.023,221.382,1225.0,267.986,228.571,1238.0,271.294,234.809,1243.0,275.394,238.835,1243.0,280.464,242.057,1243.0,286.85,244.027,1243.0,294.415,244.681,1247.0,301.917,243.135,1256.0,308.669,240.334,1270.0,314.033,235.985,1294.0,318.197,230.753,1299.0,321.116,223.826,0.0,322.702,216.555,0.0,323.596,209.18,1299.0,323.807,202.082,1299.0,323.302,194.536,1324.0,279.791,196.101,1208.0,308.576,194.237,1225.0,293.658,207.774,1204.0,287.242,184.261,1195.0,280.801,183.41,1195.0,272.924,184.248,1225.0,267.559,187.769,1225.0,264.809,191.906,1225.0,300.025,183.235,1225.0,306.625,181.675,1243.0,314.891,181.615,1261.0,320.589,184.577,1270.0,323.417,188.153,1324.0,0
9,285.394,196.495,1208.0,282.672,194.524,1204.0,279.197,194.018,1208.0,275.892,195.156,1212.0,273.736,197.601,1208.0,276.196,198.382,1208.0,279.431,198.379,1208.0,282.693,197.651,1208.0,302.049,195.326,1221.0,304.559,193.075,1225.0,308.089,192.046,1225.0,311.571,192.719,1234.0,313.864,194.816,1238.0,311.456,195.908,1234.0,308.211,196.325,1225.0,304.877,196.072,1221.0,286.107,187.269,1200.0,280.281,186.487,1195.0,273.853,187.129,1221.0,269.783,189.772,1221.0,267.435,193.262,1221.0,268.698,194.502,1221.0,271.339,191.936,1221.0,274.73,190.302,1216.0,280.182,189.896,1204.0,285.706,190.294,1204.0,300.19,186.094,1225.0,306.106,184.603,1238.0,312.893,184.42,1252.0,317.376,186.581,1265.0,319.908,189.554,1261.0,318.816,190.924,1265.0,315.934,188.806,1256.0,312.149,187.676,1243.0,306.489,187.98,1234.0,300.832,189.081,1225.0,289.788,195.922,1208.0,289.22,200.26,1208.0,287.59,203.993,1204.0,284.9,207.361,1208.0,285.888,211.409,1200.0,291.365,210.931,1204.0,295.153,210.655,1208.0,301.017,210.39,1212.0,301.9,206.314,1216.0,299.287,203.31,1216.0,297.817,199.727,1208.0,297.304,195.428,1216.0,281.928,223.514,1200.0,285.369,219.984,1191.0,289.606,217.407,1191.0,293.534,217.789,1200.0,297.531,216.878,1208.0,301.929,218.749,1212.0,305.617,221.716,1229.0,302.497,223.453,1225.0,298.713,224.631,1216.0,293.736,225.334,1208.0,288.87,225.475,1204.0,285.106,224.878,1200.0,284.533,222.8,1195.0,288.676,221.228,1195.0,293.549,220.723,1200.0,298.547,220.504,1208.0,303.046,221.367,1225.0,298.512,221.043,1212.0,293.593,221.324,1204.0,288.731,221.759,1195.0,264.014,199.71,1221.0,263.849,207.027,1221.0,264.552,214.24,1225.0,265.757,221.496,1229.0,267.772,228.496,1238.0,271.106,234.564,1247.0,275.292,238.564,1247.0,280.447,241.734,1243.0,286.864,243.673,1243.0,294.423,244.247,1252.0,301.905,242.701,1256.0,308.62,239.873,1270.0,313.987,235.543,1294.0,318.128,230.327,1299.0,320.961,223.575,0.0,322.489,216.459,0.0,323.317,209.244,1304.0,323.47,202.273,1304.0,322.911,194.909,1329.0,279.401,196.526,1208.0,308.084,194.536,1225.0,293.388,208.045,1204.0,286.685,184.342,1195.0,280.461,183.53,1195.0,272.9,184.356,1225.0,267.671,187.707,1225.0,264.923,191.658,1225.0,299.537,183.269,1234.0,305.868,181.703,1243.0,313.813,181.57,1261.0,319.406,184.303,1270.0,322.289,187.672,1270.0,0
10,284.899,196.591,1208.0,282.192,194.736,1208.0,278.763,194.297,1208.0,275.504,195.428,1212.0,273.365,197.808,1212.0,275.83,198.518,1208.0,279.024,198.476,1208.0,282.239,197.741,1208.0,301.572,195.277,1221.0,304.043,193.094,1225.0,307.515,192.083,1229.0,310.961,192.697,1238.0,313.291,194.698,1243.0,310.883,195.763,1234.0,307.664,196.186,1225.0,304.366,195.975,1225.0,285.505,187.311,1204.0,279.855,186.603,1204.0,273.664,187.285,1221.0,269.693,189.835,1225.0,267.372,193.198,1225.0,268.53,194.477,1221.0,271.171,191.986,1221.0,274.533,190.39,1221.0,279.809,189.948,1208.0,285.185,190.28,1208.0,299.652,186.006,1229.0,305.386,184.508,1243.0,311.978,184.275,1243.0,316.42,186.283,1270.0,318.999,189.107,1275.0,318.015,190.532,1275.0,315.071,188.518,1261.0,311.283,187.479,1243.0,305.759,187.824,1234.0,300.243,188.939,1225.0,289.313,195.951,1212.0,288.748,200.189,1208.0,287.13,203.878,1208.0,284.444,207.265,1208.0,285.469,211.204,1204.0,290.93,210.631,1204.0,294.749,210.323,1212.0,300.642,210.073,1216.0,301.51,206.075,1221.0,298.843,203.105,1216.0,297.34,199.594,1216.0,296.778,195.401,1221.0,281.729,223.197,1204.0,285.063,219.564,1195.0,289.244,216.933,1195.0,293.155,217.247,1204.0,297.12,216.335,1208.0,301.557,218.206,1221.0,305.267,221.226,1238.0,302.19,223.068,1229.0,298.442,224.33,1221.0,293.457,225.095,1208.0,288.587,225.251,1208.0,284.855,224.619,1204.0,284.277,222.479,1204.0,288.357,220.755,1200.0,293.209,220.168,1204.0,298.209,219.955,1216.0,302.724,220.908,1225.0,298.195,220.755,1216.0,293.277,221.103,1204.0,288.433,221.548,1200.0,263.816,200.097,1225.0,263.678,207.234,1225.0,264.394,214.229,1229.0,265.648,221.273,1234.0,267.698,228.07,1243.0,271.013,233.979,1247.0,275.202,237.957,1252.0,280.364,241.101,1247.0,286.759,243.035,1247.0,294.302,243.558,1256.0,301.794,241.99,1261.0,308.505,239.113,1275.0,313.889,234.765,1289.0,318.014,229.538,1515.0,320.79,222.924,1536.0,322.285,215.95,0.0,323.063,208.884,1299.0,323.159,202.056,1309.0,322.546,194.877,1334.0,278.977,196.7,1208.0,307.537,194.472,1225.0,292.965,207.819,1208.0,286.079,184.449,1204.0,280.028,183.711,1200.0,272.73,184.577,1229.0,267.638,187.815,1225.0,264.928,191.624,1229.0,298.956,183.256,1238.0,305.104,181.678,1247.0,312.831,181.479,1261.0,318.361,184.019,1280.0,321.291,187.22,1334.0,0
