,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,277.654,178.827,861.0,273.774,175.592,855.0,268.61,174.574,866.0,263.635,175.954,879.0,260.335,179.343,881.0,263.928,180.848,877.0,268.728,181.164,870.0,273.634,180.285,863.0,301.609,178.281,886.0,305.299,175.043,890.0,310.697,173.753,897.0,316.022,174.938,907.0,319.528,178.097,916.0,315.762,179.729,904.0,310.756,180.189,895.0,305.769,179.546,888.0,278.244,163.382,863.0,269.518,161.762,868.0,259.626,162.096,892.0,253.874,166.248,892.0,250.746,171.755,890.0,252.957,173.081,888.0,256.5,169.197,888.0,261.184,166.898,888.0,269.287,166.781,855.0,277.344,167.773,857.0,299.586,162.674,895.0,308.838,160.706,904.0,319.431,160.654,921.0,325.948,164.741,931.0,329.248,169.767,987.0,327.157,171.322,993.0,323.324,167.728,928.0,317.882,165.672,916.0,309.243,165.797,902.0,300.515,167.083,895.0,283.85,178.337,870.0,283.056,184.948,872.0,280.654,190.742,868.0,276.861,195.777,870.0,278.06,201.828,872.0,284.9,201.164,877.0,290.288,201.024,883.0,298.6,201.506,886.0,300.136,195.506,886.0,296.543,190.627,879.0,294.815,184.718,879.0,294.568,178.128,881.0,274.162,219.852,874.0,277.91,214.889,874.0,283.08,211.059,877.0,288.017,211.966,883.0,293.114,210.843,886.0,298.694,214.309,892.0,303.139,218.969,904.0,299.496,220.729,897.0,294.469,222.081,890.0,288.146,222.712,883.0,282.022,222.523,877.0,277.456,221.479,874.0,278.635,218.857,874.0,282.429,216.954,877.0,288.003,216.532,881.0,293.911,216.66,888.0,298.555,218.199,895.0,293.722,216.525,888.0,288.021,216.419,881.0,282.679,216.866,877.0,248.456,181.806,886.0,248.276,192.388,886.0,249.375,202.915,892.0,251.067,213.247,899.0,253.668,223.06,907.0,257.77,231.621,928.0,263.073,237.755,931.0,269.679,243.009,944.0,278.129,246.788,944.0,288.601,248.373,962.0,299.314,246.577,973.0,309.089,242.656,998.0,317.048,236.66,1019.0,323.365,229.417,1028.0,327.878,220.139,1040.0,330.51,210.235,1066.0,332.32,200.048,0.0,333.255,189.91,993.0,333.096,178.922,1001.0,268.787,178.323,870.0,310.68,177.447,895.0,288.255,197.272,877.0,279.195,158.98,874.0,269.927,157.31,879.0,258.117,157.861,895.0,250.253,163.211,895.0,246.441,169.5,895.0,298.854,158.324,897.0,308.642,156.292,904.0,321.114,156.394,928.0,329.519,161.543,0.0,333.341,167.233,995.0,0
2,282.951,196.566,904.0,279.284,193.745,897.0,274.531,192.889,895.0,269.937,194.16,911.0,266.799,197.211,919.0,270.276,198.517,914.0,274.729,198.773,907.0,279.238,197.945,902.0,305.573,195.841,923.0,308.955,192.971,928.0,313.841,191.797,931.0,318.7,192.797,946.0,322.014,195.58,952.0,318.574,197.067,944.0,314.009,197.525,933.0,309.441,196.984,928.0,283.359,181.408,904.0,275.397,179.995,902.0,266.487,180.405,928.0,261.206,184.183,928.0,258.231,189.138,923.0,260.062,190.504,921.0,263.559,186.955,923.0,268.021,184.846,921.0,275.367,184.668,892.0,282.716,185.515,895.0,303.459,180.626,933.0,311.641,178.76,941.0,321.024,178.626,962.0,326.977,182.177,973.0,330.198,186.638,0.0,328.479,188.274,0.0,324.744,185.063,965.0,319.722,183.284,946.0,312.013,183.479,939.0,304.241,184.736,933.0,288.992,195.952,911.0,288.392,202.059,911.0,286.25,207.451,907.0,282.67,212.111,909.0,284.003,217.659,911.0,290.82,216.905,911.0,295.974,216.737,921.0,303.729,217.123,923.0,305.039,211.577,921.0,301.391,207.075,919.0,299.515,201.655,919.0,299.019,195.633,919.0,280.448,233.796,911.0,284.186,229.254,911.0,289.197,225.732,916.0,293.905,226.503,921.0,298.622,225.431,926.0,304.029,228.513,933.0,308.413,232.732,944.0,304.85,234.52,939.0,300.137,235.813,933.0,294.268,236.446,919.0,288.446,236.326,911.0,283.914,235.411,911.0,284.392,232.881,909.0,288.469,231.111,914.0,293.977,230.69,921.0,299.709,230.739,928.0,304.367,232.13,933.0,299.564,230.733,928.0,293.986,230.687,921.0,288.665,231.135,914.0,255.086,199.889,921.0,255.148,209.692,921.0,256.302,219.29,928.0,258.074,228.731,933.0,260.745,237.614,936.0,264.843,245.282,949.0,270.231,250.869,952.0,276.855,255.579,970.0,285.082,258.935,976.0,295.091,260.166,995.0,305.122,258.381,1016.0,314.096,254.575,1037.0,321.393,248.963,1053.0,327.101,242.178,1066.0,330.934,233.829,1076.0,333.042,224.883,0.0,334.41,215.675,0.0,334.96,206.53,0.0,334.529,196.638,0.0,274.718,196.226,904.0,313.888,195.07,931.0,293.734,213.33,916.0,284.19,177.362,914.0,275.712,175.902,909.0,265.037,176.528,931.0,257.865,181.402,931.0,254.285,187.058,931.0,302.635,176.633,933.0,311.317,174.697,946.0,322.439,174.675,962.0,330.182,179.154,984.0,333.927,184.207,0.0,0
3,285.909,197.831,954.0,282.341,195.2,949.0,277.762,194.422,957.0,273.334,195.692,968.0,270.281,198.681,973.0,273.742,199.796,970.0,278.045,199.966,962.0,282.364,199.144,957.0,307.684,197.056,976.0,310.923,194.38,978.0,315.604,193.277,984.0,320.288,194.254,993.0,323.515,196.945,998.0,320.178,198.27,990.0,315.771,198.653,981.0,311.393,198.127,976.0,286.179,182.881,954.0,278.44,181.661,968.0,269.847,182.248,984.0,264.831,186.049,984.0,262.041,190.909,981.0,263.814,192.11,978.0,267.181,188.562,978.0,271.478,186.42,976.0,278.555,186.135,954.0,285.646,186.843,944.0,305.577,182.087,987.0,313.408,180.38,995.0,322.422,180.38,1010.0,328.124,183.924,1022.0,331.2,188.288,0.0,329.514,189.802,1019.0,325.91,186.583,1013.0,321.099,184.783,1001.0,313.696,184.899,990.0,306.263,186.045,984.0,291.801,197.107,962.0,291.281,202.723,962.0,289.25,207.666,957.0,285.873,212.0,959.0,287.251,217.195,959.0,293.8,216.131,962.0,298.727,215.954,968.0,306.149,216.601,976.0,307.4,211.391,973.0,303.836,207.203,970.0,301.947,202.269,970.0,301.38,196.759,973.0,284.16,232.754,962.0,287.554,228.068,965.0,292.309,224.431,970.0,296.84,225.098,973.0,301.338,224.103,976.0,306.531,227.283,981.0,310.621,231.653,990.0,307.321,233.09,987.0,302.859,234.17,976.0,297.318,234.728,968.0,291.779,234.712,962.0,287.41,234.025,962.0,288.041,231.702,965.0,291.714,229.736,965.0,296.958,229.204,970.0,302.378,229.355,976.0,306.598,230.961,984.0,302.208,229.335,976.0,296.964,229.201,970.0,291.947,229.746,965.0,259.103,201.726,978.0,259.195,210.899,976.0,260.287,219.859,984.0,261.985,228.691,990.0,264.542,237.018,993.0,268.452,244.186,1001.0,273.766,249.418,1016.0,280.354,253.761,1019.0,288.492,256.852,1025.0,298.325,257.926,1034.0,308.126,256.202,1056.0,316.864,252.588,1076.0,323.936,247.269,1093.0,329.344,240.772,1114.0,332.76,232.952,1136.0,334.517,224.584,0.0,335.632,215.996,0.0,335.96,207.512,0.0,335.363,198.331,0.0,277.972,197.591,965.0,315.669,196.37,984.0,296.536,213.018,965.0,286.881,179.046,962.0,278.628,177.789,973.0,268.308,178.624,987.0,261.48,183.53,987.0,258.125,189.079,984.0,304.809,178.302,990.0,313.138,176.528,993.0,323.867,176.655,1013.0,331.32,181.12,1034.0,334.904,186.062,0.0,0
4,289.141,198.029,1019.0,285.795,195.568,1019.0,281.546,194.843,1022.0,277.448,196.13,1031.0,274.697,199.076,1034.0,277.879,200.011,1031.0,281.848,200.095,1022.0,285.844,199.281,1019.0,309.41,197.129,1034.0,312.465,194.571,1037.0,316.838,193.48,1044.0,321.224,194.444,1047.0,324.202,197.074,1060.0,321.079,198.254,1044.0,316.962,198.587,1040.0,312.883,198.113,1034.0,289.447,184.358,1010.0,282.161,183.33,1010.0,274.057,184.102,1040.0,269.392,187.807,1044.0,266.896,192.476,1040.0,268.586,193.566,1037.0,271.64,190.084,1037.0,275.603,187.933,1037.0,282.287,187.535,1013.0,288.987,188.116,1007.0,307.239,183.403,1050.0,314.737,181.824,1053.0,323.419,181.963,1066.0,328.82,185.41,1079.0,331.682,189.601,1086.0,330.089,190.996,1083.0,326.664,187.822,1069.0,322.092,186.014,1056.0,314.966,186.077,1047.0,307.845,187.17,1044.0,294.488,197.261,1025.0,293.896,202.294,1019.0,291.913,206.668,1019.0,288.718,210.56,1022.0,289.932,215.374,1022.0,296.087,214.354,1022.0,300.613,214.153,1031.0,307.844,214.724,1034.0,309.043,209.886,1034.0,305.72,206.196,1028.0,303.968,201.868,1031.0,303.455,196.898,1031.0,286.6,229.973,1019.0,289.952,225.408,1019.0,294.541,221.943,1025.0,298.934,222.537,1028.0,303.36,221.559,1034.0,308.54,224.531,1040.0,312.727,228.703,1050.0,309.281,229.966,1044.0,304.857,230.868,1031.0,299.412,231.377,1025.0,294.085,231.488,1019.0,289.855,231.022,1019.0,290.043,228.892,1019.0,293.821,226.932,1019.0,299.055,226.383,1028.0,304.572,226.464,1034.0,309.095,227.984,1044.0,304.438,226.414,1034.0,299.084,226.286,1028.0,294.025,226.896,1022.0,264.777,202.22,1037.0,264.644,210.66,1040.0,265.464,218.88,1047.0,266.834,227.071,1050.0,269.018,234.952,1056.0,272.518,241.755,1066.0,277.389,246.6,1076.0,283.511,250.567,1073.0,291.17,253.336,1076.0,300.435,254.309,1090.0,309.789,252.763,1104.0,318.269,249.564,1125.0,325.142,244.66,1144.0,330.326,238.583,1167.0,333.537,231.148,0.0,335.115,223.195,0.0,336.068,215.077,0.0,336.281,207.13,0.0,335.649,198.501,0.0,281.775,197.879,1025.0,316.883,196.456,1040.0,298.734,211.489,1025.0,290.062,180.795,1022.0,282.266,179.734,1031.0,272.537,180.772,1047.0,266.216,185.549,1047.0,263.209,190.881,1047.0,306.585,179.894,1050.0,314.585,178.25,1056.0,324.886,178.531,1069.0,331.863,182.867,1093.0,335.163,187.605,0.0,0
5,289.472,198.141,1037.0,286.213,195.889,1037.0,282.115,195.244,1047.0,278.152,196.475,1053.0,275.443,199.255,1053.0,278.568,200.099,1050.0,282.406,200.161,1044.0,286.274,199.38,1040.0,309.708,197.163,1056.0,312.681,194.766,1060.0,316.886,193.74,1066.0,321.121,194.622,1066.0,324.074,197.085,1076.0,321.019,198.204,1066.0,317.021,198.533,1060.0,313.065,198.107,1056.0,289.788,184.567,1028.0,282.936,183.619,1050.0,275.382,184.388,1060.0,270.871,187.774,1063.0,268.344,192.075,1060.0,269.755,193.335,1060.0,272.871,190.089,1056.0,276.811,188.086,1056.0,283.106,187.68,1034.0,289.469,188.202,1028.0,307.499,183.54,1069.0,314.536,182.02,1073.0,322.702,182.131,1083.0,327.934,185.223,1093.0,330.857,189.049,1097.0,329.53,190.602,1093.0,326.012,187.673,1086.0,321.491,186.039,1073.0,314.717,186.13,1069.0,307.963,187.199,1060.0,294.883,197.367,1044.0,294.235,202.176,1040.0,292.25,206.436,1040.0,289.051,210.306,1044.0,290.321,214.912,1044.0,296.495,213.865,1044.0,301.018,213.649,1050.0,308.208,214.202,1056.0,309.427,209.533,1056.0,306.075,205.901,1050.0,304.287,201.72,1050.0,303.694,196.98,1053.0,286.983,228.925,1040.0,290.374,224.458,1040.0,294.935,221.095,1044.0,299.293,221.611,1047.0,303.653,220.669,1053.0,308.865,223.524,1060.0,313.148,227.578,1069.0,309.61,228.802,1060.0,305.217,229.632,1053.0,299.804,230.132,1047.0,294.518,230.283,1040.0,290.305,229.895,1037.0,290.24,227.876,1037.0,294.19,225.918,1040.0,299.436,225.342,1047.0,304.976,225.41,1053.0,309.694,226.897,1060.0,304.853,225.363,1053.0,299.464,225.229,1047.0,294.377,225.879,1040.0,265.49,202.518,1060.0,265.317,210.61,1063.0,266.045,218.443,1069.0,267.382,226.284,1073.0,269.538,233.838,1079.0,273.003,240.378,1090.0,277.914,245.133,1100.0,284.078,248.965,1093.0,291.712,251.624,1097.0,300.881,252.491,1104.0,310.172,251.026,1122.0,318.615,247.93,1140.0,325.529,243.169,1159.0,330.719,237.223,1187.0,333.879,230.091,0.0,335.441,222.414,0.0,336.335,214.594,0.0,336.492,206.92,0.0,335.826,198.675,0.0,282.33,198.081,1047.0,316.947,196.528,1063.0,299.105,211.1,1047.0,290.431,181.155,1034.0,283.069,180.168,1053.0,273.978,181.183,1069.0,267.925,185.552,1069.0,264.911,190.463,1069.0,306.783,180.188,1073.0,314.323,178.594,1076.0,324.026,178.824,1093.0,330.741,182.715,1111.0,334.094,187.036,0.0,0
6,290.52,197.465,1076.0,287.37,195.197,1079.0,283.325,194.513,1086.0,279.384,195.641,1090.0,276.666,198.288,1090.0,279.708,199.173,1086.0,283.515,199.283,1083.0,287.353,198.582,1079.0,310.005,196.863,1093.0,312.964,194.569,1097.0,317.139,193.639,1104.0,321.288,194.555,1107.0,324.114,196.977,1114.0,321.106,198.018,1107.0,317.173,198.272,1100.0,313.283,197.797,1097.0,291.07,184.931,1066.0,284.248,183.902,1079.0,276.691,184.49,1100.0,272.175,187.746,1100.0,269.63,191.93,1097.0,271.109,193.027,1093.0,274.143,189.936,1097.0,278.001,188.055,1093.0,284.276,187.774,1076.0,290.589,188.373,1066.0,308.268,184.253,1107.0,315.277,182.893,1111.0,323.333,183.091,1122.0,328.41,186.211,1136.0,331.129,190.014,1140.0,329.671,191.329,1133.0,326.43,188.456,1125.0,322.094,186.807,1114.0,315.444,186.8,1107.0,308.763,187.71,1100.0,295.731,196.804,1079.0,295.073,201.467,1076.0,293.107,205.517,1076.0,289.938,209.158,1079.0,291.032,213.614,1083.0,296.981,212.692,1079.0,301.436,212.548,1086.0,308.255,213.196,1097.0,309.469,208.749,1093.0,306.341,205.236,1086.0,304.733,201.186,1086.0,304.309,196.567,1090.0,287.595,227.279,1079.0,290.859,222.95,1076.0,295.327,219.726,1083.0,299.543,220.287,1086.0,303.814,219.463,1090.0,308.654,222.332,1097.0,312.471,226.379,1107.0,309.287,227.674,1100.0,305.117,228.597,1093.0,299.806,229.073,1083.0,294.592,229.076,1076.0,290.587,228.458,1076.0,290.922,226.341,1076.0,294.546,224.392,1079.0,299.58,223.875,1083.0,304.818,224.068,1090.0,309.032,225.683,1100.0,304.691,224.402,1090.0,299.611,224.293,1083.0,294.743,224.75,1079.0,266.788,201.093,1100.0,266.553,208.907,1100.0,267.245,216.544,1107.0,268.507,224.152,1111.0,270.562,231.463,1114.0,273.863,237.825,1129.0,278.471,242.44,1129.0,284.279,246.245,1129.0,291.541,248.949,1129.0,300.358,249.969,1140.0,309.264,248.611,1151.0,317.311,245.656,1171.0,323.875,241.105,1183.0,328.888,235.454,1187.0,332.106,228.588,0.0,333.844,221.236,0.0,334.953,213.729,0.0,335.331,206.37,1191.0,334.902,198.424,1208.0,283.48,197.268,1086.0,317.134,196.336,1104.0,299.57,210.089,1083.0,291.74,181.652,1076.0,284.446,180.586,1086.0,275.402,181.387,1104.0,269.354,185.575,1107.0,266.319,190.344,1104.0,307.659,181.018,1107.0,315.141,179.601,1114.0,324.689,179.94,1129.0,331.213,183.873,1151.0,334.345,188.176,0.0,0
7,290.436,198.151,1093.0,287.361,195.909,1097.0,283.406,195.217,1104.0,279.557,196.337,1107.0,276.896,198.982,1111.0,279.928,199.793,1107.0,283.64,199.881,1100.0,287.359,199.209,1097.0,309.227,197.683,1111.0,312.109,195.462,1114.0,316.184,194.585,1118.0,320.236,195.546,1122.0,323.002,197.984,1129.0,320.04,198.921,1122.0,316.202,199.104,1114.0,312.422,198.605,1111.0,291.0,186.102,1086.0,284.302,185.097,1090.0,276.897,185.713,1114.0,272.483,188.957,1118.0,270.008,193.096,1114.0,271.506,194.108,1111.0,274.468,191.036,1111.0,278.244,189.159,1111.0,284.378,188.874,1090.0,290.539,189.466,1090.0,307.496,185.548,1118.0,314.328,184.292,1129.0,322.199,184.609,1136.0,327.155,187.776,1151.0,329.824,191.577,1155.0,328.34,192.824,1151.0,325.165,189.907,1144.0,320.942,188.202,1125.0,314.443,188.109,1125.0,307.956,188.923,1114.0,295.452,197.504,1097.0,294.819,201.949,1097.0,292.926,205.768,1097.0,289.952,209.234,1097.0,291.031,213.534,1100.0,296.737,212.546,1097.0,301.004,212.44,1104.0,307.623,213.238,1111.0,308.81,208.944,1111.0,305.787,205.548,1104.0,304.202,201.725,1104.0,303.748,197.319,1107.0,287.918,227.097,1097.0,290.923,222.665,1097.0,295.188,219.408,1100.0,299.286,219.951,1104.0,303.409,219.2,1111.0,308.113,222.167,1114.0,311.749,226.374,1125.0,308.735,227.526,1118.0,304.713,228.368,1111.0,299.62,228.773,1104.0,294.608,228.754,1097.0,290.74,228.166,1097.0,291.221,226.101,1093.0,294.525,224.055,1097.0,299.364,223.514,1100.0,304.395,223.816,1111.0,308.3,225.61,1114.0,304.269,224.267,1111.0,299.399,224.097,1100.0,294.75,224.528,1097.0,267.615,201.759,1114.0,267.321,209.312,1114.0,267.902,216.714,1125.0,269.083,224.14,1129.0,271.035,231.321,1129.0,274.228,237.594,1148.0,278.731,242.112,1148.0,284.448,245.814,1148.0,291.599,248.448,1148.0,300.243,249.491,1155.0,309.042,248.229,1171.0,317.001,245.464,1187.0,323.477,241.098,1204.0,328.375,235.611,1204.0,331.443,228.887,1208.0,332.983,221.685,0.0,333.939,214.336,0.0,334.163,207.186,1208.0,333.623,199.496,1221.0,283.573,197.935,1104.0,316.178,197.236,1118.0,299.234,210.156,1104.0,291.608,182.929,1086.0,284.438,181.886,1107.0,275.565,182.722,1122.0,269.646,186.896,1125.0,266.691,191.617,1122.0,306.933,182.401,1125.0,314.232,181.093,1133.0,323.576,181.566,1140.0,329.962,185.549,1159.0,333.039,189.842,1216.0,0
8,289.815,195.494,1159.0,286.872,192.945,1159.0,282.953,192.112,1163.0,279.186,193.42,1167.0,276.786,196.477,1171.0,279.531,197.295,1167.0,283.143,197.331,1163.0,286.794,196.607,1159.0,307.523,195.12,1171.0,310.447,192.587,1175.0,314.583,191.57,1187.0,318.603,192.76,1191.0,321.041,195.623,1195.0,318.17,196.535,1191.0,314.39,196.659,1183.0,310.643,196.101,1175.0,290.907,185.782,1148.0,283.957,184.76,1159.0,276.12,185.516,1175.0,271.506,188.96,1179.0,269.095,193.412,1175.0,270.956,194.342,1175.0,273.631,191.039,1171.0,277.281,188.955,1175.0,283.768,188.588,1163.0,290.213,189.209,1155.0,305.787,185.163,1179.0,313.141,184.0,1191.0,321.613,184.634,1204.0,326.659,188.142,1204.0,329.077,192.265,1216.0,327.305,193.302,1208.0,324.401,190.109,1204.0,320.203,188.116,1191.0,313.257,187.856,1187.0,306.377,188.606,1175.0,294.237,195.022,1159.0,293.354,199.323,1155.0,291.358,202.821,1155.0,288.606,206.096,1159.0,289.378,210.527,1159.0,294.645,209.787,1159.0,298.41,209.685,1159.0,304.951,210.334,1171.0,306.255,205.979,1171.0,303.822,202.823,1167.0,302.535,199.309,1167.0,302.319,194.933,1171.0,285.118,225.045,1159.0,288.275,220.432,1155.0,292.585,217.161,1155.0,296.767,217.768,1159.0,301.188,217.03,1167.0,305.806,220.024,1171.0,309.353,224.366,1187.0,306.165,225.157,1179.0,302.013,225.742,1171.0,296.717,226.029,1159.0,291.731,226.127,1155.0,287.942,225.757,1159.0,288.474,223.911,1155.0,291.818,221.858,1155.0,296.697,221.346,1159.0,301.843,221.639,1167.0,305.929,223.374,1175.0,301.695,221.73,1167.0,296.743,221.459,1159.0,292.017,221.96,1155.0,267.983,198.827,1179.0,267.112,206.537,1179.0,267.225,214.365,1187.0,267.819,222.355,1200.0,269.209,230.371,1216.0,272.078,237.477,1221.0,276.072,242.03,1216.0,281.344,245.681,1208.0,288.295,248.076,1204.0,296.651,249.262,1208.0,305.374,248.15,1221.0,313.566,245.872,1238.0,320.166,241.628,1247.0,325.172,236.167,0.0,328.586,228.583,0.0,330.331,220.558,1536.0,331.432,212.462,0.0,331.77,204.723,1265.0,331.352,196.461,1294.0,283.135,195.21,1159.0,314.425,194.619,1183.0,297.178,207.256,1159.0,291.489,182.542,1148.0,284.059,181.485,1159.0,274.799,182.482,1183.0,268.722,186.867,1187.0,265.825,191.923,1187.0,305.492,181.974,1187.0,313.354,180.768,1195.0,323.255,181.622,1216.0,329.545,186.017,0.0,332.278,190.663,1289.0,0
9,288.91,195.911,1175.0,285.953,193.659,1175.0,282.162,192.974,1179.0,278.52,194.179,1183.0,276.109,196.928,1183.0,278.931,197.684,1179.0,282.449,197.707,1175.0,285.972,196.997,1175.0,306.48,195.239,1187.0,309.243,192.926,1191.0,313.142,191.952,1200.0,317.006,192.916,1208.0,319.549,195.403,1208.0,316.79,196.339,1204.0,313.176,196.557,1195.0,309.567,196.115,1191.0,289.593,185.431,1167.0,283.024,184.52,1167.0,275.729,185.273,1191.0,271.401,188.518,1191.0,269.055,192.636,1191.0,270.637,193.597,1187.0,273.39,190.519,1191.0,276.99,188.582,1191.0,283.048,188.193,1171.0,289.115,188.718,1171.0,304.554,184.665,1195.0,311.271,183.364,1208.0,319.038,183.666,1216.0,323.885,186.737,1225.0,326.478,190.469,1225.0,324.985,191.654,1221.0,321.94,188.791,1216.0,317.867,187.1,1212.0,311.465,187.058,1200.0,305.122,187.948,1195.0,293.458,195.291,1175.0,292.838,199.569,1171.0,291.05,203.14,1171.0,288.294,206.367,1171.0,289.271,210.572,1175.0,294.794,209.798,1175.0,298.732,209.65,1175.0,305.151,210.084,1187.0,306.213,205.882,1187.0,303.399,202.801,1187.0,301.874,199.287,1183.0,301.405,195.026,1183.0,285.707,223.743,1171.0,288.893,219.548,1171.0,293.15,216.514,1171.0,297.245,217.029,1175.0,301.399,216.218,1179.0,306.126,218.834,1191.0,309.937,222.686,1204.0,306.726,223.868,1195.0,302.676,224.689,1187.0,297.592,225.116,1175.0,292.643,225.2,1171.0,288.753,224.743,1171.0,288.691,222.748,1171.0,292.354,220.881,1171.0,297.332,220.375,1175.0,302.535,220.496,1183.0,306.823,221.981,1191.0,302.457,220.833,1183.0,297.38,220.757,1175.0,292.52,221.217,1171.0,267.296,199.445,1191.0,266.909,206.886,1195.0,267.383,214.223,1204.0,268.416,221.675,1204.0,270.242,228.989,1208.0,273.419,235.362,1221.0,277.731,239.626,1216.0,283.198,243.046,1212.0,290.098,245.313,1212.0,298.333,246.217,1221.0,306.739,244.93,1229.0,314.404,242.372,1252.0,320.571,238.154,1261.0,325.221,232.846,0.0,328.168,225.945,1542.0,329.524,218.608,0.0,330.284,211.155,0.0,330.327,204.01,1284.0,329.66,196.345,1304.0,282.376,195.755,1175.0,313.119,194.681,1195.0,297.113,207.287,1175.0,290.115,182.347,1167.0,283.084,181.405,1171.0,274.408,182.396,1200.0,268.687,186.551,1195.0,265.894,191.239,1200.0,304.04,181.622,1204.0,311.221,180.265,1208.0,320.382,180.717,1221.0,326.549,184.57,1238.0,329.515,188.78,1299.0,0
10,288.897,196.04,1175.0,285.962,193.807,1175.0,282.196,193.115,1179.0,278.563,194.274,1187.0,276.138,196.953,1187.0,278.944,197.73,1183.0,282.445,197.781,1175.0,285.96,197.099,1175.0,306.464,195.448,1191.0,309.226,193.179,1191.0,313.108,192.238,1200.0,316.951,193.193,1208.0,319.494,195.638,1212.0,316.735,196.567,1208.0,313.133,196.777,1200.0,309.539,196.327,1191.0,289.578,185.469,1167.0,283.085,184.52,1171.0,275.864,185.203,1191.0,271.564,188.378,1191.0,269.212,192.427,1191.0,270.748,193.403,1191.0,273.512,190.384,1191.0,277.1,188.503,1191.0,283.092,188.165,1175.0,289.096,188.726,1171.0,304.6,184.772,1200.0,311.267,183.495,1208.0,318.966,183.797,1221.0,323.773,186.841,1229.0,326.351,190.536,1234.0,324.887,191.723,1229.0,321.851,188.892,1221.0,317.797,187.218,1216.0,311.447,187.165,1200.0,305.141,188.033,1195.0,293.445,195.436,1175.0,292.812,199.715,1175.0,291.012,203.299,1175.0,288.213,206.518,1175.0,289.161,210.701,1175.0,294.689,209.983,1179.0,298.66,209.853,1179.0,305.089,210.296,1187.0,306.161,206.121,1191.0,303.328,203.023,1187.0,301.821,199.475,1183.0,301.379,195.209,1187.0,285.593,223.672,1175.0,288.797,219.562,1171.0,293.055,216.597,1175.0,297.123,217.134,1175.0,301.251,216.34,1187.0,305.976,218.938,1191.0,309.799,222.742,1204.0,306.578,223.986,1200.0,302.528,224.835,1191.0,297.446,225.256,1179.0,292.498,225.291,1175.0,288.625,224.765,1175.0,288.532,222.734,1171.0,292.223,220.915,1171.0,297.199,220.448,1175.0,302.413,220.581,1183.0,306.731,222.059,1200.0,302.344,220.983,1183.0,297.249,220.91,1175.0,292.383,221.318,1171.0,267.411,199.414,1195.0,267.02,206.799,1195.0,267.488,214.058,1204.0,268.516,221.42,1204.0,270.324,228.633,1208.0,273.451,234.924,1216.0,277.715,239.199,1216.0,283.114,242.663,1212.0,289.927,245.004,1212.0,298.101,245.956,1221.0,306.462,244.716,1229.0,314.082,242.171,1256.0,320.24,237.992,1261.0,324.91,232.738,1270.0,327.897,225.954,1549.0,329.317,218.719,0.0,330.138,211.358,0.0,330.247,204.277,1289.0,329.649,196.661,1309.0,282.388,195.85,1175.0,313.081,194.921,1200.0,297.039,207.474,1179.0,290.129,182.409,1171.0,283.178,181.425,1171.0,274.58,182.332,1200.0,268.884,186.401,1204.0,266.084,191.015,1200.0,304.083,181.747,1204.0,311.208,180.415,1212.0,320.293,180.867,1229.0,326.416,184.689,1243.0,329.368,188.857,1309.0,0
