,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,275.655,194.503,899.0,272.228,190.947,895.0,267.323,189.323,902.0,262.28,190.013,911.0,258.524,192.822,921.0,262.01,194.656,914.0,266.717,195.532,907.0,271.568,195.316,895.0,298.111,196.975,933.0,302.068,194.467,939.0,307.361,193.929,952.0,312.232,195.726,965.0,315.084,199.14,970.0,311.418,200.128,959.0,306.68,199.916,949.0,302.022,198.673,939.0,278.224,180.858,909.0,269.575,178.224,911.0,259.617,177.361,931.0,253.326,180.763,928.0,249.45,185.697,926.0,251.603,186.984,923.0,255.689,183.66,926.0,260.665,181.979,928.0,268.807,182.861,909.0,276.748,184.827,902.0,298.093,182.983,939.0,307.118,182.365,959.0,317.103,183.711,976.0,322.709,188.489,0.0,325.196,193.754,0.0,322.841,194.666,0.0,319.818,190.749,0.0,315.108,188.073,973.0,306.978,187.081,954.0,298.611,187.168,941.0,281.746,194.716,919.0,280.499,200.758,919.0,277.757,205.594,914.0,273.607,209.365,911.0,274.112,215.118,919.0,281.316,215.35,923.0,286.612,215.92,923.0,294.049,217.252,933.0,295.958,211.923,931.0,292.904,207.24,928.0,291.696,201.844,928.0,292.039,195.795,931.0,267.734,230.744,919.0,272.405,226.835,921.0,278.232,224.058,921.0,283.073,225.549,928.0,288.173,225.162,933.0,293.057,228.888,944.0,296.642,233.611,952.0,292.999,234.877,946.0,288.089,235.554,941.0,281.958,235.353,928.0,275.797,234.408,921.0,271.122,232.85,919.0,272.057,230.349,923.0,276.575,229.223,923.0,282.505,229.631,928.0,288.361,230.461,936.0,292.575,232.391,944.0,288.204,230.472,936.0,282.489,229.703,928.0,276.754,229.311,923.0,245.474,193.356,923.0,244.319,203.353,926.0,244.307,213.427,931.0,244.884,223.411,936.0,246.534,232.932,936.0,249.968,241.319,949.0,254.896,247.301,954.0,261.165,252.617,978.0,269.268,256.77,981.0,279.341,259.308,1007.0,289.559,258.71,1025.0,298.773,256.136,1053.0,306.38,251.556,1069.0,312.698,245.69,1086.0,317.573,237.675,1107.0,320.742,228.963,1529.0,323.316,219.908,0.0,325.014,210.965,0.0,325.868,201.054,0.0,267.038,192.889,902.0,306.872,197.369,949.0,284.539,212.22,921.0,279.487,176.886,916.0,270.348,174.161,919.0,258.553,173.305,931.0,250.15,177.613,931.0,245.569,183.197,931.0,297.927,178.867,941.0,307.447,178.264,957.0,319.229,180.01,0.0,326.599,186.081,0.0,329.54,192.071,0.0,0
2,273.522,194.805,1004.0,270.269,191.793,993.0,265.815,190.566,995.0,261.345,191.504,1010.0,258.128,194.34,1013.0,261.403,195.691,1010.0,265.635,196.183,1001.0,269.925,195.74,1001.0,293.843,195.959,1022.0,297.283,193.54,1028.0,301.985,192.814,1034.0,306.43,194.28,1047.0,309.141,197.337,1056.0,305.874,198.275,1044.0,301.617,198.226,1034.0,297.408,197.31,1028.0,275.274,182.388,1001.0,267.394,180.522,993.0,258.453,180.417,1022.0,252.976,183.866,1022.0,249.757,188.546,1019.0,251.72,189.625,1016.0,255.259,186.324,1019.0,259.679,184.473,1019.0,267.013,184.773,990.0,274.225,186.101,993.0,293.006,183.305,1031.0,301.057,182.424,1047.0,310.106,183.382,1073.0,315.372,187.532,1144.0,317.88,192.224,1148.0,315.828,193.212,1144.0,312.837,189.654,1073.0,308.438,187.333,1060.0,301.04,186.707,1040.0,293.546,187.112,1028.0,278.997,194.641,1010.0,278.095,199.873,1010.0,275.82,204.098,1007.0,272.341,207.58,1007.0,273.108,212.662,1010.0,279.604,212.344,1010.0,284.277,212.604,1016.0,291.164,213.669,1022.0,292.692,208.843,1019.0,289.734,204.878,1016.0,288.327,200.36,1016.0,288.257,195.136,1016.0,268.043,227.299,1004.0,272.039,223.194,1007.0,277.178,220.225,1010.0,281.691,221.296,1016.0,286.339,220.75,1019.0,291.069,224.095,1031.0,294.611,228.544,1044.0,291.262,229.567,1034.0,286.798,230.18,1028.0,281.236,230.194,1019.0,275.653,229.733,1007.0,271.289,228.756,1004.0,271.891,226.567,1004.0,275.94,225.099,1010.0,281.407,225.104,1016.0,286.862,225.681,1022.0,290.88,227.484,1028.0,286.718,225.656,1022.0,281.413,225.099,1016.0,276.133,225.12,1013.0,246.738,195.853,1016.0,245.972,204.73,1019.0,246.201,213.62,1019.0,246.991,222.513,1028.0,248.732,231.075,1031.0,252.094,238.562,1044.0,256.855,243.741,1053.0,262.916,248.163,1056.0,270.638,251.439,1066.0,280.016,253.241,1083.0,289.479,252.358,1097.0,298.008,249.851,1125.0,304.951,245.495,1151.0,310.486,239.9,1183.0,314.405,232.382,1529.0,316.655,224.283,1529.0,318.354,215.949,0.0,319.242,207.83,0.0,319.35,198.943,1148.0,265.755,193.828,1001.0,301.698,195.968,1034.0,282.343,209.585,1013.0,276.166,178.785,1010.0,267.805,176.855,1007.0,257.198,176.873,1028.0,249.9,181.261,1025.0,246.09,186.569,1022.0,292.706,179.642,1031.0,301.241,178.75,1044.0,311.939,180.014,1076.0,318.811,185.258,1140.0,321.745,190.578,1148.0,0
3,272.95,194.854,1031.0,269.73,192.037,1025.0,265.376,190.934,1025.0,261.042,191.925,1034.0,257.939,194.729,1040.0,261.186,195.931,1037.0,265.306,196.316,1028.0,269.466,195.828,1028.0,293.062,195.683,1047.0,296.384,193.319,1056.0,300.947,192.568,1063.0,305.306,193.934,1069.0,308.041,196.87,1083.0,304.831,197.778,1069.0,300.663,197.765,1060.0,296.54,196.943,1053.0,274.528,182.819,1025.0,266.953,181.169,1019.0,258.431,181.252,1044.0,253.152,184.566,1047.0,250.029,189.031,1044.0,251.829,190.156,1040.0,255.302,186.968,1044.0,259.638,185.145,1040.0,266.673,185.294,1016.0,273.638,186.441,1019.0,291.984,183.422,1056.0,299.692,182.476,1069.0,308.405,183.314,1093.0,313.635,187.159,0.0,316.268,191.571,0.0,314.385,192.691,0.0,311.271,189.313,1086.0,306.864,187.148,1076.0,299.689,186.629,1066.0,292.472,187.109,1053.0,278.372,194.632,1040.0,277.493,199.613,1034.0,275.291,203.696,1031.0,271.952,207.183,1034.0,272.825,212.056,1031.0,279.16,211.58,1037.0,283.749,211.766,1044.0,290.589,212.794,1047.0,292.076,208.117,1044.0,289.118,204.27,1040.0,287.646,199.967,1044.0,287.44,194.986,1044.0,268.126,226.531,1028.0,271.932,222.313,1031.0,276.889,219.274,1034.0,281.356,220.206,1044.0,285.916,219.643,1047.0,290.668,222.921,1053.0,294.267,227.363,1066.0,290.946,228.284,1056.0,286.563,228.852,1053.0,281.076,228.908,1044.0,275.596,228.571,1031.0,271.319,227.76,1028.0,271.877,225.703,1031.0,275.805,224.093,1034.0,281.162,223.962,1044.0,286.541,224.506,1050.0,290.578,226.331,1056.0,286.395,224.484,1050.0,281.17,223.961,1044.0,276.009,224.108,1034.0,246.892,196.494,1040.0,246.166,205.018,1044.0,246.401,213.556,1050.0,247.25,222.15,1053.0,249.03,230.464,1056.0,252.409,237.76,1073.0,257.186,242.808,1083.0,263.274,247.034,1086.0,270.982,250.099,1093.0,280.258,251.717,1104.0,289.682,250.812,1122.0,298.219,248.372,1144.0,305.189,244.09,1179.0,310.676,238.552,1208.0,314.463,231.152,1536.0,316.553,223.174,1536.0,318.052,214.993,0.0,318.737,207.041,0.0,318.644,198.45,0.0,265.374,194.069,1031.0,300.722,195.607,1063.0,281.845,208.933,1040.0,275.362,179.342,1031.0,267.303,177.631,1028.0,257.186,177.855,1053.0,250.193,182.079,1053.0,246.506,187.146,1050.0,291.606,179.9,1060.0,299.804,178.933,1069.0,310.107,180.04,1107.0,316.874,184.887,0.0,319.931,189.88,0.0,0
4,272.536,195.353,1053.0,269.396,192.781,1050.0,265.257,191.853,1050.0,261.18,192.919,1060.0,258.353,195.673,1066.0,261.414,196.699,1060.0,265.306,196.944,1053.0,269.242,196.36,1053.0,291.728,195.516,1069.0,294.85,193.179,1076.0,299.177,192.325,1086.0,303.378,193.506,1097.0,306.067,196.222,1104.0,303.016,197.159,1093.0,299.035,197.258,1083.0,295.087,196.603,1076.0,273.646,183.775,1050.0,266.421,182.443,1044.0,258.304,182.804,1069.0,253.441,186.15,1069.0,250.697,190.521,1066.0,252.423,191.504,1066.0,255.561,188.32,1066.0,259.563,186.426,1063.0,266.255,186.355,1044.0,272.907,187.241,1047.0,290.304,183.758,1079.0,297.746,182.653,1093.0,306.236,183.259,1107.0,311.344,186.85,1125.0,313.938,191.022,0.0,312.19,192.107,0.0,309.109,188.907,1111.0,304.807,186.916,1100.0,297.836,186.6,1086.0,290.834,187.268,1076.0,277.581,194.934,1063.0,276.814,199.591,1056.0,274.761,203.438,1056.0,271.564,206.758,1056.0,272.432,211.322,1053.0,278.453,210.762,1056.0,282.86,210.798,1066.0,289.667,211.557,1069.0,290.976,207.108,1069.0,287.992,203.65,1066.0,286.512,199.684,1066.0,286.252,195.028,1066.0,268.138,224.946,1053.0,271.771,220.865,1056.0,276.479,217.897,1056.0,280.811,218.68,1063.0,285.249,217.986,1066.0,290.1,220.934,1079.0,293.951,225.001,1086.0,290.556,226.02,1083.0,286.213,226.673,1073.0,280.794,226.878,1066.0,275.46,226.726,1056.0,271.309,226.082,1053.0,271.505,224.071,1053.0,275.431,222.458,1056.0,280.73,222.218,1063.0,286.196,222.542,1069.0,290.543,224.134,1079.0,286.088,222.553,1069.0,280.76,222.211,1063.0,275.612,222.489,1056.0,248.474,197.814,1066.0,247.924,205.778,1069.0,248.313,213.67,1069.0,249.261,221.614,1073.0,251.054,229.344,1079.0,254.289,236.086,1093.0,258.806,240.729,1100.0,264.539,244.596,1104.0,271.811,247.356,1111.0,280.624,248.69,1125.0,289.617,247.655,1140.0,297.81,245.191,1159.0,304.487,241.001,1191.0,309.683,235.65,0.0,313.181,228.61,1529.0,315.037,221.046,1529.0,316.303,213.307,0.0,316.816,205.797,0.0,316.576,197.623,0.0,265.335,194.823,1053.0,299.042,195.221,1083.0,281.088,208.174,1063.0,274.36,180.475,1053.0,266.66,179.094,1050.0,257.012,179.64,1079.0,250.539,183.922,1076.0,247.278,188.895,1073.0,289.875,180.45,1079.0,297.796,179.312,1093.0,307.819,180.141,1114.0,314.392,184.661,0.0,317.383,189.377,0.0,0
5,272.793,195.302,1097.0,269.736,192.887,1093.0,265.702,192.065,1097.0,261.759,193.146,1104.0,259.056,195.829,1107.0,262.021,196.761,1100.0,265.799,196.935,1097.0,269.622,196.321,1093.0,291.627,195.229,1111.0,294.626,192.941,1118.0,298.847,192.082,1125.0,302.978,193.168,1136.0,305.674,195.753,1144.0,302.663,196.685,1133.0,298.74,196.813,1122.0,294.87,196.23,1114.0,273.7,184.086,1090.0,266.781,182.921,1083.0,259.039,183.367,1114.0,254.406,186.581,1111.0,251.806,190.77,1111.0,253.439,191.734,1111.0,256.413,188.675,1111.0,260.252,186.833,1104.0,266.652,186.676,1083.0,273.045,187.416,1093.0,290.163,183.833,1122.0,297.363,182.696,1129.0,305.611,183.182,1151.0,310.65,186.541,1167.0,313.238,190.477,1167.0,311.591,191.583,1163.0,308.522,188.567,1155.0,304.253,186.726,1144.0,297.464,186.496,1125.0,290.661,187.195,1118.0,277.724,194.874,1100.0,276.95,199.316,1097.0,274.947,203.069,1097.0,271.9,206.437,1097.0,272.797,210.797,1097.0,278.415,210.073,1100.0,282.692,210.047,1107.0,289.332,210.849,1111.0,290.648,206.561,1111.0,287.793,203.172,1107.0,286.38,199.332,1107.0,286.122,194.877,1111.0,269.042,224.399,1093.0,272.261,220.203,1093.0,276.622,217.13,1097.0,280.763,217.794,1104.0,285.024,217.105,1107.0,289.663,220.062,1118.0,293.293,224.145,1129.0,290.163,225.012,1125.0,286.029,225.634,1114.0,280.794,225.885,1104.0,275.706,225.817,1097.0,271.855,225.283,1093.0,272.456,223.455,1093.0,275.836,221.682,1097.0,280.721,221.303,1104.0,285.815,221.636,1111.0,289.796,223.271,1118.0,285.674,221.614,1111.0,280.749,221.295,1104.0,276.053,221.687,1097.0,249.714,198.096,1111.0,249.189,205.671,1114.0,249.602,213.226,1118.0,250.577,220.817,1118.0,252.333,228.224,1125.0,255.425,234.732,1144.0,259.741,239.265,1155.0,265.255,243.017,1151.0,272.282,245.684,1151.0,280.828,246.925,1159.0,289.646,245.881,1171.0,297.756,243.448,1191.0,304.39,239.314,1216.0,309.526,234.043,0.0,312.986,227.172,1529.0,314.855,219.802,1549.0,316.107,212.286,0.0,316.623,204.958,0.0,316.368,197.061,0.0,265.811,194.906,1097.0,298.753,194.863,1125.0,281.066,207.626,1107.0,274.391,180.901,1104.0,267.01,179.692,1090.0,257.796,180.328,1118.0,251.616,184.449,1118.0,248.512,189.221,1118.0,289.714,180.661,1125.0,297.384,179.485,1133.0,307.108,180.168,1155.0,313.542,184.389,0.0,316.508,188.832,0.0,0
6,273.618,194.632,1125.0,270.595,192.517,1125.0,266.718,191.889,1129.0,262.955,193.032,1136.0,260.417,195.638,1136.0,263.297,196.356,1133.0,266.923,196.383,1125.0,270.593,195.683,1125.0,292.14,193.943,1140.0,294.996,191.754,1140.0,299.035,190.842,1155.0,303.063,191.746,1167.0,305.782,194.101,1171.0,302.852,195.014,1159.0,299.032,195.218,1151.0,295.281,194.784,1140.0,274.118,183.395,1118.0,267.517,182.569,1111.0,260.2,183.312,1144.0,255.921,186.517,1144.0,253.599,190.558,1140.0,255.069,191.444,1140.0,257.843,188.41,1140.0,261.464,186.516,1140.0,267.535,186.133,1118.0,273.656,186.592,1122.0,290.416,182.579,1151.0,297.331,181.351,1159.0,305.326,181.669,1179.0,310.273,184.756,1195.0,312.861,188.415,1265.0,311.393,189.538,1191.0,308.279,186.698,1183.0,304.048,185.033,1171.0,297.458,184.964,1155.0,290.862,185.795,1144.0,278.441,193.985,1129.0,277.724,198.038,1125.0,275.79,201.536,1125.0,272.786,204.787,1125.0,273.748,208.821,1125.0,279.201,207.836,1129.0,283.426,207.667,1136.0,290.098,208.389,1140.0,291.324,204.349,1140.0,288.387,201.285,1136.0,286.924,197.802,1136.0,286.587,193.746,1136.0,270.382,221.75,1125.0,273.417,217.492,1122.0,277.606,214.339,1125.0,281.678,214.818,1129.0,285.87,214.041,1136.0,290.613,216.835,1144.0,294.406,220.76,1155.0,291.246,221.584,1151.0,287.151,222.203,1144.0,281.927,222.58,1136.0,276.908,222.726,1125.0,273.137,222.421,1125.0,273.56,220.707,1122.0,276.88,218.761,1122.0,281.726,218.2,1125.0,286.877,218.397,1136.0,291.054,219.969,1148.0,286.741,218.399,1136.0,281.768,218.197,1125.0,277.101,218.781,1122.0,251.736,198.484,1140.0,251.34,205.452,1148.0,251.857,212.316,1151.0,252.912,219.209,1151.0,254.688,225.978,1159.0,257.653,231.905,1171.0,261.876,236.099,1183.0,267.279,239.513,1175.0,274.136,241.908,1175.0,282.506,242.856,1183.0,291.147,241.704,1195.0,299.13,239.222,1212.0,305.672,235.154,1229.0,310.635,229.997,1529.0,313.821,223.559,1529.0,315.502,216.671,1542.0,316.566,209.684,1542.0,316.934,202.869,1247.0,316.539,195.509,1261.0,266.89,194.516,1129.0,299.022,193.426,1151.0,281.845,205.584,1133.0,274.715,180.387,1122.0,267.65,179.531,1114.0,258.917,180.507,1148.0,253.199,184.631,1148.0,250.419,189.244,1144.0,289.91,179.621,1155.0,297.301,178.343,1163.0,306.732,178.819,1183.0,313.006,182.698,0.0,315.949,186.827,1265.0,0
7,275.192,193.644,1140.0,272.154,191.634,1136.0,268.339,191.064,1136.0,264.646,192.245,1140.0,262.142,194.859,1144.0,265.076,195.46,1140.0,268.647,195.417,1136.0,272.221,194.69,1136.0,293.327,192.741,1151.0,296.12,190.613,1155.0,300.04,189.687,1167.0,303.978,190.547,1171.0,306.683,192.839,1183.0,303.827,193.7,1171.0,300.115,193.911,1163.0,296.455,193.524,1155.0,275.557,182.503,1133.0,268.997,181.794,1125.0,261.789,182.697,1155.0,257.605,185.977,1155.0,255.352,190.009,1151.0,256.793,190.835,1151.0,259.566,187.75,1151.0,263.16,185.79,1151.0,269.147,185.304,1133.0,275.195,185.672,1136.0,291.37,181.536,1163.0,298.078,180.287,1171.0,305.869,180.583,1187.0,310.741,183.614,1204.0,313.38,187.224,1208.0,311.958,188.343,1204.0,308.804,185.511,1191.0,304.649,183.865,1183.0,298.222,183.836,1167.0,291.824,184.714,1159.0,279.942,192.854,1140.0,279.348,196.754,1140.0,277.523,200.068,1140.0,274.593,203.129,1136.0,275.629,207.029,1136.0,281.228,205.95,1140.0,285.419,205.741,1148.0,292.053,206.376,1151.0,293.135,202.439,1151.0,290.064,199.596,1148.0,288.465,196.369,1148.0,287.974,192.506,1151.0,272.369,219.475,1133.0,275.477,215.221,1129.0,279.722,212.086,1136.0,283.849,212.497,1140.0,288.017,211.683,1148.0,292.916,214.337,1155.0,296.893,218.18,1167.0,293.635,219.126,1163.0,289.519,219.803,1151.0,284.329,220.23,1144.0,279.269,220.442,1136.0,275.346,220.196,1133.0,275.321,218.401,1129.0,278.917,216.4,1133.0,283.986,215.785,1140.0,289.332,215.904,1148.0,293.728,217.454,1159.0,289.242,216.111,1148.0,284.039,216.004,1140.0,279.123,216.611,1133.0,253.62,197.922,1151.0,253.346,204.734,1155.0,253.91,211.354,1159.0,255.047,218.05,1159.0,256.931,224.629,1167.0,260.022,230.33,1171.0,264.416,234.303,1179.0,269.987,237.474,1179.0,276.949,239.645,1183.0,285.341,240.404,1191.0,293.911,239.157,1204.0,301.728,236.647,1225.0,308.08,232.629,1238.0,312.816,227.538,1529.0,315.669,221.29,1529.0,316.985,214.616,1549.0,317.734,207.851,1556.0,317.792,201.335,1265.0,317.137,194.273,1280.0,268.552,193.627,1136.0,300.068,192.195,1163.0,283.706,203.791,1144.0,276.049,179.579,1133.0,269.019,178.848,1129.0,260.407,180.016,1159.0,254.839,184.236,1155.0,252.16,188.84,1155.0,290.821,178.662,1167.0,298.003,177.355,1175.0,307.23,177.799,1200.0,313.451,181.604,0.0,316.463,185.675,1275.0,0
8,276.154,193.634,1155.0,273.113,191.656,1155.0,269.318,191.082,1155.0,265.632,192.234,1159.0,263.115,194.796,1163.0,266.041,195.402,1159.0,269.598,195.375,1155.0,273.167,194.668,1151.0,294.336,192.741,1167.0,297.143,190.649,1171.0,301.038,189.732,1179.0,304.946,190.579,1187.0,307.636,192.829,1195.0,304.804,193.683,1187.0,301.123,193.901,1179.0,297.477,193.524,1171.0,276.568,182.593,1144.0,270.044,181.869,1144.0,262.88,182.745,1171.0,258.68,185.954,1171.0,256.382,189.904,1167.0,257.763,190.765,1167.0,260.591,187.731,1167.0,264.216,185.808,1167.0,270.181,185.343,1151.0,276.216,185.733,1151.0,292.355,181.64,1175.0,299.013,180.399,1187.0,306.74,180.692,1204.0,311.588,183.655,1225.0,314.262,187.194,1225.0,312.895,188.336,1216.0,309.704,185.551,1208.0,305.553,183.932,1195.0,299.164,183.909,1183.0,292.796,184.796,1171.0,280.915,192.85,1155.0,280.316,196.717,1155.0,278.486,199.994,1155.0,275.477,202.976,1151.0,276.497,206.84,1151.0,282.258,205.874,1155.0,286.521,205.67,1159.0,293.225,206.189,1167.0,294.286,202.29,1167.0,291.13,199.518,1167.0,289.5,196.335,1167.0,288.989,192.507,1163.0,272.943,218.832,1151.0,276.305,214.785,1144.0,280.694,211.814,1151.0,284.893,212.241,1151.0,289.121,211.413,1159.0,294.158,213.907,1171.0,298.363,217.533,1187.0,294.893,218.543,1175.0,290.665,219.21,1167.0,285.371,219.627,1155.0,280.195,219.84,1151.0,276.142,219.607,1148.0,275.735,217.825,1144.0,279.723,215.976,1148.0,285.025,215.426,1151.0,290.614,215.468,1159.0,295.368,216.858,1175.0,290.553,215.609,1159.0,285.08,215.524,1151.0,279.894,216.112,1144.0,254.503,197.792,1167.0,254.232,204.546,1175.0,254.784,211.066,1179.0,255.921,217.681,1183.0,257.825,224.183,1191.0,260.969,229.792,1195.0,265.423,233.685,1195.0,271.027,236.789,1195.0,277.992,238.903,1195.0,286.372,239.633,1204.0,294.917,238.424,1216.0,302.701,235.98,1234.0,309.047,232.055,1256.0,313.804,227.07,1522.0,316.677,220.933,0.0,317.996,214.353,1542.0,318.735,207.677,1556.0,318.788,201.252,0.0,318.146,194.265,0.0,269.517,193.606,1155.0,301.063,192.205,1179.0,284.735,203.669,1159.0,277.077,179.71,1144.0,270.083,178.961,1148.0,261.531,180.093,1179.0,255.972,184.222,1171.0,253.257,188.731,1171.0,291.783,178.803,1183.0,298.914,177.503,1187.0,308.064,177.941,1216.0,314.25,181.661,0.0,317.298,185.651,0.0,0
9,277.815,193.777,1163.0,274.831,191.841,1159.0,271.136,191.279,1163.0,267.549,192.442,1167.0,265.106,195.005,1167.0,267.968,195.577,1167.0,271.433,195.536,1163.0,274.904,194.826,1159.0,295.695,192.834,1171.0,298.439,190.765,1175.0,302.222,189.844,1187.0,306.021,190.683,1195.0,308.624,192.927,1200.0,305.883,193.762,1191.0,302.309,193.982,1183.0,298.762,193.616,1175.0,278.272,182.803,1155.0,271.889,182.12,1155.0,264.893,183.049,1175.0,260.766,186.221,1175.0,258.503,190.114,1171.0,259.827,191.025,1175.0,262.633,188.005,1171.0,266.209,186.079,1171.0,272.053,185.578,1159.0,277.972,185.941,1159.0,293.657,181.818,1179.0,300.136,180.596,1195.0,307.671,180.913,1208.0,312.405,183.806,1234.0,315.035,187.276,1229.0,313.742,188.461,1221.0,310.581,185.708,1221.0,306.516,184.106,1204.0,300.272,184.085,1187.0,294.069,184.974,1179.0,282.523,192.981,1163.0,281.924,196.772,1163.0,280.121,199.978,1159.0,277.169,202.902,1155.0,278.211,206.729,1155.0,283.976,205.759,1163.0,288.112,205.547,1167.0,294.712,206.013,1175.0,295.75,202.145,1175.0,292.646,199.44,1171.0,291.002,196.356,1171.0,290.448,192.614,1171.0,274.518,218.496,1155.0,277.958,214.519,1151.0,282.358,211.597,1155.0,286.535,212.004,1159.0,290.729,211.168,1171.0,295.75,213.574,1183.0,299.982,217.105,1191.0,296.436,218.041,1183.0,292.227,218.617,1175.0,287.015,219.011,1163.0,281.918,219.285,1159.0,277.839,219.17,1155.0,277.188,217.481,1151.0,281.342,215.683,1151.0,286.666,215.138,1155.0,292.259,215.132,1175.0,297.119,216.43,1187.0,292.198,215.114,1175.0,286.711,215.01,1155.0,281.487,215.654,1151.0,256.421,198.071,1175.0,256.131,204.78,1179.0,256.626,211.244,1183.0,257.692,217.83,1187.0,259.542,224.319,1195.0,262.669,229.896,1200.0,267.14,233.71,1200.0,272.768,236.693,1200.0,279.739,238.67,1200.0,288.051,239.309,1212.0,296.482,238.103,1225.0,304.168,235.712,1243.0,310.425,231.841,1261.0,315.074,226.895,1536.0,317.813,220.795,1529.0,319.015,214.254,1542.0,319.648,207.632,0.0,319.61,201.281,0.0,318.903,194.39,0.0,271.343,193.786,1163.0,302.244,192.302,1183.0,286.337,203.564,1167.0,278.754,179.952,1151.0,271.898,179.243,1155.0,263.548,180.433,1179.0,258.116,184.507,1179.0,255.452,188.946,1179.0,293.091,179.015,1187.0,300.047,177.731,1200.0,308.975,178.19,1216.0,315.003,181.825,0.0,317.997,185.738,0.0,0
10,278.431,193.811,1175.0,275.454,191.88,1175.0,271.767,191.331,1175.0,268.2,192.518,1183.0,265.786,195.111,1187.0,268.649,195.651,1179.0,272.098,195.583,1175.0,275.545,194.86,1175.0,296.135,192.822,1187.0,298.857,190.745,1191.0,302.626,189.816,1200.0,306.421,190.657,1208.0,309.025,192.911,1212.0,306.285,193.733,1204.0,302.719,193.946,1200.0,299.187,193.587,1191.0,278.838,182.942,1167.0,272.457,182.296,1171.0,265.471,183.272,1187.0,261.382,186.489,1191.0,259.169,190.416,1187.0,260.526,191.283,1187.0,263.28,188.233,1187.0,266.817,186.277,1187.0,272.646,185.743,1175.0,278.546,186.074,1175.0,294.064,181.914,1195.0,300.536,180.688,1208.0,308.075,181.008,1221.0,312.81,183.926,1229.0,315.43,187.419,1238.0,314.111,188.578,1234.0,310.965,185.803,1225.0,306.912,184.189,1212.0,300.672,184.169,1200.0,294.487,185.059,1191.0,283.075,192.99,1175.0,282.493,196.74,1175.0,280.712,199.902,1175.0,277.827,202.811,1175.0,278.874,206.609,1171.0,284.539,205.574,1175.0,288.617,205.353,1179.0,295.177,205.857,1187.0,296.2,202.011,1191.0,293.132,199.335,1187.0,291.495,196.305,1187.0,290.934,192.604,1183.0,275.36,218.512,1171.0,278.66,214.422,1163.0,282.974,211.424,1167.0,287.117,211.807,1175.0,291.276,210.973,1183.0,296.257,213.431,1191.0,300.412,217.059,1204.0,296.958,217.984,1191.0,292.802,218.581,1187.0,287.642,218.989,1175.0,282.604,219.274,1171.0,278.584,219.161,1171.0,278.059,217.454,1167.0,282.034,215.558,1167.0,287.269,214.965,1171.0,292.779,214.985,1183.0,297.501,216.366,1191.0,292.715,215.064,1183.0,287.321,214.972,1171.0,282.197,215.628,1167.0,257.311,198.229,1191.0,257.021,204.895,1191.0,257.514,211.328,1200.0,258.58,217.889,1200.0,260.419,224.368,1208.0,263.517,229.946,1212.0,267.947,233.748,1212.0,273.543,236.714,1216.0,280.489,238.675,1212.0,288.771,239.304,1225.0,297.19,238.074,1238.0,304.867,235.674,1252.0,311.099,231.787,1275.0,315.703,226.824,1529.0,318.387,220.707,1529.0,319.528,214.162,1536.0,320.111,207.543,0.0,320.02,201.212,0.0,319.262,194.352,0.0,271.991,193.843,1175.0,302.657,192.277,1200.0,286.885,203.431,1179.0,279.29,180.101,1167.0,272.436,179.432,1171.0,264.094,180.68,1195.0,258.701,184.812,1195.0,256.089,189.291,1187.0,293.509,179.123,1204.0,300.457,177.834,1212.0,309.392,178.297,1229.0,315.422,181.96,1270.0,318.406,185.896,0.0,0
