,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,261.582,162.918,886.0,257.539,160.054,888.0,252.514,159.475,890.0,247.953,161.799,904.0,245.315,166.334,899.0,248.998,166.74,892.0,253.551,166.174,888.0,257.99,164.756,886.0,284.012,160.303,904.0,287.44,156.771,911.0,292.475,155.0,921.0,297.613,156.223,926.0,300.876,159.921,931.0,297.384,161.148,923.0,292.676,161.571,914.0,287.97,161.235,907.0,262.346,150.416,888.0,253.26,150.194,886.0,243.405,152.592,904.0,237.841,157.795,904.0,235.246,163.96,907.0,237.725,165.027,904.0,240.851,160.178,904.0,245.372,156.79,904.0,253.663,155.246,892.0,262.042,155.079,890.0,280.549,147.911,921.0,289.63,145.848,928.0,300.368,146.174,949.0,307.095,150.265,973.0,310.538,155.415,0.0,308.414,157.011,0.0,304.344,152.959,957.0,298.838,150.639,933.0,290.02,150.874,921.0,281.528,152.446,909.0,267.338,161.569,890.0,266.577,166.702,888.0,264.322,170.846,886.0,261.329,175.076,883.0,263.009,180.585,883.0,269.901,178.403,888.0,274.34,177.839,895.0,282.619,178.346,899.0,283.852,172.693,899.0,280.621,169.17,897.0,278.47,165.527,895.0,277.496,160.469,899.0,258.662,200.595,877.0,262.191,193.392,879.0,267.576,188.111,883.0,273.235,188.216,890.0,279.041,186.833,899.0,285.341,190.574,904.0,290.13,196.623,921.0,286.092,197.464,911.0,280.857,198.278,897.0,274.107,199.143,888.0,267.724,200.152,881.0,262.591,200.619,877.0,262.907,198.343,877.0,267.108,194.595,881.0,273.529,193.051,888.0,280.218,193.029,899.0,285.565,195.408,907.0,279.973,193.264,897.0,273.601,193.295,888.0,267.4,194.785,881.0,233.212,171.407,904.0,232.641,181.381,907.0,233.267,191.464,904.0,234.543,201.884,909.0,236.994,212.418,923.0,241.498,221.548,946.0,247.517,226.827,946.0,255.375,230.466,944.0,265.378,232.165,941.0,276.84,232.386,949.0,288.288,229.877,968.0,298.884,226.153,990.0,306.995,219.917,0.0,312.534,212.087,0.0,315.418,201.702,0.0,316.142,191.015,0.0,316.12,180.444,0.0,315.127,170.667,0.0,313.178,160.475,0.0,253.18,163.531,888.0,292.556,159.021,914.0,272.499,175.37,892.0,262.536,146.224,883.0,252.771,146.028,877.0,241.166,148.975,914.0,234.001,155.558,911.0,230.906,162.535,911.0,279.954,143.878,923.0,289.761,141.69,933.0,302.359,142.198,970.0,310.661,147.337,978.0,314.53,153.143,0.0,0
2,274.328,170.311,944.0,270.711,167.811,944.0,266.168,167.249,949.0,261.875,169.038,954.0,259.122,172.709,954.0,262.575,173.223,949.0,266.808,172.904,944.0,270.963,171.803,944.0,295.599,168.558,959.0,298.84,165.703,965.0,303.44,164.384,973.0,308.049,165.46,984.0,311.053,168.558,990.0,307.786,169.596,978.0,303.46,169.878,970.0,299.181,169.471,962.0,275.071,157.321,941.0,267.068,156.79,939.0,258.385,158.442,962.0,253.294,162.748,962.0,250.665,167.992,962.0,252.595,169.156,959.0,255.773,165.086,959.0,260.044,162.363,962.0,267.351,161.351,949.0,274.738,161.477,944.0,293.058,155.622,976.0,301.019,154.001,981.0,310.28,154.395,1001.0,316.123,158.021,1019.0,319.106,162.548,0.0,317.347,164.021,0.0,313.736,160.499,1007.0,308.854,158.485,990.0,301.216,158.536,976.0,293.707,159.712,968.0,280.034,169.066,946.0,279.294,173.913,944.0,277.11,177.917,944.0,273.918,181.892,941.0,275.371,186.913,941.0,282.11,185.006,949.0,286.594,184.6,952.0,294.145,185.394,957.0,295.379,180.324,957.0,292.211,176.815,954.0,290.252,173.107,954.0,289.494,168.331,954.0,271.207,204.4,936.0,274.615,197.986,939.0,279.799,193.339,944.0,284.898,193.577,952.0,290.115,192.512,957.0,295.688,196.117,962.0,299.681,201.781,976.0,296.28,203.173,970.0,291.648,204.288,962.0,285.443,205.103,949.0,279.416,205.624,936.0,274.688,205.366,936.0,275.121,202.73,936.0,279.083,199.238,939.0,284.999,197.973,949.0,291.022,198.203,957.0,295.641,200.762,965.0,290.855,199.455,954.0,285.112,199.547,949.0,279.379,200.49,939.0,247.203,177.262,962.0,246.723,186.28,965.0,247.314,195.221,959.0,248.506,204.325,962.0,250.724,213.341,973.0,254.586,221.201,987.0,260.058,226.287,993.0,267.205,230.078,993.0,276.231,232.328,995.0,286.793,232.889,1004.0,297.175,230.784,1025.0,306.528,227.149,1044.0,313.824,221.435,1060.0,318.943,214.322,0.0,321.78,205.588,0.0,322.978,196.521,0.0,323.507,187.468,0.0,323.133,178.967,0.0,321.861,169.991,0.0,266.569,170.631,944.0,303.426,167.701,970.0,284.605,182.358,949.0,275.477,153.54,936.0,266.877,153.007,939.0,256.584,155.065,970.0,249.971,160.525,965.0,246.862,166.456,968.0,292.492,151.969,981.0,301.084,150.257,990.0,312.026,150.827,1010.0,319.352,155.4,0.0,322.747,160.525,0.0,0
3,278.346,173.125,962.0,274.841,170.695,965.0,270.411,170.131,968.0,266.184,171.801,973.0,263.408,175.28,973.0,266.786,175.832,968.0,270.949,175.574,965.0,275.04,174.546,962.0,299.322,171.608,976.0,302.521,168.901,984.0,307.015,167.684,995.0,311.483,168.733,1001.0,314.383,171.713,1010.0,311.193,172.709,1001.0,306.97,172.957,990.0,302.798,172.527,984.0,279.212,160.196,959.0,271.444,159.593,959.0,263.018,161.068,984.0,257.995,165.142,978.0,255.32,170.16,978.0,257.128,171.367,978.0,260.331,167.496,976.0,264.56,164.935,978.0,271.665,164.044,970.0,278.849,164.238,962.0,297.09,158.729,995.0,304.785,157.226,1004.0,313.678,157.647,1025.0,319.296,161.14,1034.0,322.135,165.508,0.0,320.454,166.948,1031.0,316.996,163.571,1022.0,312.286,161.635,1010.0,304.94,161.639,998.0,297.671,162.711,984.0,284.066,171.933,965.0,283.312,176.724,965.0,281.132,180.69,962.0,277.892,184.604,962.0,279.287,189.534,962.0,286.015,187.703,965.0,290.482,187.341,970.0,297.773,188.187,978.0,299.02,183.245,976.0,295.938,179.731,973.0,294.047,176.013,973.0,293.354,171.292,976.0,274.981,206.507,954.0,278.422,200.284,957.0,283.607,195.791,962.0,288.587,196.058,968.0,293.692,195.077,976.0,299.018,198.641,987.0,302.723,204.209,995.0,299.495,205.699,987.0,295.027,206.863,981.0,288.943,207.661,965.0,282.991,208.078,962.0,278.359,207.667,957.0,278.858,204.974,954.0,282.806,201.546,959.0,288.602,200.346,965.0,294.418,200.636,981.0,298.805,203.221,987.0,294.241,202.085,981.0,288.697,202.181,965.0,283.079,203.005,959.0,251.185,179.652,981.0,250.699,188.503,984.0,251.268,197.266,981.0,252.409,206.149,984.0,254.563,214.891,990.0,258.299,222.523,1001.0,263.653,227.56,1010.0,270.654,231.365,1013.0,279.483,233.695,1013.0,289.845,234.322,1025.0,299.937,232.297,1040.0,308.96,228.681,1060.0,316.014,223.074,1073.0,321.001,216.113,0.0,323.827,207.695,0.0,325.167,198.955,0.0,325.855,190.217,0.0,325.654,181.983,0.0,324.565,173.275,0.0,270.746,173.373,965.0,306.961,170.854,990.0,288.442,185.129,968.0,279.676,156.503,957.0,271.334,155.892,954.0,261.35,157.735,987.0,254.842,162.893,984.0,251.692,168.56,984.0,296.55,155.16,998.0,304.855,153.574,1007.0,315.374,154.172,1034.0,322.428,158.589,1047.0,325.671,163.541,0.0,0
4,289.361,182.846,1031.0,286.005,179.998,1034.0,281.64,179.016,1040.0,277.416,180.581,1047.0,274.618,184.229,1044.0,277.966,184.92,1044.0,282.03,184.869,1034.0,286.027,184.066,1031.0,308.924,182.686,1050.0,312.204,180.003,1056.0,316.714,178.946,1066.0,321.084,180.47,1069.0,323.675,183.929,1069.0,320.541,184.654,1069.0,316.435,184.591,1060.0,312.379,183.857,1056.0,290.987,171.617,1028.0,282.916,170.572,1034.0,273.964,171.765,1053.0,268.654,175.952,1053.0,265.843,181.168,1053.0,267.971,182.147,1050.0,271.225,178.135,1047.0,275.526,175.555,1047.0,282.963,174.98,1037.0,290.338,175.628,1034.0,306.913,171.272,1060.0,314.933,170.281,1069.0,324.19,171.51,1086.0,329.646,175.799,1104.0,332.281,180.688,0.0,330.219,181.808,1104.0,326.995,177.827,1086.0,322.479,175.256,1076.0,314.858,174.667,1066.0,307.425,175.279,1056.0,294.522,182.146,1034.0,293.64,186.551,1031.0,291.472,189.9,1031.0,288.552,193.074,1028.0,289.633,197.944,1031.0,296.035,196.672,1034.0,300.048,196.633,1037.0,307.125,197.805,1047.0,308.529,193.056,1047.0,305.747,189.803,1044.0,304.022,186.513,1044.0,303.464,182.095,1044.0,284.497,214.189,1028.0,288.28,208.558,1031.0,293.45,204.607,1034.0,298.365,205.242,1040.0,303.392,204.538,1047.0,308.654,208.215,1053.0,312.501,213.662,1066.0,308.842,213.996,1056.0,304.204,214.18,1047.0,298.454,214.266,1034.0,292.833,214.542,1031.0,288.148,214.547,1031.0,288.246,212.628,1031.0,292.427,210.021,1031.0,298.31,209.364,1037.0,304.235,209.891,1047.0,308.717,212.273,1056.0,304.047,209.866,1047.0,298.349,209.291,1037.0,292.662,209.992,1031.0,263.769,187.518,1056.0,262.696,196.107,1060.0,262.55,204.79,1066.0,262.992,213.827,1063.0,264.473,222.97,1076.0,267.886,230.975,1090.0,272.983,235.845,1093.0,279.759,239.494,1086.0,288.438,241.721,1086.0,298.452,242.822,1097.0,308.568,241.627,1114.0,317.885,239.342,1140.0,325.245,234.825,1183.0,330.547,228.741,0.0,333.624,220.336,1542.0,334.748,211.467,0.0,335.332,202.589,0.0,335.029,194.35,0.0,334.001,185.595,0.0,281.883,182.565,1040.0,316.494,182.392,1060.0,298.393,194.361,1034.0,291.422,168.035,1025.0,282.762,166.96,1025.0,272.181,168.49,1060.0,265.303,173.791,1056.0,261.995,179.688,1060.0,306.687,167.716,1063.0,315.322,166.683,1076.0,326.248,168.238,1100.0,333.135,173.614,0.0,336.138,179.123,0.0,0
5,293.066,187.665,1056.0,289.705,184.948,1060.0,285.399,184.069,1063.0,281.286,185.524,1069.0,278.515,188.9,1069.0,281.938,189.648,1063.0,285.942,189.623,1060.0,289.815,188.833,1060.0,311.632,187.318,1079.0,314.684,184.723,1083.0,318.992,183.671,1090.0,323.237,184.976,1093.0,325.937,188.077,1100.0,322.945,188.93,1090.0,319.024,189.007,1086.0,315.088,188.373,1083.0,294.115,176.38,1056.0,286.251,175.34,1060.0,277.603,176.38,1076.0,272.563,180.483,1076.0,269.877,185.524,1079.0,272.006,186.327,1073.0,275.181,182.527,1069.0,279.338,180.096,1073.0,286.467,179.574,1066.0,293.535,180.199,1060.0,309.476,176.048,1083.0,316.95,174.79,1093.0,325.585,175.498,1107.0,330.892,179.439,1129.0,333.695,184.078,0.0,331.675,185.184,1122.0,328.476,181.554,1114.0,324.184,179.299,1097.0,317.11,179.008,1090.0,310.223,179.806,1083.0,298.061,186.917,1060.0,297.648,191.614,1060.0,295.888,195.252,1056.0,293.236,198.441,1056.0,294.495,203.186,1060.0,300.779,202.006,1060.0,304.834,201.955,1063.0,311.39,202.79,1073.0,312.387,198.106,1073.0,309.364,194.812,1069.0,307.475,191.282,1069.0,306.695,186.689,1069.0,290.812,218.461,1056.0,294.183,213.369,1056.0,298.947,209.692,1060.0,303.547,210.282,1063.0,308.037,209.497,1069.0,313.024,212.745,1079.0,316.722,217.622,1090.0,313.549,218.625,1083.0,309.317,219.358,1073.0,304.124,219.66,1063.0,298.804,219.75,1060.0,294.299,219.376,1056.0,294.368,217.108,1056.0,298.189,214.777,1056.0,303.704,214.155,1060.0,309.155,214.523,1069.0,313.065,216.625,1079.0,309.048,215.047,1069.0,303.745,214.806,1060.0,298.42,215.293,1056.0,268.062,191.76,1079.0,267.741,200.377,1086.0,268.235,208.955,1090.0,269.392,217.766,1090.0,271.546,226.388,1100.0,275.447,233.788,1111.0,280.722,238.353,1114.0,287.415,241.848,1114.0,295.703,243.998,1114.0,305.226,244.879,1129.0,314.62,243.323,1148.0,322.913,240.561,1171.0,329.319,235.938,1221.0,333.954,230.013,0.0,336.5,222.103,1536.0,337.136,213.795,1542.0,337.34,205.367,0.0,336.714,197.545,1183.0,335.404,189.175,0.0,285.708,187.401,1060.0,318.942,186.885,1086.0,302.797,199.568,1060.0,294.433,172.895,1053.0,286.041,171.839,1060.0,275.788,173.208,1083.0,269.165,178.43,1083.0,265.998,184.143,1083.0,309.015,172.556,1086.0,317.005,171.248,1097.0,327.283,172.187,1118.0,334.208,177.122,0.0,337.477,182.352,0.0,0
6,293.736,189.459,1079.0,290.363,186.811,1083.0,286.079,185.966,1086.0,281.977,187.359,1090.0,279.157,190.613,1090.0,282.647,191.367,1086.0,286.651,191.362,1083.0,290.498,190.591,1079.0,312.116,189.115,1097.0,315.115,186.609,1100.0,319.351,185.594,1107.0,323.541,186.83,1111.0,326.273,189.794,1118.0,323.324,190.657,1111.0,319.465,190.757,1104.0,315.576,190.139,1100.0,294.599,177.808,1069.0,286.784,176.758,1079.0,278.228,177.738,1100.0,273.27,181.821,1097.0,270.598,186.803,1100.0,272.689,187.552,1097.0,275.899,183.809,1093.0,280.046,181.429,1093.0,287.08,180.943,1086.0,294.053,181.577,1076.0,309.958,177.552,1100.0,317.219,176.261,1111.0,325.593,176.853,1125.0,330.805,180.714,1136.0,333.633,185.286,0.0,331.641,186.379,1136.0,328.462,182.839,1129.0,324.273,180.663,1114.0,317.423,180.428,1107.0,310.742,181.245,1100.0,298.771,188.651,1083.0,298.53,193.417,1079.0,296.894,197.12,1076.0,294.256,200.269,1076.0,295.589,204.962,1076.0,301.979,203.763,1079.0,306.107,203.715,1083.0,312.499,204.512,1090.0,313.361,199.875,1093.0,310.195,196.584,1090.0,308.212,193.0,1090.0,307.342,188.384,1090.0,292.28,219.743,1079.0,295.608,214.823,1076.0,300.338,211.229,1076.0,304.867,211.816,1083.0,309.197,211.028,1086.0,314.115,214.168,1090.0,317.75,218.898,1100.0,314.732,220.147,1093.0,310.631,221.056,1086.0,305.606,221.414,1083.0,300.325,221.428,1076.0,295.795,220.91,1076.0,295.759,218.479,1073.0,299.585,216.211,1076.0,305.074,215.607,1083.0,310.426,215.95,1086.0,314.175,218.024,1093.0,310.36,216.736,1086.0,305.131,216.594,1083.0,299.823,216.991,1076.0,268.593,193.452,1100.0,268.544,202.052,1107.0,269.253,210.53,1114.0,270.643,219.189,1118.0,273.02,227.541,1125.0,277.073,234.639,1129.0,282.479,239.081,1133.0,289.24,242.514,1133.0,297.487,244.664,1136.0,306.948,245.47,1144.0,316.129,243.808,1167.0,324.053,240.87,1195.0,330.124,236.234,1234.0,334.511,230.372,0.0,336.821,222.765,0.0,337.282,214.779,0.0,337.368,206.632,0.0,336.645,199.075,0.0,335.257,190.936,0.0,286.389,189.191,1083.0,319.345,188.687,1104.0,303.86,201.35,1079.0,294.882,174.362,1069.0,286.555,173.299,1086.0,276.391,174.606,1107.0,269.841,179.813,1104.0,266.698,185.461,1107.0,309.423,174.087,1111.0,317.169,172.746,1118.0,327.19,173.545,1136.0,334.097,178.378,1171.0,337.428,183.535,0.0,0
7,293.991,190.856,1086.0,290.667,188.244,1086.0,286.423,187.396,1097.0,282.368,188.734,1097.0,279.557,191.887,1097.0,283.015,192.685,1097.0,286.976,192.719,1093.0,290.784,191.983,1086.0,312.243,190.597,1107.0,315.186,188.131,1111.0,319.37,187.141,1114.0,323.511,188.346,1118.0,326.235,191.229,1125.0,323.329,192.12,1118.0,319.516,192.241,1111.0,315.662,191.629,1107.0,294.849,179.446,1076.0,287.19,178.363,1086.0,278.812,179.228,1107.0,273.887,183.132,1107.0,271.164,187.934,1107.0,273.186,188.73,1104.0,276.423,185.144,1100.0,280.569,182.88,1104.0,287.466,182.458,1093.0,294.31,183.122,1083.0,310.117,179.272,1111.0,317.188,177.984,1118.0,325.344,178.508,1129.0,330.487,182.202,1148.0,333.362,186.592,1151.0,331.442,187.735,1144.0,328.256,184.349,1133.0,324.109,182.274,1122.0,317.412,182.066,1114.0,310.895,182.873,1111.0,299.033,190.181,1086.0,298.818,194.931,1086.0,297.247,198.682,1086.0,294.711,201.859,1090.0,296.081,206.478,1086.0,302.316,205.37,1086.0,306.407,205.344,1086.0,312.615,206.098,1097.0,313.486,201.517,1100.0,310.354,198.174,1097.0,308.382,194.532,1097.0,307.487,189.942,1100.0,292.982,220.901,1086.0,296.243,216.284,1083.0,300.804,212.862,1086.0,305.203,213.459,1090.0,309.365,212.702,1093.0,314.115,215.722,1100.0,317.692,220.191,1111.0,314.727,221.194,1100.0,310.731,221.935,1093.0,305.916,222.205,1086.0,300.822,222.219,1086.0,296.421,221.817,1083.0,296.474,219.664,1083.0,300.168,217.673,1083.0,305.426,217.155,1086.0,310.53,217.482,1093.0,314.106,219.339,1100.0,310.429,217.775,1093.0,305.44,217.531,1086.0,300.387,217.957,1083.0,268.992,194.447,1111.0,269.007,202.926,1111.0,269.75,211.334,1122.0,271.197,219.911,1125.0,273.622,228.141,1136.0,277.739,235.124,1140.0,283.16,239.476,1140.0,289.881,242.817,1140.0,298.018,244.884,1140.0,307.286,245.658,1155.0,316.314,244.069,1175.0,324.126,241.265,1204.0,330.141,236.796,1234.0,334.535,231.122,0.0,336.891,223.642,1529.0,337.362,215.759,0.0,337.447,207.709,0.0,336.74,200.198,0.0,335.377,192.175,1148.0,286.723,190.563,1093.0,319.381,190.179,1111.0,304.152,202.94,1086.0,295.152,176.056,1079.0,287.0,174.956,1104.0,277.051,176.125,1111.0,270.552,181.106,1111.0,267.355,186.552,1114.0,309.541,175.859,1118.0,317.079,174.522,1125.0,326.84,175.235,1140.0,333.664,179.854,1171.0,337.048,184.802,0.0,0
8,293.912,192.242,1097.0,290.649,189.689,1100.0,286.458,188.869,1107.0,282.467,190.205,1107.0,279.705,193.318,1111.0,283.077,194.121,1107.0,286.988,194.151,1104.0,290.759,193.412,1097.0,312.198,191.923,1118.0,315.094,189.462,1122.0,319.228,188.463,1125.0,323.313,189.628,1129.0,325.984,192.467,1136.0,323.132,193.389,1125.0,319.36,193.541,1125.0,315.539,192.954,1122.0,294.866,181.128,1086.0,287.379,180.087,1107.0,279.208,180.932,1118.0,274.297,184.657,1114.0,271.52,189.288,1118.0,273.45,190.199,1114.0,276.696,186.745,1114.0,280.838,184.559,1114.0,287.608,184.125,1104.0,294.348,184.751,1097.0,310.134,180.887,1125.0,317.046,179.603,1133.0,325.012,180.076,1140.0,330.093,183.555,1163.0,332.959,187.736,1159.0,331.144,188.96,1155.0,327.976,185.744,1144.0,323.851,183.787,1133.0,317.275,183.62,1125.0,310.883,184.433,1118.0,299.022,191.66,1100.0,298.746,196.359,1097.0,297.169,200.135,1097.0,294.692,203.402,1097.0,296.1,207.978,1097.0,302.205,206.867,1097.0,306.221,206.821,1100.0,312.261,207.533,1111.0,313.194,202.982,1114.0,310.198,199.592,1107.0,308.271,195.941,1107.0,307.381,191.4,1111.0,292.917,222.382,1100.0,296.156,217.879,1097.0,300.627,214.498,1097.0,304.954,215.055,1100.0,309.063,214.31,1104.0,313.63,217.261,1111.0,317.072,221.595,1122.0,314.151,222.314,1114.0,310.247,222.868,1107.0,305.529,223.097,1100.0,300.562,223.197,1097.0,296.278,222.98,1097.0,296.481,221.115,1097.0,300.084,219.233,1097.0,305.139,218.713,1100.0,310.009,219.018,1107.0,313.451,220.72,1111.0,309.848,218.847,1107.0,305.109,218.514,1100.0,300.282,219.053,1097.0,268.731,195.801,1125.0,268.706,204.205,1125.0,269.419,212.621,1133.0,270.823,221.198,1140.0,273.214,229.424,1148.0,277.342,236.422,1151.0,282.761,240.732,1151.0,289.477,243.971,1148.0,297.602,245.895,1155.0,306.778,246.581,1163.0,315.71,245.012,1183.0,323.504,242.285,1204.0,329.527,237.87,0.0,333.939,232.243,0.0,336.362,224.727,1536.0,336.936,216.808,0.0,337.085,208.753,0.0,336.447,201.199,0.0,335.143,193.233,0.0,286.752,192.001,1107.0,319.231,191.478,1125.0,304.005,204.414,1100.0,295.2,177.766,1090.0,287.23,176.708,1107.0,277.554,177.84,1122.0,271.127,182.579,1122.0,267.879,187.822,1129.0,309.549,177.52,1129.0,316.928,176.183,1136.0,326.44,176.832,1151.0,333.121,181.184,1187.0,336.48,185.9,0.0,0
9,292.55,192.492,1100.0,289.433,189.981,1104.0,285.37,189.19,1111.0,281.487,190.421,1111.0,278.807,193.35,1114.0,282.029,194.207,1111.0,285.808,194.279,1111.0,289.485,193.592,1104.0,310.451,192.248,1118.0,313.271,189.843,1125.0,317.331,188.915,1129.0,321.336,190.023,1133.0,324.013,192.729,1140.0,321.147,193.666,1133.0,317.423,193.815,1129.0,313.681,193.245,1125.0,293.369,181.446,1093.0,286.337,180.3,1111.0,278.612,180.92,1122.0,273.914,184.36,1122.0,271.239,188.754,1122.0,273.053,189.752,1118.0,276.146,186.543,1118.0,280.099,184.559,1114.0,286.486,184.269,1107.0,292.84,184.962,1097.0,308.536,181.204,1125.0,315.234,179.896,1133.0,322.933,180.244,1140.0,327.912,183.541,1151.0,330.713,187.574,1159.0,329.009,188.84,1155.0,325.889,185.8,1144.0,321.807,183.987,1136.0,315.446,183.864,1129.0,309.228,184.664,1125.0,297.441,191.936,1104.0,297.07,196.753,1100.0,295.456,200.71,1100.0,292.982,204.201,1100.0,294.244,208.764,1100.0,299.993,207.794,1100.0,303.965,207.761,1100.0,310.027,208.492,1111.0,310.997,203.95,1111.0,308.12,200.366,1111.0,306.358,196.46,1114.0,305.617,191.747,1114.0,291.558,223.42,1104.0,294.371,218.762,1100.0,298.559,215.377,1100.0,302.667,215.947,1104.0,306.627,215.246,1111.0,311.046,218.31,1111.0,314.252,222.846,1118.0,311.647,224.17,1114.0,307.918,225.192,1111.0,303.233,225.587,1107.0,298.399,225.444,1104.0,294.457,224.681,1104.0,295.088,222.328,1100.0,298.155,220.198,1100.0,302.847,219.641,1104.0,307.473,220.064,1107.0,310.643,222.072,1111.0,307.371,220.923,1107.0,302.885,220.79,1100.0,298.403,221.065,1100.0,268.803,195.621,1125.0,268.677,203.953,1129.0,269.343,212.258,1136.0,270.717,220.68,1144.0,272.979,228.754,1151.0,276.76,235.761,1151.0,281.699,240.406,1155.0,287.877,244.099,1159.0,295.46,246.524,1159.0,304.24,247.504,1167.0,312.977,245.987,1179.0,320.622,243.077,1204.0,326.606,238.47,1216.0,331.067,232.713,0.0,333.726,225.232,0.0,334.649,217.327,0.0,335.075,209.245,0.0,334.7,201.583,0.0,333.619,193.511,1159.0,285.621,192.189,1111.0,317.331,191.811,1129.0,301.973,205.255,1100.0,293.816,178.116,1093.0,286.317,176.94,1114.0,277.12,177.799,1129.0,270.9,182.193,1129.0,267.736,187.184,1129.0,307.942,177.872,1129.0,315.082,176.51,1136.0,324.261,177.014,1151.0,330.784,181.141,1171.0,334.064,185.69,0.0,0
10,291.484,192.582,1107.0,288.416,190.153,1111.0,284.398,189.392,1114.0,280.528,190.575,1118.0,277.824,193.41,1118.0,281.024,194.231,1114.0,284.774,194.303,1111.0,288.439,193.65,1111.0,309.649,192.406,1125.0,312.485,190.096,1129.0,316.529,189.242,1136.0,320.51,190.338,1140.0,323.206,192.99,1144.0,320.291,193.867,1140.0,316.55,193.972,1133.0,312.823,193.397,1129.0,292.377,181.397,1100.0,285.573,180.246,1107.0,278.122,180.81,1125.0,273.471,184.053,1125.0,270.753,188.261,1125.0,272.409,189.378,1125.0,275.543,186.308,1125.0,279.501,184.429,1122.0,285.697,184.179,1111.0,291.885,184.871,1104.0,307.872,181.184,1133.0,314.431,179.954,1140.0,321.956,180.348,1151.0,326.888,183.521,1155.0,329.68,187.422,1167.0,328.093,188.763,1163.0,324.928,185.806,1151.0,320.817,184.052,1144.0,314.563,183.891,1140.0,308.434,184.621,1125.0,296.465,192.014,1111.0,295.96,196.75,1104.0,294.237,200.689,1104.0,291.662,204.268,1104.0,292.889,208.773,1104.0,298.626,207.743,1107.0,302.658,207.72,1111.0,308.812,208.599,1118.0,309.886,204.114,1122.0,307.047,200.451,1118.0,305.34,196.538,1118.0,304.654,191.879,1125.0,290.18,223.605,1107.0,292.897,218.714,1107.0,297.085,215.232,1107.0,301.189,215.772,1111.0,305.183,215.132,1114.0,309.594,218.356,1122.0,312.689,223.15,1129.0,310.15,224.607,1125.0,306.438,225.724,1114.0,301.649,226.156,1114.0,296.77,225.95,1104.0,292.911,225.034,1104.0,293.744,222.543,1107.0,296.687,220.155,1104.0,301.331,219.525,1111.0,305.932,220.064,1114.0,309.052,222.342,1122.0,305.819,221.374,1114.0,301.373,221.265,1111.0,296.948,221.483,1104.0,267.832,195.808,1133.0,267.545,204.001,1136.0,268.074,212.156,1140.0,269.344,220.435,1144.0,271.487,228.401,1148.0,275.088,235.398,1148.0,279.915,240.212,1159.0,286.03,244.071,1159.0,293.579,246.686,1159.0,302.397,247.775,1171.0,311.258,246.342,1187.0,319.054,243.416,1204.0,325.231,238.761,1221.0,329.838,232.928,0.0,332.637,225.524,0.0,333.774,217.677,0.0,334.364,209.664,0.0,334.128,202.038,0.0,333.164,194.055,0.0,284.611,192.287,1114.0,316.506,192.039,1136.0,300.727,205.295,1111.0,292.902,178.113,1100.0,285.625,176.923,1122.0,276.732,177.703,1133.0,270.59,181.845,1133.0,267.379,186.623,1133.0,307.284,177.9,1136.0,314.297,176.616,1144.0,323.268,177.167,1159.0,329.681,181.143,1175.0,332.938,185.546,0.0,0
