,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,240.236,201.238,904.0,236.491,198.299,904.0,231.472,197.443,892.0,226.675,198.741,890.0,223.507,201.817,928.0,226.919,203.246,886.0,231.58,203.501,890.0,236.345,202.637,897.0,263.143,200.416,926.0,266.66,197.331,933.0,271.874,196.048,944.0,277.019,197.008,959.0,280.448,199.774,965.0,276.851,201.424,957.0,272.026,201.983,944.0,267.166,201.494,933.0,240.682,188.159,919.0,232.353,186.741,904.0,222.959,187.0,923.0,217.407,190.681,923.0,214.311,195.617,921.0,216.395,196.801,921.0,219.769,193.395,921.0,224.272,191.361,911.0,232.012,191.223,899.0,239.76,192.051,911.0,261.245,187.2,939.0,270.038,185.185,952.0,280.076,184.794,976.0,286.425,188.231,0.0,289.762,192.609,0.0,287.793,194.023,0.0,284.1,191.027,0.0,278.831,189.385,962.0,270.62,189.722,949.0,262.291,191.069,933.0,246.139,200.881,916.0,245.455,207.076,914.0,243.267,212.56,914.0,239.669,217.351,907.0,240.808,222.872,914.0,247.203,222.374,919.0,252.575,222.155,921.0,260.342,222.273,931.0,261.725,216.767,923.0,258.272,212.274,919.0,256.648,206.72,921.0,256.418,200.541,923.0,237.183,239.485,914.0,240.756,235.158,914.0,245.585,231.744,919.0,250.299,232.507,923.0,255.166,231.406,928.0,260.359,234.317,933.0,264.594,238.225,944.0,261.272,239.939,936.0,256.56,241.353,931.0,250.39,242.075,923.0,244.392,241.937,916.0,240.155,240.941,916.0,241.517,238.607,914.0,245.046,237.005,916.0,250.301,236.579,923.0,255.839,236.554,928.0,260.2,237.656,936.0,255.655,236.319,928.0,250.304,236.378,923.0,245.276,236.814,916.0,211.9,203.633,919.0,211.943,213.344,916.0,213.268,223.118,923.0,215.203,232.654,928.0,217.997,241.65,926.0,222.208,249.503,911.0,227.278,255.015,941.0,233.449,259.751,946.0,241.29,263.069,981.0,251.0,264.409,990.0,260.947,262.587,1007.0,270.0,258.875,1025.0,277.359,253.291,1050.0,283.352,246.682,1076.0,287.89,237.993,1097.0,290.627,228.775,0.0,292.492,219.297,0.0,293.511,209.826,0.0,293.453,199.655,0.0,231.653,200.865,892.0,271.898,199.435,944.0,250.483,218.578,919.0,241.612,184.13,923.0,232.814,182.673,909.0,221.702,183.121,931.0,214.207,187.862,928.0,210.463,193.5,923.0,260.434,183.254,941.0,269.704,181.174,946.0,281.45,180.868,981.0,289.564,185.196,0.0,293.408,190.153,0.0,0
2,258.622,193.916,1022.0,255.294,191.464,1016.0,250.999,190.807,1001.0,246.885,192.108,998.0,244.157,195.033,1019.0,247.337,195.937,1013.0,251.323,195.959,1016.0,255.321,195.14,1019.0,278.581,192.908,1037.0,281.636,190.299,1040.0,286.043,189.205,1056.0,290.439,190.121,1069.0,293.463,192.693,1073.0,290.291,193.873,1069.0,286.17,194.22,1056.0,282.06,193.805,1044.0,259.011,181.753,1028.0,251.856,180.71,1010.0,243.925,181.398,1004.0,239.19,184.864,1031.0,236.592,189.339,1025.0,238.295,190.484,1025.0,241.327,187.225,1001.0,245.3,185.202,998.0,251.879,184.825,1007.0,258.493,185.386,1022.0,276.449,180.667,1047.0,283.837,178.994,1060.0,292.355,178.949,1086.0,297.864,182.093,0.0,300.877,186.093,1144.0,299.293,187.514,1144.0,295.818,184.588,0.0,291.186,182.967,1079.0,284.163,183.141,1056.0,277.153,184.274,1044.0,263.78,193.146,1022.0,263.158,198.303,1022.0,261.201,202.745,1022.0,258.08,206.793,1013.0,259.208,211.586,1019.0,265.259,210.688,1025.0,269.861,210.456,1028.0,277.08,210.859,1037.0,278.205,206.029,1034.0,274.974,202.261,1031.0,273.277,197.872,1031.0,272.771,192.737,1031.0,256.109,226.927,1022.0,259.2,221.991,1022.0,263.727,218.434,1028.0,268.175,218.949,1034.0,272.685,218.0,1034.0,277.836,221.001,1047.0,281.823,225.49,1063.0,278.71,227.618,1060.0,274.396,229.222,1047.0,268.7,230.02,1034.0,263.152,229.909,1025.0,259.055,228.801,1022.0,259.61,225.954,1022.0,263.102,223.519,1028.0,268.327,222.802,1031.0,273.832,222.982,1037.0,278.163,224.913,1053.0,273.783,224.518,1040.0,268.43,224.773,1031.0,263.347,225.074,1025.0,234.469,197.79,1031.0,234.277,206.327,1028.0,235.122,214.696,1034.0,236.638,223.069,1031.0,238.966,231.148,1025.0,242.571,238.258,1044.0,247.264,243.353,1050.0,253.171,247.608,1056.0,260.631,250.583,1076.0,269.737,251.703,1090.0,279.054,250.005,1111.0,287.419,246.559,1129.0,294.154,241.338,1171.0,299.309,235.024,1191.0,302.731,227.214,1529.0,304.509,218.944,1536.0,305.554,210.488,0.0,305.769,202.282,0.0,305.105,193.507,0.0,251.242,193.795,1007.0,286.085,192.14,1056.0,267.984,207.677,1025.0,259.672,178.233,1034.0,252.025,177.154,1019.0,242.554,178.081,1010.0,236.212,182.54,1037.0,233.089,187.649,1031.0,275.733,177.217,1044.0,283.606,175.471,1060.0,293.659,175.53,1093.0,300.694,179.479,0.0,304.161,183.999,1151.0,0
3,262.346,193.401,1073.0,259.057,191.058,1073.0,254.873,190.478,1073.0,250.876,191.774,1079.0,248.262,194.62,1079.0,251.38,195.451,1073.0,255.252,195.421,1073.0,259.128,194.581,1073.0,281.563,192.135,1086.0,284.518,189.572,1093.0,288.797,188.458,1100.0,293.103,189.28,1111.0,296.125,191.7,1122.0,293.022,192.875,1111.0,289.012,193.263,1100.0,285.006,192.925,1093.0,262.412,181.537,1073.0,255.427,180.588,1060.0,247.681,181.343,1090.0,243.185,184.838,1086.0,240.809,189.273,1086.0,242.513,190.268,1086.0,245.354,187.029,1086.0,249.127,184.998,1083.0,255.518,184.571,1060.0,261.942,185.055,1066.0,279.265,180.217,1097.0,286.506,178.456,1107.0,294.887,178.269,1125.0,300.317,181.334,1148.0,303.313,185.27,0.0,301.751,186.602,1136.0,298.315,183.747,1136.0,293.774,182.202,1118.0,286.896,182.477,1100.0,280.024,183.699,1097.0,267.193,192.497,1076.0,266.693,197.542,1076.0,264.857,201.865,1073.0,261.799,205.768,1079.0,262.87,210.393,1076.0,268.794,209.529,1079.0,273.355,209.24,1086.0,280.577,209.474,1093.0,281.532,204.786,1090.0,278.21,201.245,1086.0,276.496,197.004,1083.0,275.966,191.979,1086.0,260.161,225.151,1073.0,263.108,220.285,1076.0,267.509,216.811,1083.0,271.877,217.279,1086.0,276.292,216.27,1090.0,281.543,219.083,1097.0,285.68,223.404,1111.0,282.623,225.961,1107.0,278.356,227.878,1100.0,272.681,228.834,1086.0,267.144,228.689,1079.0,263.086,227.388,1073.0,263.382,224.254,1073.0,266.853,221.75,1079.0,272.118,220.988,1083.0,277.749,221.067,1090.0,282.24,222.98,1104.0,277.813,223.199,1090.0,272.309,223.692,1083.0,267.132,223.898,1079.0,239.59,197.417,1086.0,239.548,205.669,1090.0,240.518,213.641,1097.0,242.156,221.61,1097.0,244.546,229.297,1107.0,248.067,236.052,1118.0,252.565,240.976,1118.0,258.19,245.166,1133.0,265.299,248.148,1133.0,274.087,249.226,1144.0,283.106,247.443,1159.0,291.133,243.896,1175.0,297.571,238.685,1191.0,302.491,232.478,0.0,305.729,224.951,1529.0,307.349,216.996,1536.0,308.259,208.836,0.0,308.361,200.944,1195.0,307.608,192.41,1204.0,255.147,193.348,1073.0,288.893,191.276,1100.0,271.499,206.538,1083.0,263.006,178.129,1079.0,255.539,177.149,1066.0,246.264,178.161,1097.0,240.186,182.678,1093.0,237.309,187.757,1090.0,278.513,176.886,1100.0,286.216,175.05,1111.0,296.114,174.942,1133.0,303.083,178.787,1163.0,306.536,183.23,1200.0,0
4,276.54,192.634,1159.0,273.479,190.439,1163.0,269.625,189.939,1163.0,266.05,191.423,1171.0,263.883,194.456,1171.0,266.657,195.073,1171.0,270.17,194.882,1159.0,273.679,193.929,1159.0,294.201,190.946,1175.0,296.851,188.345,1175.0,300.789,187.1,1187.0,304.809,187.909,1191.0,307.504,190.408,1200.0,304.72,191.531,1191.0,301.01,191.943,1187.0,297.316,191.678,1175.0,276.59,181.839,1151.0,269.916,181.314,1155.0,262.532,182.549,1179.0,258.428,186.192,1179.0,256.46,190.646,1175.0,258.205,191.492,1175.0,260.602,188.113,1175.0,263.985,185.874,1175.0,270.101,185.101,1159.0,276.259,185.261,1159.0,291.694,180.119,1183.0,298.653,178.423,1191.0,306.831,178.356,1208.0,311.971,181.377,1221.0,314.663,185.177,1229.0,313.137,186.421,1225.0,309.974,183.547,1204.0,305.702,181.963,1200.0,299.007,182.243,1187.0,292.428,183.492,1179.0,280.969,191.783,1163.0,280.441,196.133,1159.0,278.734,199.877,1163.0,276.2,203.436,1163.0,277.341,207.716,1159.0,282.446,206.53,1163.0,286.219,206.154,1167.0,292.807,206.42,1175.0,293.786,202.03,1175.0,291.01,198.971,1171.0,289.444,195.433,1171.0,288.894,191.106,1171.0,274.7,222.04,1159.0,277.298,217.298,1155.0,281.168,213.753,1159.0,285.203,214.052,1163.0,289.338,213.004,1167.0,294.125,215.674,1179.0,297.971,219.693,1187.0,294.937,220.793,1183.0,290.944,221.722,1171.0,285.887,222.404,1163.0,281.112,222.808,1159.0,277.438,222.642,1159.0,277.863,220.733,1159.0,280.84,218.469,1159.0,285.444,217.62,1159.0,290.431,217.559,1167.0,294.527,219.021,1183.0,290.298,217.719,1167.0,285.504,217.804,1159.0,281.064,218.621,1159.0,255.753,197.638,1179.0,255.568,205.201,1187.0,256.322,212.698,1191.0,257.569,220.265,1195.0,259.544,227.741,1212.0,262.762,234.255,1234.0,267.008,238.537,1221.0,272.429,241.884,1221.0,279.353,243.962,1216.0,287.646,244.555,1225.0,296.158,242.847,1238.0,304.036,239.866,1252.0,310.284,235.155,1270.0,314.848,229.373,1280.0,317.611,221.97,1542.0,318.764,214.207,1536.0,319.289,206.391,0.0,319.112,198.884,1275.0,318.14,190.883,1294.0,270.01,192.847,1159.0,300.9,189.982,1183.0,284.818,203.892,1167.0,276.962,178.609,1155.0,269.809,178.08,1159.0,261.011,179.646,1187.0,255.505,184.328,1187.0,253.102,189.413,1183.0,291.107,177.0,1187.0,298.552,175.222,1195.0,308.166,175.252,1216.0,314.632,179.037,1243.0,317.686,183.32,1275.0,0
5,286.198,193.33,1204.0,283.262,191.417,1204.0,279.707,191.018,1208.0,276.414,192.56,1208.0,274.413,195.594,1208.0,277.105,195.918,1208.0,280.353,195.597,1204.0,283.566,194.635,1204.0,303.322,191.385,1216.0,305.831,188.999,1221.0,309.42,187.805,1221.0,313.124,188.599,1234.0,315.628,191.061,1234.0,313.04,191.97,1229.0,309.614,192.301,1221.0,306.217,192.077,1221.0,286.379,182.501,1195.0,280.158,182.245,1200.0,273.419,183.825,1221.0,269.566,187.375,1221.0,267.691,191.602,1221.0,269.148,192.608,1216.0,271.566,189.222,1216.0,274.865,186.915,1221.0,280.549,185.926,1208.0,286.333,185.894,1200.0,300.565,180.617,1221.0,306.908,179.114,1229.0,314.446,179.293,1247.0,319.248,182.108,1252.0,321.864,185.653,1256.0,320.649,187.038,1252.0,317.438,184.204,1247.0,313.354,182.63,1238.0,307.115,182.826,1225.0,301.071,183.998,1221.0,290.615,192.26,1204.0,290.013,196.043,1204.0,288.289,199.262,1204.0,285.807,202.475,1204.0,287.066,206.445,1195.0,292.395,204.948,1200.0,295.906,204.537,1204.0,302.409,204.864,1216.0,303.356,200.737,1221.0,300.603,198.069,1212.0,298.92,195.197,1208.0,298.171,191.485,1208.0,283.922,220.031,1204.0,286.772,215.09,1191.0,290.829,211.469,1191.0,294.964,211.595,1204.0,299.154,210.553,1204.0,304.157,213.124,1212.0,308.242,217.208,1225.0,304.847,218.065,1216.0,300.782,218.686,1208.0,295.75,219.31,1200.0,291.007,219.98,1200.0,287.107,220.261,1200.0,286.65,218.592,1191.0,290.275,216.065,1191.0,295.235,215.055,1195.0,300.543,214.925,1204.0,305.203,216.442,1221.0,300.423,215.014,1204.0,295.292,215.057,1195.0,290.449,216.123,1191.0,266.073,199.574,1221.0,265.713,206.668,1225.0,266.153,213.601,1229.0,267.113,220.751,1243.0,268.883,227.946,1261.0,272.006,234.166,1265.0,276.459,238.12,1261.0,282.212,240.949,1252.0,289.44,242.503,1252.0,297.845,242.722,1256.0,306.351,241.046,1265.0,314.233,238.275,1289.0,320.469,233.78,1299.0,324.779,228.115,1529.0,326.993,221.083,1536.0,327.654,213.701,1536.0,327.727,206.357,1542.0,327.122,199.443,1309.0,325.823,192.143,1270.0,280.127,193.759,1204.0,309.524,190.525,1221.0,294.479,202.667,1204.0,286.633,179.48,1191.0,279.897,179.225,1200.0,271.847,181.175,1225.0,266.813,185.708,1225.0,264.575,190.514,1225.0,300.003,177.707,1229.0,306.876,176.106,1238.0,315.78,176.395,1256.0,321.751,179.93,1265.0,324.692,183.925,1280.0,0
6,288.105,193.785,1208.0,285.194,191.919,1208.0,281.672,191.508,1212.0,278.365,192.957,1216.0,276.277,195.863,1216.0,279.015,196.188,1216.0,282.263,195.909,1208.0,285.467,195.01,1208.0,305.171,192.062,1221.0,307.69,189.814,1221.0,311.244,188.718,1225.0,314.897,189.515,1234.0,317.398,191.901,1238.0,314.805,192.742,1229.0,311.406,193.019,1225.0,308.049,192.76,1221.0,288.29,182.71,1204.0,282.138,182.386,1208.0,275.488,183.852,1225.0,271.663,187.318,1225.0,269.748,191.447,1225.0,271.135,192.43,1221.0,273.625,189.124,1221.0,276.944,186.899,1221.0,282.543,186.005,1216.0,288.238,186.04,1208.0,302.568,181.047,1225.0,308.776,179.653,1238.0,316.124,179.903,1252.0,320.809,182.731,1252.0,323.381,186.247,1261.0,322.182,187.588,1256.0,319.016,184.766,1247.0,315.016,183.184,1243.0,308.93,183.304,1225.0,303.011,184.375,1225.0,292.571,192.701,1208.0,292.0,196.423,1212.0,290.285,199.577,1208.0,287.737,202.688,1204.0,288.976,206.575,1204.0,294.392,205.079,1204.0,297.98,204.714,1208.0,304.417,205.168,1221.0,305.354,201.147,1221.0,302.53,198.496,1216.0,300.833,195.651,1212.0,300.09,192.01,1216.0,285.887,219.73,1204.0,288.745,214.861,1195.0,292.834,211.31,1200.0,296.931,211.469,1204.0,301.052,210.5,1208.0,306.006,213.112,1221.0,309.996,217.232,1234.0,306.695,218.195,1225.0,302.698,218.872,1212.0,297.725,219.468,1204.0,292.969,220.032,1204.0,289.052,220.165,1204.0,288.574,218.374,1204.0,292.206,215.845,1200.0,297.186,214.88,1204.0,302.469,214.834,1208.0,307.02,216.481,1225.0,302.383,215.204,1208.0,297.268,215.245,1204.0,292.401,216.191,1200.0,267.923,199.815,1225.0,267.596,206.759,1225.0,268.032,213.487,1234.0,269.004,220.414,1247.0,270.774,227.344,1265.0,273.841,233.329,1270.0,278.302,237.244,1261.0,284.055,240.093,1256.0,291.239,241.753,1252.0,299.624,242.042,1256.0,308.062,240.442,1265.0,315.792,237.692,1289.0,321.927,233.307,1294.0,326.179,227.769,1542.0,328.342,221.067,1536.0,329.008,214.007,1529.0,329.125,206.957,1309.0,328.567,200.321,1304.0,327.334,193.27,1270.0,282.045,194.142,1208.0,311.333,191.316,1225.0,296.459,202.93,1208.0,288.565,179.757,1200.0,281.905,179.431,1208.0,273.939,181.249,1229.0,268.925,185.68,1234.0,266.649,190.376,1225.0,302.011,178.188,1234.0,308.735,176.703,1243.0,317.45,177.072,1256.0,323.333,180.624,1275.0,326.241,184.588,1270.0,0
7,290.77,194.454,1212.0,287.982,192.714,1212.0,284.617,192.329,1216.0,281.451,193.72,1221.0,279.421,196.507,1221.0,282.072,196.791,1221.0,285.178,196.525,1216.0,288.252,195.668,1216.0,307.73,192.797,1225.0,310.156,190.677,1225.0,313.563,189.656,1229.0,317.079,190.43,1238.0,319.525,192.732,1238.0,316.992,193.522,1234.0,313.692,193.768,1225.0,310.461,193.507,1225.0,290.962,183.125,1212.0,285.212,182.822,1208.0,279.035,184.241,1229.0,275.375,187.466,1229.0,273.473,191.34,1229.0,274.654,192.473,1225.0,277.15,189.329,1225.0,280.406,187.223,1229.0,285.65,186.361,1221.0,291.016,186.387,1212.0,305.161,181.507,1234.0,310.997,180.218,1238.0,317.934,180.529,1252.0,322.424,183.169,1256.0,324.949,186.455,1256.0,323.952,187.92,1252.0,320.776,185.228,1247.0,316.858,183.728,1243.0,311.06,183.806,1238.0,305.446,184.796,1229.0,295.285,193.42,1212.0,294.631,196.968,1208.0,292.899,200.068,1208.0,290.425,203.215,1208.0,291.709,206.972,1208.0,296.934,205.404,1208.0,300.389,205.059,1212.0,306.696,205.658,1221.0,307.724,201.74,1225.0,304.994,199.037,1221.0,303.328,196.244,1221.0,302.571,192.778,1221.0,288.797,219.868,1204.0,291.495,215.035,1204.0,295.397,211.504,1204.0,299.335,211.633,1204.0,303.292,210.734,1212.0,308.094,213.404,1221.0,311.96,217.545,1229.0,308.697,218.192,1225.0,304.823,218.624,1216.0,300.071,219.112,1208.0,295.575,219.712,1204.0,291.83,220.01,1208.0,291.453,218.483,1204.0,294.891,215.99,1204.0,299.588,215.033,1204.0,304.604,215.062,1212.0,308.997,216.738,1221.0,304.464,215.096,1212.0,299.631,214.976,1204.0,295.077,215.998,1204.0,271.167,200.582,1229.0,270.743,207.263,1234.0,271.036,213.742,1238.0,271.877,220.432,1252.0,273.494,227.148,1261.0,276.387,232.983,1270.0,280.786,236.896,1265.0,286.503,239.69,1256.0,293.619,241.323,1256.0,301.876,241.587,1256.0,310.253,240.127,1270.0,318.009,237.527,1294.0,324.243,233.286,1304.0,328.533,227.848,1314.0,330.666,221.371,1522.0,331.348,214.495,1522.0,331.466,207.654,0.0,330.925,201.168,1309.0,329.725,194.367,1265.0,284.968,194.838,1216.0,313.65,192.136,1225.0,298.971,203.394,1212.0,291.269,180.257,1208.0,285.01,179.945,1208.0,277.569,181.696,1234.0,272.784,185.822,1238.0,270.531,190.227,1229.0,304.602,178.734,1238.0,310.958,177.353,1247.0,319.203,177.779,1256.0,324.805,181.097,1270.0,327.648,184.798,1270.0,0
8,291.671,194.891,1212.0,288.93,193.262,1216.0,285.604,192.932,1216.0,282.467,194.287,1221.0,280.412,196.976,1225.0,283.067,197.214,1221.0,286.151,196.932,1216.0,289.198,196.094,1216.0,308.733,193.241,1225.0,311.122,191.222,1225.0,314.487,190.258,1234.0,317.959,190.987,1238.0,320.417,193.194,1238.0,317.881,193.95,1238.0,314.592,194.181,1229.0,311.391,193.933,1225.0,291.878,183.6,1208.0,286.326,183.342,1216.0,280.42,184.722,1229.0,276.808,187.758,1234.0,274.845,191.428,1229.0,275.9,192.635,1225.0,278.447,189.646,1229.0,281.719,187.641,1229.0,286.775,186.79,1221.0,291.979,186.774,1212.0,306.286,181.993,1238.0,311.884,180.77,1243.0,318.532,181.07,1252.0,322.937,183.515,1256.0,325.467,186.591,1261.0,324.575,188.11,1252.0,321.396,185.577,1247.0,317.509,184.192,1243.0,311.909,184.266,1238.0,306.491,185.194,1229.0,296.314,193.879,1208.0,295.629,197.312,1208.0,293.896,200.381,1208.0,291.468,203.591,1208.0,292.81,207.225,1208.0,297.914,205.523,1208.0,301.371,205.173,1212.0,307.519,205.919,1221.0,308.603,202.103,1225.0,305.935,199.343,1221.0,304.283,196.584,1221.0,303.51,193.241,1221.0,290.166,220.131,1208.0,292.644,215.213,1204.0,296.398,211.608,1204.0,300.241,211.675,1208.0,304.094,210.843,1212.0,308.696,213.614,1221.0,312.296,217.884,1229.0,309.262,218.373,1225.0,305.561,218.738,1216.0,300.937,219.211,1208.0,296.553,219.817,1204.0,292.963,220.142,1208.0,292.952,218.707,1204.0,296.052,216.106,1204.0,300.485,215.085,1204.0,305.193,215.222,1216.0,309.218,217.05,1225.0,305.015,215.273,1216.0,300.52,215.09,1204.0,296.268,216.136,1204.0,271.899,201.117,1234.0,271.467,207.597,1238.0,271.746,213.92,1243.0,272.603,220.437,1247.0,274.225,226.959,1261.0,277.096,232.664,1270.0,281.515,236.563,1261.0,287.274,239.311,1256.0,294.407,240.918,1256.0,302.647,241.142,1256.0,311.005,239.703,1275.0,318.739,237.112,1284.0,324.981,232.906,1299.0,329.265,227.5,1314.0,331.395,221.174,1522.0,332.138,214.456,1529.0,332.304,207.79,1309.0,331.801,201.448,1309.0,330.633,194.896,1265.0,285.938,195.323,1221.0,314.573,192.621,1229.0,299.94,203.657,1212.0,292.21,180.806,1208.0,286.157,180.536,1212.0,279.036,182.232,1234.0,274.342,186.111,1238.0,272.029,190.28,1234.0,305.708,179.301,1238.0,311.821,177.984,1247.0,319.734,178.39,1256.0,325.208,181.464,1270.0,328.054,184.93,1275.0,0
9,293.053,195.931,1216.0,290.276,194.249,1216.0,286.897,193.911,1221.0,283.701,195.28,1225.0,281.657,198.0,1225.0,284.289,198.252,1225.0,287.417,197.963,1221.0,290.53,197.1,1216.0,310.045,194.244,1225.0,312.485,192.174,1225.0,315.949,191.179,1234.0,319.523,191.914,1238.0,322.022,194.14,1238.0,319.416,194.912,1234.0,316.036,195.147,1234.0,312.765,194.901,1225.0,293.11,184.613,1212.0,287.367,184.373,1221.0,281.18,185.794,1234.0,277.61,189.03,1234.0,275.812,192.895,1234.0,277.005,193.89,1229.0,279.382,190.771,1234.0,282.545,188.68,1234.0,287.772,187.814,1225.0,293.121,187.783,1216.0,307.661,182.923,1238.0,313.62,181.659,1243.0,320.687,181.95,1252.0,325.203,184.632,1261.0,327.639,187.924,1265.0,326.575,189.259,1256.0,323.476,186.57,1252.0,319.537,185.082,1243.0,313.661,185.157,1238.0,307.922,186.116,1229.0,297.531,194.861,1212.0,296.839,198.269,1212.0,295.06,201.278,1212.0,292.528,204.413,1212.0,293.728,208.05,1208.0,298.715,206.367,1212.0,302.229,205.996,1216.0,308.561,206.767,1221.0,309.644,202.978,1225.0,306.963,200.33,1225.0,305.406,197.586,1221.0,304.784,194.227,1221.0,291.114,220.987,1208.0,293.511,215.997,1204.0,297.247,212.344,1204.0,301.088,212.445,1208.0,305.016,211.576,1216.0,309.693,214.406,1221.0,313.332,218.721,1234.0,310.324,219.35,1225.0,306.551,219.85,1216.0,301.775,220.387,1208.0,297.304,220.963,1208.0,293.763,221.166,1208.0,293.91,219.577,1204.0,296.848,216.899,1204.0,301.313,215.869,1204.0,306.146,215.995,1216.0,310.21,217.889,1221.0,305.992,216.287,1212.0,301.385,216.186,1204.0,297.094,217.18,1204.0,273.854,202.168,1229.0,273.404,208.54,1238.0,273.724,214.726,1243.0,274.555,221.066,1247.0,276.088,227.453,1265.0,278.744,233.057,1275.0,282.885,236.95,1261.0,288.345,239.809,1256.0,295.232,241.59,1256.0,303.39,241.945,1256.0,311.732,240.519,1270.0,319.494,237.898,1280.0,325.764,233.68,1304.0,330.103,228.302,1542.0,332.351,222.041,1536.0,333.244,215.412,1536.0,333.574,208.823,1314.0,333.251,202.535,1309.0,332.232,195.902,1289.0,287.228,196.336,1221.0,316.03,193.576,1238.0,300.929,204.523,1212.0,293.439,181.805,1208.0,287.198,181.559,1216.0,279.736,183.314,1238.0,275.014,187.466,1238.0,272.858,191.871,1243.0,307.149,180.219,1243.0,313.623,178.87,1247.0,322.009,179.282,1256.0,327.632,182.654,1270.0,330.368,186.365,1275.0,0
10,293.786,195.425,1216.0,290.951,193.643,1216.0,287.482,193.252,1221.0,284.2,194.624,1221.0,282.092,197.4,1225.0,284.814,197.68,1225.0,288.021,197.407,1221.0,291.193,196.558,1216.0,310.621,193.902,1225.0,313.111,191.797,1229.0,316.649,190.803,1238.0,320.283,191.599,1238.0,322.801,193.898,1243.0,320.161,194.65,1234.0,316.745,194.855,1234.0,313.423,194.572,1225.0,293.912,184.473,1208.0,287.923,184.164,1225.0,281.45,185.555,1234.0,277.757,188.912,1234.0,275.911,192.909,1234.0,277.247,193.78,1229.0,279.657,190.588,1234.0,282.883,188.455,1234.0,288.314,187.622,1221.0,293.839,187.652,1216.0,308.267,182.951,1238.0,314.39,181.697,1243.0,321.632,182.031,1252.0,326.224,184.878,1261.0,328.696,188.33,1265.0,327.475,189.56,1256.0,324.397,186.759,1252.0,320.454,185.174,1243.0,314.46,185.205,1238.0,308.612,186.136,1225.0,298.192,194.38,1216.0,297.573,197.846,1212.0,295.84,200.814,1212.0,293.338,203.834,1208.0,294.505,207.507,1208.0,299.563,205.902,1212.0,303.122,205.569,1216.0,309.436,206.335,1225.0,310.457,202.536,1225.0,307.733,199.928,1225.0,306.151,197.205,1221.0,305.518,193.791,1225.0,291.896,220.495,1208.0,294.334,215.524,1204.0,298.13,211.907,1208.0,302.031,212.056,1208.0,305.989,211.205,1216.0,310.699,214.044,1221.0,314.346,218.392,1234.0,311.372,219.134,1225.0,307.576,219.726,1216.0,302.771,220.252,1208.0,298.211,220.747,1208.0,294.59,220.83,1208.0,294.72,219.105,1208.0,297.689,216.455,1204.0,302.274,215.466,1204.0,307.189,215.621,1216.0,311.202,217.564,1221.0,307.071,216.119,1216.0,302.364,216.053,1204.0,297.948,216.941,1204.0,274.368,201.339,1229.0,273.96,207.814,1238.0,274.318,214.113,1243.0,275.214,220.582,1243.0,276.829,227.086,1265.0,279.607,232.771,1265.0,283.803,236.638,1261.0,289.302,239.509,1256.0,296.225,241.304,1256.0,304.418,241.725,1256.0,312.781,240.292,1270.0,320.495,237.701,1280.0,326.675,233.519,1299.0,330.975,228.193,1304.0,333.209,221.865,1542.0,334.006,215.184,0.0,334.275,208.517,1309.0,333.876,202.21,1299.0,332.798,195.516,0.0,287.817,195.749,1221.0,316.724,193.259,1234.0,301.749,204.053,1216.0,294.209,181.653,1208.0,287.725,181.339,1221.0,279.943,183.069,1238.0,275.052,187.376,1238.0,272.84,191.931,1243.0,307.77,180.214,1243.0,314.4,178.881,1252.0,322.996,179.349,1256.0,328.765,182.92,1270.0,331.557,186.809,1275.0,0
