,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,314.716,197.414,832.0,310.597,193.796,836.0,305.001,192.567,859.0,299.614,193.963,866.0,296.126,197.549,863.0,299.884,199.198,863.0,305.029,199.584,853.0,310.31,198.747,836.0,338.863,197.221,863.0,342.902,193.734,866.0,348.818,192.381,874.0,354.595,193.777,883.0,358.303,197.191,886.0,354.223,198.833,879.0,348.844,199.24,870.0,343.445,198.512,866.0,315.387,184.246,846.0,305.73,182.368,872.0,294.648,182.505,872.0,288.358,186.95,881.0,285.062,192.847,877.0,287.819,193.741,874.0,291.36,189.667,874.0,296.243,187.258,872.0,305.225,187.303,866.0,314.091,188.523,840.0,336.772,183.738,874.0,347.204,181.766,881.0,359.131,181.848,899.0,366.253,186.497,911.0,369.783,192.018,0.0,367.145,193.123,909.0,363.224,189.197,902.0,357.41,186.824,895.0,347.767,186.817,881.0,338.022,188.058,872.0,320.508,197.12,840.0,319.675,203.799,851.0,317.208,209.413,851.0,313.285,214.114,846.0,314.112,220.195,851.0,320.925,220.09,853.0,326.722,220.041,853.0,335.645,220.307,861.0,337.169,214.318,857.0,333.396,209.681,857.0,331.801,203.848,859.0,331.805,197.106,857.0,309.725,238.345,853.0,313.774,233.656,855.0,319.152,230.132,853.0,324.427,231.24,853.0,329.964,230.113,857.0,336.059,233.462,866.0,341.164,237.926,874.0,337.127,239.889,868.0,331.562,241.416,857.0,324.538,241.986,853.0,317.811,241.569,851.0,313.064,240.23,851.0,314.252,237.446,853.0,318.264,235.857,853.0,324.45,235.665,853.0,331.167,235.776,859.0,336.446,237.15,866.0,331.078,235.846,859.0,324.507,235.815,853.0,318.525,235.965,853.0,285.662,199.009,872.0,285.321,209.593,868.0,286.402,220.246,870.0,288.162,230.78,872.0,290.82,240.94,881.0,295.082,249.85,890.0,300.156,255.912,892.0,306.392,261.289,923.0,314.584,265.197,928.0,324.982,267.18,931.0,336.054,265.601,949.0,346.287,262.133,973.0,354.614,256.454,1001.0,361.466,249.607,1019.0,366.767,239.99,1031.0,369.745,229.725,1053.0,371.843,219.112,0.0,372.996,208.648,0.0,373.058,197.163,0.0,305.16,196.602,851.0,348.749,196.361,870.0,324.808,216.02,849.0,316.377,179.845,853.0,306.184,177.918,872.0,293.067,178.265,874.0,284.472,184.0,886.0,280.432,190.755,886.0,336.121,179.353,877.0,347.078,177.334,881.0,361.003,177.619,902.0,370.156,183.444,0.0,374.224,189.67,0.0,0
2,317.11,192.618,1004.0,313.717,189.991,1004.0,309.262,189.179,1016.0,304.961,190.524,1013.0,302.104,193.641,1013.0,305.308,194.574,1013.0,309.471,194.635,1010.0,313.661,193.836,1007.0,337.5,192.029,1016.0,340.763,189.376,1016.0,345.39,188.283,1019.0,349.922,189.406,1025.0,352.803,192.266,1028.0,349.584,193.353,1019.0,345.313,193.587,1016.0,341.06,193.042,1016.0,318.067,181.137,990.0,310.28,180.075,1016.0,301.6,180.833,1022.0,296.479,184.539,1028.0,293.698,189.283,1028.0,295.627,190.254,1022.0,298.766,186.762,1022.0,302.933,184.574,1019.0,310.134,184.185,1013.0,317.338,184.804,990.0,335.728,180.411,1022.0,343.746,179.025,1028.0,352.941,179.426,1040.0,358.548,183.03,1053.0,361.354,187.338,1060.0,359.475,188.475,1047.0,356.193,185.219,1044.0,351.523,183.26,1034.0,343.98,183.15,1025.0,336.429,184.071,1019.0,322.428,192.03,998.0,321.648,196.856,998.0,319.519,200.871,1001.0,316.257,204.522,1004.0,317.272,209.3,1004.0,323.461,208.387,998.0,328.062,208.23,1004.0,335.221,208.852,1007.0,336.553,204.139,1010.0,333.52,200.643,1007.0,331.944,196.635,1007.0,331.617,191.807,1007.0,312.863,224.463,1001.0,316.484,219.744,998.0,321.36,216.256,1001.0,326.014,216.869,1001.0,330.835,216.005,1004.0,335.904,219.075,1007.0,339.838,223.453,1019.0,336.438,224.453,1010.0,331.914,225.226,1004.0,326.043,225.652,1001.0,320.338,225.772,998.0,316.036,225.334,998.0,316.629,223.317,998.0,320.472,221.236,998.0,325.955,220.672,998.0,331.606,220.876,1004.0,336.032,222.538,1010.0,331.434,220.879,1004.0,325.983,220.689,998.0,320.687,221.26,998.0,291.34,196.268,1025.0,290.847,204.644,1028.0,291.427,213.06,1037.0,292.556,221.513,1040.0,294.58,229.788,1050.0,298.135,237.015,1063.0,302.934,241.775,1069.0,309.054,245.621,1063.0,316.873,248.179,1063.0,326.279,249.27,1060.0,335.809,247.841,1073.0,344.538,245.007,1093.0,351.551,240.291,1111.0,356.928,234.379,0.0,360.558,226.554,0.0,362.49,218.291,0.0,363.744,209.92,0.0,364.185,201.84,0.0,363.765,193.154,1063.0,309.449,192.375,1013.0,345.292,191.418,1019.0,326.233,205.618,1001.0,318.724,177.621,995.0,310.437,176.531,1022.0,300.188,177.545,1028.0,293.437,182.273,1034.0,290.129,187.66,1034.0,335.244,176.958,1025.0,343.789,175.521,1031.0,354.583,176.118,1050.0,361.676,180.652,1066.0,364.88,185.522,1063.0,0
3,315.222,193.05,1073.0,311.917,190.639,1079.0,307.607,189.958,1083.0,303.479,191.255,1086.0,300.719,194.172,1086.0,303.882,195.028,1086.0,307.896,195.038,1083.0,311.91,194.246,1076.0,334.941,192.221,1083.0,338.024,189.684,1090.0,342.438,188.613,1093.0,346.798,189.574,1097.0,349.696,192.165,1100.0,346.588,193.259,1093.0,342.493,193.556,1090.0,338.39,193.119,1086.0,315.959,182.262,1060.0,308.643,181.302,1086.0,300.564,182.028,1097.0,295.679,185.415,1097.0,292.941,189.77,1100.0,294.684,190.794,1097.0,297.776,187.61,1097.0,301.831,185.604,1090.0,308.569,185.196,1083.0,315.352,185.717,1063.0,333.045,181.35,1093.0,340.47,179.859,1100.0,348.999,179.978,1111.0,354.451,183.089,1122.0,357.399,186.965,1125.0,355.727,188.214,1122.0,352.386,185.343,1111.0,347.832,183.691,1104.0,340.787,183.762,1097.0,333.762,184.768,1090.0,320.397,192.446,1073.0,319.746,197.19,1069.0,317.804,201.207,1073.0,314.746,204.888,1076.0,315.845,209.427,1073.0,321.84,208.537,1076.0,326.394,208.333,1076.0,333.276,208.763,1083.0,334.45,204.224,1083.0,331.387,200.772,1079.0,329.75,196.819,1079.0,329.275,192.096,1079.0,312.153,224.064,1073.0,315.479,219.485,1073.0,320.067,216.122,1073.0,324.549,216.617,1069.0,329.104,215.751,1079.0,334.037,218.586,1083.0,337.889,222.755,1090.0,334.735,224.11,1086.0,330.458,225.174,1079.0,324.811,225.75,1069.0,319.272,225.813,1073.0,315.157,225.186,1073.0,315.74,223.0,1073.0,319.362,220.884,1073.0,324.609,220.244,1069.0,330.008,220.405,1079.0,334.227,222.038,1083.0,329.882,220.943,1079.0,324.648,220.958,1069.0,319.576,221.436,1073.0,290.366,196.631,1104.0,290.087,204.709,1104.0,290.828,212.791,1114.0,292.213,220.914,1111.0,294.466,228.8,1125.0,298.165,235.7,1140.0,302.951,240.32,1136.0,308.956,244.048,1133.0,316.507,246.501,1129.0,325.537,247.452,1129.0,334.706,245.914,1140.0,343.0,242.964,1163.0,349.652,238.258,1175.0,354.768,232.456,1183.0,358.21,224.892,0.0,359.973,216.912,0.0,361.03,208.807,0.0,361.272,200.991,0.0,360.676,192.697,1136.0,307.829,192.923,1083.0,342.421,191.524,1090.0,324.468,205.769,1073.0,316.583,178.92,1060.0,308.795,177.932,1097.0,299.254,178.897,1100.0,292.842,183.224,1100.0,289.599,188.177,1107.0,332.419,178.076,1097.0,340.331,176.524,1104.0,350.356,176.773,1118.0,357.26,180.681,1136.0,360.634,185.058,0.0,0
4,314.687,193.558,1097.0,311.484,191.172,1100.0,307.316,190.482,1104.0,303.329,191.742,1107.0,300.641,194.61,1107.0,303.774,195.447,1104.0,307.653,195.469,1100.0,311.505,194.711,1097.0,333.594,192.865,1104.0,336.541,190.409,1107.0,340.782,189.392,1111.0,344.982,190.365,1118.0,347.793,192.93,1122.0,344.795,193.971,1114.0,340.861,194.23,1107.0,336.924,193.769,1107.0,315.35,182.663,1083.0,308.242,181.685,1111.0,300.404,182.386,1118.0,295.692,185.765,1114.0,293.059,190.082,1114.0,294.794,191.06,1114.0,297.81,187.9,1114.0,301.746,185.919,1111.0,308.257,185.54,1104.0,314.791,186.083,1090.0,331.701,181.915,1111.0,338.805,180.484,1122.0,346.977,180.647,1125.0,352.209,183.777,1140.0,355.062,187.645,1148.0,353.409,188.876,1140.0,350.18,185.992,1133.0,345.829,184.322,1122.0,339.084,184.35,1114.0,332.394,185.294,1107.0,319.703,192.959,1093.0,319.157,197.641,1093.0,317.347,201.592,1097.0,314.515,205.179,1097.0,315.658,209.642,1097.0,321.435,208.696,1097.0,325.746,208.533,1093.0,332.294,209.074,1104.0,333.392,204.608,1100.0,330.415,201.168,1097.0,328.766,197.278,1093.0,328.223,192.644,1097.0,312.469,224.05,1097.0,315.516,219.502,1097.0,319.855,216.152,1093.0,324.122,216.652,1093.0,328.395,215.837,1097.0,333.088,218.717,1107.0,336.681,222.933,1111.0,333.767,224.211,1111.0,329.736,225.227,1104.0,324.5,225.744,1093.0,319.302,225.764,1097.0,315.341,225.139,1097.0,316.001,222.975,1097.0,319.298,220.879,1097.0,324.23,220.259,1093.0,329.267,220.491,1100.0,333.055,222.208,1107.0,329.141,221.047,1100.0,324.266,221.007,1093.0,319.528,221.448,1097.0,290.69,197.052,1125.0,290.491,205.038,1125.0,291.226,213.008,1133.0,292.607,221.027,1133.0,294.83,228.774,1148.0,298.465,235.532,1155.0,303.202,240.077,1151.0,309.142,243.735,1148.0,316.558,246.157,1144.0,325.365,247.091,1151.0,334.266,245.577,1163.0,342.251,242.664,1175.0,348.619,238.055,1191.0,353.467,232.355,0.0,356.607,224.983,0.0,358.085,217.198,0.0,358.937,209.275,0.0,359.0,201.656,1221.0,358.271,193.577,1155.0,307.549,193.399,1100.0,340.784,192.241,1107.0,323.85,206.061,1093.0,315.906,179.374,1083.0,308.333,178.37,1114.0,299.041,179.311,1122.0,292.816,183.634,1122.0,289.689,188.545,1129.0,331.09,178.676,1114.0,338.659,177.186,1122.0,348.308,177.482,1136.0,355.008,181.41,1151.0,358.297,185.777,1155.0,0
5,313.091,195.236,1129.0,309.976,192.918,1133.0,305.929,192.272,1140.0,302.078,193.53,1140.0,299.509,196.353,1140.0,302.555,197.139,1140.0,306.307,197.129,1133.0,310.023,196.367,1129.0,331.282,194.451,1133.0,334.111,192.029,1136.0,338.22,191.014,1140.0,342.305,191.943,1151.0,345.06,194.434,1155.0,342.147,195.457,1151.0,338.334,195.726,1140.0,334.516,195.301,1136.0,313.636,184.776,1114.0,306.75,183.86,1140.0,299.161,184.589,1151.0,294.629,187.912,1148.0,292.129,192.141,1148.0,293.85,193.062,1148.0,296.72,189.969,1144.0,300.501,188.017,1144.0,306.796,187.61,1140.0,313.112,188.102,1118.0,329.342,183.945,1140.0,336.226,182.497,1151.0,344.165,182.598,1163.0,349.278,185.624,1171.0,352.085,189.391,1179.0,350.467,190.592,1171.0,347.31,187.794,1163.0,343.072,186.19,1155.0,336.525,186.259,1144.0,330.05,187.219,1140.0,317.876,194.619,1125.0,317.382,199.192,1125.0,315.667,203.05,1129.0,312.997,206.571,1129.0,314.121,210.905,1129.0,319.637,209.955,1129.0,323.781,209.775,1125.0,330.144,210.273,1136.0,331.167,205.917,1136.0,328.278,202.573,1133.0,326.664,198.791,1125.0,326.107,194.264,1133.0,311.297,225.105,1129.0,314.099,220.572,1125.0,318.216,217.248,1125.0,322.333,217.706,1125.0,326.448,216.894,1129.0,331.015,219.713,1136.0,334.492,223.888,1148.0,331.743,225.249,1144.0,327.868,226.351,1129.0,322.812,226.912,1125.0,317.801,226.922,1129.0,314.006,226.248,1129.0,314.727,224.035,1125.0,317.767,221.894,1125.0,322.487,221.238,1125.0,327.335,221.467,1129.0,330.937,223.212,1136.0,327.231,222.235,1129.0,322.542,222.263,1125.0,318.011,222.673,1125.0,290.155,198.75,1151.0,289.998,206.531,1159.0,290.752,214.294,1167.0,292.149,222.111,1167.0,294.349,229.67,1175.0,297.895,236.279,1191.0,302.46,240.724,1179.0,308.186,244.31,1179.0,315.343,246.679,1175.0,323.851,247.58,1179.0,332.486,246.045,1191.0,340.224,243.144,1208.0,346.374,238.583,1225.0,351.037,232.973,1234.0,354.041,225.723,1542.0,355.403,218.084,0.0,356.154,210.307,0.0,356.131,202.847,1208.0,355.336,194.95,0.0,306.184,195.118,1136.0,338.247,193.794,1140.0,321.974,207.377,1125.0,314.146,181.574,1114.0,306.808,180.635,1148.0,297.803,181.606,1155.0,291.799,185.864,1159.0,288.821,190.679,1163.0,328.729,180.795,1144.0,336.061,179.286,1155.0,345.435,179.506,1171.0,351.985,183.299,1183.0,355.22,187.548,1191.0,0
6,311.082,197.772,1155.0,308.084,195.615,1155.0,304.239,195.035,1159.0,300.564,196.237,1167.0,298.105,198.913,1163.0,301.036,199.622,1163.0,304.602,199.593,1159.0,308.145,198.859,1155.0,328.863,196.892,1159.0,331.589,194.605,1163.0,335.504,193.647,1171.0,339.42,194.508,1175.0,342.13,196.855,1179.0,339.289,197.819,1171.0,335.621,198.075,1167.0,331.969,197.692,1163.0,311.494,187.096,1140.0,305.061,186.228,1163.0,297.988,186.959,1175.0,293.729,190.1,1175.0,291.371,194.104,1175.0,292.887,195.108,1171.0,295.665,192.149,1171.0,299.28,190.287,1171.0,305.165,189.885,1159.0,311.091,190.342,1144.0,326.863,186.163,1167.0,333.379,184.744,1175.0,340.919,184.826,1183.0,345.835,187.668,1191.0,348.591,191.245,1200.0,347.175,192.526,1195.0,344.005,189.846,1187.0,339.865,188.339,1179.0,333.624,188.427,1171.0,327.449,189.382,1167.0,315.724,197.055,1155.0,315.187,201.478,1155.0,313.466,205.248,1155.0,310.773,208.733,1155.0,311.855,212.918,1155.0,317.305,211.973,1155.0,321.375,211.777,1155.0,327.795,212.263,1155.0,328.793,208.029,1159.0,325.88,204.761,1155.0,324.283,201.074,1155.0,323.721,196.686,1155.0,309.166,226.644,1155.0,311.891,222.077,1151.0,315.939,218.804,1155.0,319.97,219.22,1155.0,324.006,218.412,1155.0,328.665,221.181,1159.0,332.249,225.364,1179.0,329.449,227.041,1167.0,325.596,228.315,1159.0,320.552,228.955,1155.0,315.601,228.918,1155.0,311.867,228.088,1155.0,312.304,225.66,1151.0,315.423,223.377,1151.0,320.156,222.682,1155.0,325.104,222.907,1155.0,328.942,224.765,1163.0,325.062,224.208,1155.0,320.256,224.353,1155.0,315.667,224.688,1151.0,289.431,201.529,1175.0,289.22,209.027,1183.0,289.885,216.39,1191.0,291.208,223.826,1191.0,293.289,231.045,1208.0,296.593,237.393,1212.0,300.959,241.853,1208.0,306.47,245.489,1204.0,313.368,247.972,1204.0,321.656,248.891,1208.0,330.137,247.409,1221.0,337.744,244.474,1234.0,343.847,239.927,1247.0,348.44,234.344,1256.0,351.345,227.396,0.0,352.693,220.038,0.0,353.412,212.539,0.0,353.372,205.335,1256.0,352.582,197.69,1225.0,304.482,197.706,1159.0,335.548,196.262,1167.0,319.655,209.463,1155.0,312.02,184.006,1140.0,305.132,183.109,1171.0,296.686,184.073,1175.0,291.024,188.109,1179.0,288.209,192.677,1183.0,326.228,183.126,1167.0,333.191,181.642,1179.0,342.11,181.829,1195.0,348.393,185.391,1204.0,351.562,189.425,1212.0,0
7,307.075,201.002,1171.0,304.113,198.897,1175.0,300.28,198.331,1179.0,296.614,199.49,1179.0,294.146,202.085,1183.0,297.081,202.764,1183.0,300.631,202.733,1179.0,304.158,202.031,1175.0,324.649,200.23,1175.0,327.353,198.021,1179.0,331.266,197.119,1183.0,335.183,197.974,1187.0,337.925,200.258,1191.0,335.051,201.172,1187.0,331.369,201.391,1183.0,327.724,201.002,1179.0,307.441,190.721,1159.0,301.097,189.867,1187.0,294.131,190.544,1191.0,289.932,193.592,1195.0,287.595,197.484,1200.0,289.098,198.405,1191.0,291.832,195.547,1191.0,295.403,193.757,1187.0,301.189,193.389,1183.0,307.021,193.838,1167.0,322.765,189.869,1179.0,329.22,188.517,1187.0,336.687,188.615,1200.0,341.578,191.423,1204.0,344.331,194.921,1212.0,342.894,196.13,1204.0,339.75,193.505,1200.0,335.626,192.023,1191.0,329.442,192.077,1187.0,323.324,192.959,1179.0,311.647,200.338,1171.0,311.102,204.596,1171.0,309.401,208.245,1171.0,306.781,211.665,1175.0,307.829,215.69,1175.0,313.021,214.701,1171.0,317.083,214.526,1171.0,323.4,215.157,1175.0,324.426,211.08,1175.0,321.571,207.852,1179.0,320.038,204.258,1175.0,319.521,200.019,1175.0,305.523,229.31,1171.0,307.959,224.71,1167.0,311.786,221.423,1171.0,315.696,221.819,1171.0,319.615,221.082,1175.0,324.116,223.941,1179.0,327.507,228.209,1187.0,324.926,229.757,1183.0,321.205,230.996,1179.0,316.272,231.599,1171.0,311.444,231.517,1171.0,307.912,230.659,1171.0,308.751,228.308,1171.0,311.425,225.968,1167.0,315.898,225.251,1171.0,320.602,225.582,1175.0,324.081,227.575,1183.0,320.541,226.956,1175.0,315.995,227.057,1167.0,311.706,227.358,1167.0,285.94,204.583,1204.0,285.708,211.767,1208.0,286.351,218.864,1208.0,287.681,226.026,1208.0,289.727,232.99,1243.0,292.928,239.16,1243.0,297.151,243.555,1229.0,302.503,247.166,1225.0,309.224,249.681,1221.0,317.349,250.664,1225.0,325.773,249.277,1234.0,333.36,246.471,1247.0,339.475,242.078,1261.0,344.099,236.669,1270.0,347.067,229.929,1270.0,348.467,222.787,1536.0,349.242,215.503,1252.0,349.257,208.491,1243.0,348.522,201.084,1229.0,300.512,200.917,1179.0,331.315,199.646,1183.0,315.439,212.364,1175.0,307.972,187.735,1159.0,301.184,186.852,1187.0,292.861,187.751,1200.0,287.26,191.677,1200.0,284.461,196.125,1208.0,322.147,186.928,1183.0,329.035,185.515,1191.0,337.866,185.721,1204.0,344.117,189.234,1216.0,347.28,193.174,1225.0,0
8,305.869,201.483,1179.0,302.969,199.396,1187.0,299.213,198.852,1191.0,295.648,200.04,1191.0,293.297,202.652,1191.0,296.114,203.334,1191.0,299.574,203.288,1187.0,303.025,202.562,1183.0,323.219,200.572,1187.0,325.853,198.31,1187.0,329.695,197.359,1191.0,333.551,198.183,1200.0,336.233,200.457,1208.0,333.43,201.42,1200.0,329.815,201.686,1191.0,326.225,201.334,1187.0,306.232,191.487,1167.0,300.052,190.678,1191.0,293.254,191.383,1200.0,289.13,194.355,1204.0,286.844,198.177,1204.0,288.312,199.17,1200.0,290.962,196.362,1204.0,294.454,194.588,1195.0,300.12,194.183,1187.0,305.84,194.592,1171.0,321.251,190.485,1200.0,327.606,189.075,1200.0,334.98,189.1,1212.0,339.836,191.771,1221.0,342.58,195.157,1229.0,341.218,196.436,1221.0,338.083,193.907,1216.0,333.978,192.499,1204.0,327.857,192.618,1200.0,321.821,193.561,1195.0,310.347,200.87,1179.0,309.768,205.126,1179.0,308.084,208.816,1179.0,305.557,212.312,1183.0,306.608,216.338,1187.0,311.632,215.402,1183.0,315.554,215.197,1187.0,321.798,215.697,1191.0,322.835,211.598,1187.0,320.095,208.362,1187.0,318.605,204.75,1187.0,318.09,200.503,1191.0,304.28,229.978,1179.0,306.685,225.475,1179.0,310.404,222.239,1179.0,314.246,222.61,1183.0,318.118,221.837,1191.0,322.556,224.585,1191.0,325.967,228.696,1200.0,323.345,230.123,1195.0,319.655,231.275,1191.0,314.797,231.876,1179.0,310.101,231.87,1183.0,306.661,231.142,1183.0,307.462,228.956,1179.0,310.111,226.722,1179.0,314.448,226.008,1179.0,319.054,226.262,1191.0,322.584,228.076,1191.0,318.977,227.316,1183.0,314.534,227.398,1179.0,310.374,227.786,1179.0,285.186,205.088,1208.0,284.92,212.27,1212.0,285.537,219.406,1212.0,286.817,226.616,1216.0,288.807,233.652,1225.0,291.976,239.897,1243.0,296.111,244.281,1238.0,301.354,247.841,1234.0,307.966,250.256,1234.0,315.925,251.175,1238.0,324.224,249.78,1247.0,331.781,247.016,1256.0,337.882,242.622,1270.0,342.495,237.211,1275.0,345.492,230.349,1529.0,346.917,223.077,1515.0,347.68,215.684,0.0,347.697,208.548,1256.0,346.959,201.064,1247.0,299.464,201.451,1187.0,329.752,199.915,1191.0,314.02,212.965,1187.0,306.766,188.501,1167.0,300.146,187.662,1191.0,292.034,188.588,1208.0,286.55,192.412,1208.0,283.808,196.778,1212.0,320.625,187.559,1204.0,327.414,186.082,1204.0,336.108,186.199,1221.0,342.258,189.541,1234.0,345.395,193.352,1243.0,0
9,303.019,201.301,1187.0,300.085,199.188,1187.0,296.292,198.634,1191.0,292.69,199.806,1191.0,290.342,202.388,1191.0,293.13,203.124,1191.0,296.613,203.101,1187.0,300.112,202.374,1187.0,320.457,200.317,1191.0,323.135,198.003,1195.0,327.032,197.014,1200.0,330.941,197.808,1204.0,333.665,200.043,1212.0,330.835,201.067,1204.0,327.185,201.381,1200.0,323.539,201.058,1191.0,303.316,191.518,1171.0,297.086,190.664,1187.0,290.186,191.311,1204.0,286.035,194.271,1204.0,283.76,198.097,1208.0,285.252,199.067,1204.0,287.875,196.278,1204.0,291.355,194.525,1204.0,297.09,194.156,1191.0,302.876,194.599,1175.0,318.425,190.419,1204.0,324.938,188.917,1204.0,332.49,188.835,1212.0,337.442,191.487,1229.0,340.247,194.877,1238.0,338.871,196.136,1229.0,335.688,193.64,1216.0,331.508,192.264,1208.0,325.256,192.451,1200.0,319.059,193.477,1200.0,307.402,200.693,1187.0,306.819,205.05,1183.0,305.119,208.82,1183.0,302.473,212.319,1183.0,303.434,216.379,1187.0,308.548,215.662,1187.0,312.606,215.439,1187.0,319.073,215.713,1191.0,320.071,211.58,1195.0,317.219,208.381,1191.0,315.744,204.677,1187.0,315.282,200.308,1191.0,300.899,229.757,1183.0,303.511,225.464,1183.0,307.345,222.404,1183.0,311.266,222.815,1187.0,315.245,221.98,1191.0,319.898,224.532,1200.0,323.632,228.381,1204.0,320.794,230.116,1204.0,316.927,231.456,1191.0,311.841,232.136,1187.0,306.955,232.076,1187.0,303.424,231.195,1183.0,303.923,228.854,1183.0,306.892,226.766,1183.0,311.477,226.122,1183.0,316.415,226.255,1191.0,320.394,227.872,1204.0,316.396,227.47,1191.0,311.585,227.686,1183.0,307.128,227.988,1183.0,282.566,204.626,1208.0,282.326,211.846,1212.0,283.006,218.969,1212.0,284.35,226.158,1221.0,286.391,233.179,1225.0,289.579,239.406,1238.0,293.625,243.8,1243.0,298.705,247.447,1234.0,305.147,249.957,1234.0,313.007,250.94,1238.0,321.28,249.541,1247.0,328.829,246.744,1256.0,334.949,242.33,1270.0,339.659,236.952,1280.0,342.837,230.069,0.0,344.404,222.763,1542.0,345.266,215.308,1549.0,345.383,208.092,1284.0,344.735,200.453,1252.0,296.535,201.239,1191.0,327.099,199.586,1200.0,311.068,213.037,1187.0,303.889,188.525,1171.0,297.224,187.638,1195.0,289.0,188.495,1208.0,283.466,192.315,1208.0,280.729,196.695,1212.0,317.766,187.489,1208.0,324.705,185.919,1204.0,333.582,185.917,1221.0,339.843,189.232,1238.0,343.044,193.047,1256.0,0
10,301.424,200.813,1183.0,298.473,198.709,1187.0,294.682,198.168,1191.0,291.086,199.363,1191.0,288.738,201.975,1195.0,291.557,202.68,1191.0,295.038,202.635,1187.0,298.523,201.895,1183.0,318.865,199.769,1191.0,321.539,197.454,1195.0,325.417,196.458,1195.0,329.315,197.253,1200.0,332.044,199.499,1212.0,329.22,200.509,1204.0,325.585,200.821,1195.0,321.952,200.505,1191.0,301.71,190.925,1171.0,295.473,190.092,1183.0,288.586,190.791,1204.0,284.436,193.79,1204.0,282.163,197.643,1204.0,283.649,198.63,1204.0,286.294,195.803,1200.0,289.791,194.017,1200.0,295.521,193.616,1187.0,301.306,194.04,1175.0,316.756,189.787,1200.0,323.228,188.273,1200.0,330.742,188.2,1208.0,335.694,190.853,1221.0,338.525,194.258,1234.0,337.166,195.545,1234.0,333.95,193.027,1216.0,329.77,191.643,1208.0,323.542,191.836,1200.0,317.385,192.875,1200.0,305.821,200.151,1183.0,305.26,204.514,1179.0,303.573,208.273,1179.0,300.936,211.766,1179.0,301.931,215.839,1183.0,307.133,215.078,1187.0,311.189,214.844,1187.0,317.687,215.111,1191.0,318.655,210.957,1191.0,315.76,207.771,1191.0,314.233,204.099,1187.0,313.715,199.736,1191.0,299.406,229.281,1183.0,302.043,224.898,1179.0,305.927,221.791,1183.0,309.893,222.183,1183.0,313.897,221.335,1187.0,318.624,223.898,1195.0,322.413,227.816,1204.0,319.544,229.639,1200.0,315.658,231.03,1195.0,310.55,231.739,1183.0,305.621,231.688,1183.0,302.017,230.79,1179.0,302.39,228.362,1179.0,305.453,226.192,1179.0,310.129,225.513,1179.0,315.15,225.64,1187.0,319.207,227.317,1200.0,315.153,227.013,1187.0,310.255,227.266,1179.0,305.696,227.568,1179.0,280.914,204.324,1208.0,280.688,211.597,1208.0,281.367,218.745,1216.0,282.728,225.976,1216.0,284.8,233.043,1243.0,288.038,239.302,1238.0,292.163,243.711,1238.0,297.342,247.352,1234.0,303.881,249.842,1234.0,311.825,250.789,1234.0,320.151,249.345,1247.0,327.714,246.494,1256.0,333.828,242.022,1265.0,338.497,236.572,1284.0,341.584,229.648,1536.0,343.048,222.305,1542.0,343.816,214.815,1261.0,343.829,207.595,1284.0,343.087,199.955,1304.0,294.94,200.78,1187.0,325.492,199.034,1195.0,309.608,212.455,1187.0,302.26,187.921,1171.0,295.579,187.056,1191.0,287.363,187.976,1204.0,281.84,191.843,1208.0,279.111,196.252,1208.0,316.083,186.847,1204.0,322.986,185.262,1204.0,331.83,185.268,1216.0,338.1,188.584,1234.0,341.333,192.414,1238.0,0
