,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,324.085,231.321,1238.0,321.611,230.081,1252.0,318.357,229.885,1256.0,315.188,230.539,1256.0,312.654,231.993,1261.0,315.397,232.652,1256.0,318.481,232.713,1256.0,321.532,232.318,1252.0,342.076,230.589,1256.0,344.398,229.08,1256.0,347.551,228.594,1256.0,350.641,228.918,1261.0,353.285,230.166,1261.0,350.769,231.061,1256.0,347.734,231.394,1252.0,344.6,231.252,1252.0,325.156,222.812,1234.0,321.348,221.753,1252.0,317.6,221.49,1270.0,313.591,221.93,1275.0,310.193,223.271,1275.0,310.105,225.804,1275.0,313.762,224.979,1275.0,317.711,224.604,1261.0,321.314,224.708,1247.0,325.241,225.266,1229.0,340.533,222.107,1256.0,343.937,220.797,1261.0,347.698,220.145,1265.0,351.721,220.126,1275.0,355.189,221.117,1275.0,355.377,223.625,1270.0,351.676,223.148,1270.0,347.853,223.226,1265.0,344.192,223.713,1256.0,340.608,224.54,1256.0,329.434,231.003,1238.0,328.693,235.512,1238.0,327.127,239.868,1229.0,324.535,244.214,1234.0,325.99,247.796,1229.0,331.778,247.357,1221.0,336.206,247.193,1234.0,341.708,247.123,1234.0,342.707,243.321,1238.0,339.808,239.239,1238.0,338.021,235.055,0.0,336.938,230.644,0.0,323.784,260.052,1216.0,326.469,256.104,1221.0,330.335,253.617,1221.0,334.086,253.694,1221.0,337.567,253.245,1229.0,341.617,255.307,1229.0,344.674,259.02,1229.0,342.492,262.306,1221.0,339.441,264.618,1221.0,334.651,265.662,1216.0,329.714,265.06,1216.0,326.337,263.031,1216.0,326.487,259.817,1216.0,330.015,257.391,1221.0,334.31,256.601,1221.0,338.489,257.019,1225.0,342.102,259.07,1225.0,338.634,260.78,1221.0,334.491,261.469,1216.0,330.221,261.164,1216.0,301.275,233.414,1275.0,301.139,240.431,1275.0,301.735,247.291,1270.0,303.579,254.289,1265.0,306.315,260.744,1252.0,310.322,266.733,1252.0,315.187,271.653,1247.0,321.01,275.57,1238.0,327.71,278.208,1238.0,335.302,278.979,1238.0,343.101,277.522,1238.0,349.704,274.233,1252.0,355.285,269.52,1256.0,359.737,263.936,1275.0,362.953,257.578,1284.0,364.92,250.696,1275.0,365.797,243.63,1275.0,365.747,236.693,1275.0,364.981,230.242,1284.0,318.413,231.438,1256.0,347.632,230.132,1256.0,333.732,244.514,1229.0,326.166,220.314,1234.0,321.994,219.159,1256.0,317.53,218.823,1275.0,312.718,219.349,1275.0,308.891,220.847,1280.0,339.258,219.697,1256.0,343.002,218.274,1265.0,347.484,217.486,1270.0,352.405,217.471,1275.0,356.369,218.587,1280.0,0
2,325.042,232.96,1229.0,322.54,231.682,1238.0,319.25,231.44,1247.0,316.02,231.992,1252.0,313.399,233.302,1252.0,316.139,234.114,1252.0,319.276,234.28,1247.0,322.397,233.938,1238.0,343.25,232.367,1252.0,345.624,230.863,1252.0,348.797,230.386,1256.0,351.878,230.668,1256.0,354.517,231.822,1256.0,352.037,232.806,1256.0,349.021,233.198,1252.0,345.852,233.057,1252.0,326.2,224.49,1229.0,322.358,223.27,1252.0,318.54,222.784,1261.0,314.412,223.064,1261.0,310.858,224.277,1270.0,310.716,226.885,1265.0,314.512,226.21,1261.0,318.558,225.974,1261.0,322.224,226.221,1243.0,326.21,226.914,1221.0,341.787,223.937,1252.0,345.18,222.555,1256.0,348.87,221.754,1261.0,352.893,221.599,1270.0,356.435,222.499,1270.0,356.661,225.045,1270.0,352.942,224.712,1265.0,349.129,224.889,1261.0,345.521,225.451,1256.0,341.935,226.34,1252.0,330.47,232.732,1225.0,329.782,237.5,1225.0,328.233,242.072,1225.0,325.452,246.437,1229.0,326.866,250.122,1229.0,333.011,250.049,1221.0,337.658,249.916,1234.0,343.198,249.522,1234.0,344.126,245.649,1234.0,341.066,241.501,1234.0,339.24,237.069,1238.0,338.164,232.41,1238.0,324.157,261.683,1221.0,327.346,258.301,1221.0,331.495,256.212,1221.0,335.341,256.389,1221.0,338.882,255.902,1225.0,343.048,257.602,1229.0,346.382,260.776,1225.0,343.946,264.433,1221.0,340.75,266.923,1216.0,335.811,268.003,1221.0,330.647,267.28,1216.0,327.062,265.048,1216.0,326.667,261.698,1221.0,330.878,259.701,1221.0,335.522,259.11,1216.0,340.003,259.364,1221.0,344.079,261.008,1225.0,340.192,263.106,1216.0,335.677,263.91,1212.0,330.995,263.451,1216.0,301.451,234.25,1270.0,301.459,241.488,1270.0,302.2,248.501,1265.0,304.192,255.615,1261.0,307.115,262.078,1256.0,311.342,268.013,1247.0,316.327,272.91,1238.0,322.158,276.889,1234.0,328.787,279.593,1238.0,336.308,280.397,1238.0,343.933,278.929,1238.0,350.273,275.563,1247.0,355.661,270.869,1252.0,360.107,265.39,1256.0,363.464,259.112,1265.0,365.588,252.285,1270.0,366.595,245.217,1275.0,366.684,238.235,1280.0,366.059,231.666,1289.0,319.258,232.964,1247.0,348.872,231.896,1256.0,334.951,246.908,1225.0,327.292,221.971,1234.0,323.108,220.649,1252.0,318.589,220.05,1265.0,313.646,220.369,1270.0,309.658,221.72,1270.0,340.435,221.495,1256.0,344.141,220.0,1256.0,348.535,219.04,1261.0,353.495,218.86,1270.0,357.56,219.882,1275.0,0
3,326.222,233.852,1225.0,323.708,232.524,1234.0,320.406,232.243,1243.0,317.161,232.776,1252.0,314.507,234.077,1247.0,317.247,234.98,1247.0,320.407,235.199,1243.0,323.55,234.867,1238.0,344.555,233.307,1247.0,346.936,231.768,1252.0,350.098,231.27,1252.0,353.147,231.549,1256.0,355.735,232.711,1256.0,353.32,233.761,1252.0,350.345,234.195,1252.0,347.178,234.044,1247.0,327.492,225.234,1221.0,323.591,223.934,1252.0,319.701,223.366,1256.0,315.468,223.611,1256.0,311.799,224.817,1261.0,311.651,227.52,1261.0,315.557,226.865,1256.0,319.69,226.655,1256.0,323.428,226.95,1247.0,327.48,227.711,1221.0,343.093,224.765,1256.0,346.443,223.346,1256.0,350.057,222.498,1256.0,354.043,222.287,1261.0,357.601,223.159,1270.0,357.86,225.768,1265.0,354.154,225.488,1261.0,350.382,225.698,1256.0,346.828,226.29,1256.0,343.287,227.215,1252.0,331.76,233.687,1221.0,331.124,238.64,1225.0,329.611,243.37,1221.0,326.803,247.783,1225.0,328.269,251.59,1225.0,334.637,251.657,1225.0,339.308,251.537,1229.0,344.751,250.966,1234.0,345.642,246.984,1238.0,342.544,242.759,1238.0,340.658,238.178,1238.0,339.527,233.363,1238.0,325.216,262.924,1216.0,328.722,259.858,1221.0,333.036,257.949,1221.0,336.927,258.176,1216.0,340.475,257.657,1229.0,344.629,259.163,1229.0,348.05,262.029,1229.0,345.474,265.671,1225.0,342.24,268.094,1221.0,337.338,269.142,1216.0,332.141,268.432,1216.0,328.407,266.266,1216.0,327.676,263.013,1216.0,332.297,261.311,1216.0,337.077,260.835,1212.0,341.615,260.979,1221.0,345.865,262.317,1225.0,341.802,264.326,1221.0,337.203,265.105,1212.0,332.361,264.662,1212.0,301.825,234.845,1270.0,301.932,242.354,1261.0,302.751,249.632,1261.0,304.802,256.996,1256.0,307.835,263.631,1252.0,312.267,269.65,1247.0,317.451,274.519,1238.0,323.447,278.445,1234.0,330.201,281.054,1238.0,337.766,281.785,1234.0,345.297,280.269,1243.0,351.49,276.867,1247.0,356.738,272.16,1252.0,361.114,266.68,1261.0,364.439,260.314,1275.0,366.534,253.384,1280.0,367.515,246.202,1280.0,367.59,239.096,1275.0,366.963,232.393,1284.0,320.401,233.815,1238.0,350.164,232.826,1252.0,336.446,248.331,1225.0,328.599,222.65,1234.0,324.364,221.245,1252.0,319.782,220.549,1256.0,314.736,220.813,1261.0,310.632,222.147,1265.0,341.704,222.258,1252.0,345.359,220.726,1256.0,349.667,219.71,1256.0,354.607,219.465,1265.0,358.701,220.461,1270.0,0
4,326.435,233.941,1221.0,323.863,232.417,1238.0,320.452,232.06,1238.0,317.175,232.714,1247.0,314.588,234.252,1247.0,317.308,235.27,1243.0,320.529,235.504,1238.0,323.73,235.097,1234.0,344.698,233.258,1252.0,347.059,231.453,1252.0,350.312,230.788,1252.0,353.456,231.117,1256.0,356.004,232.451,1256.0,353.652,233.67,1252.0,350.645,234.204,1252.0,347.392,234.056,1247.0,327.739,225.763,1225.0,323.488,224.445,1247.0,319.151,223.92,1256.0,314.723,224.392,1256.0,311.008,225.875,1261.0,311.13,228.54,1256.0,315.012,227.695,1256.0,319.209,227.333,1252.0,323.287,227.572,1238.0,327.648,228.341,1221.0,343.027,225.178,1252.0,346.664,223.626,1256.0,350.64,222.717,1256.0,354.761,222.619,1261.0,358.367,223.607,1270.0,358.489,226.201,1265.0,354.821,225.859,1256.0,351.007,226.016,1256.0,347.175,226.668,1256.0,343.415,227.706,1252.0,331.935,233.972,1221.0,331.411,239.115,1225.0,330.043,244.018,1225.0,327.524,248.52,1225.0,329.099,252.504,1225.0,335.257,252.664,1225.0,339.73,252.515,1225.0,344.952,251.718,1234.0,345.825,247.535,1234.0,342.837,243.252,1234.0,340.914,238.541,1238.0,339.709,233.567,1243.0,326.058,264.13,1212.0,329.637,261.452,1221.0,333.8,259.652,1221.0,337.635,259.922,1216.0,341.096,259.31,1221.0,345.075,260.61,1229.0,348.55,263.009,1229.0,345.879,265.883,1221.0,342.656,267.794,1221.0,338.032,268.661,1216.0,333.098,268.176,1216.0,329.389,266.581,1216.0,328.718,264.061,1216.0,333.273,262.917,1216.0,337.809,262.571,1216.0,342.075,262.531,1221.0,346.182,263.227,1225.0,342.173,264.236,1221.0,337.858,264.761,1216.0,333.304,264.614,1216.0,301.569,234.702,1265.0,301.816,242.549,1261.0,302.775,250.341,1261.0,304.911,258.21,1256.0,308.054,265.32,1252.0,312.806,271.655,1252.0,318.181,276.352,1243.0,324.314,280.008,1234.0,331.206,282.216,1238.0,338.716,282.763,1238.0,346.181,281.192,1243.0,352.432,277.99,1252.0,357.663,273.39,1252.0,362.052,267.984,1265.0,365.396,261.13,0.0,367.307,253.704,1289.0,368.114,246.055,1284.0,368.046,238.485,1280.0,367.282,231.361,1284.0,320.51,233.907,1238.0,350.402,232.625,1252.0,336.908,249.091,1225.0,328.772,223.025,1234.0,324.194,221.611,1252.0,319.137,220.976,1256.0,313.841,221.516,1256.0,309.673,223.158,1261.0,341.634,222.547,1247.0,345.57,220.881,1256.0,350.265,219.803,1256.0,355.369,219.692,1265.0,359.512,220.809,1275.0,0
5,326.484,233.884,1225.0,323.915,232.36,1234.0,320.507,232.001,1238.0,317.232,232.653,1243.0,314.645,234.187,1243.0,317.363,235.207,1243.0,320.581,235.442,1238.0,323.781,235.038,1234.0,344.734,233.214,1243.0,347.094,231.413,1252.0,350.345,230.751,1252.0,353.487,231.082,1252.0,356.032,232.416,1256.0,353.681,233.633,1252.0,350.676,234.164,1247.0,347.426,234.014,1247.0,327.792,225.714,1225.0,323.546,224.394,1243.0,319.212,223.867,1256.0,314.787,224.335,1256.0,311.073,225.814,1261.0,311.194,228.478,1256.0,315.073,227.636,1256.0,319.268,227.277,1252.0,323.343,227.518,1238.0,327.7,228.29,1221.0,343.07,225.139,1252.0,346.705,223.591,1256.0,350.679,222.685,1256.0,354.797,222.59,1256.0,358.399,223.58,1265.0,358.519,226.172,1261.0,354.854,225.827,1256.0,351.044,225.983,1256.0,347.213,226.631,1252.0,343.455,227.666,1247.0,331.98,233.919,1221.0,331.453,239.058,1225.0,330.082,243.957,1221.0,327.562,248.454,1225.0,329.133,252.436,1225.0,335.287,252.6,1221.0,339.756,252.454,1225.0,344.976,251.661,1234.0,345.851,247.482,1234.0,342.867,243.2,1229.0,340.949,238.491,1234.0,339.749,233.52,1234.0,326.087,264.052,1212.0,329.665,261.378,1221.0,333.826,259.582,1221.0,337.658,259.854,1216.0,341.117,259.245,1221.0,345.092,260.546,1225.0,348.563,262.947,1229.0,345.892,265.816,1216.0,342.67,267.723,1216.0,338.049,268.587,1216.0,333.119,268.099,1212.0,329.414,266.503,1212.0,328.745,263.984,1216.0,333.298,262.844,1216.0,337.831,262.501,1216.0,342.093,262.465,1216.0,346.197,263.162,1221.0,342.19,264.168,1212.0,337.877,264.69,1212.0,333.327,264.54,1212.0,301.635,234.629,1261.0,301.878,242.469,1261.0,302.83,250.257,1261.0,304.959,258.121,1256.0,308.096,265.228,1243.0,312.839,271.562,1243.0,318.207,276.259,1238.0,324.334,279.916,1234.0,331.219,282.127,1234.0,338.723,282.679,1234.0,346.183,281.114,1243.0,352.432,277.919,1256.0,357.663,273.326,1243.0,362.051,267.927,1265.0,365.398,261.08,0.0,367.313,253.661,1289.0,368.124,246.018,1284.0,368.061,238.454,1275.0,367.302,231.334,1275.0,320.563,233.847,1238.0,350.435,232.586,1252.0,336.939,249.03,1225.0,328.826,222.979,1234.0,324.253,221.563,1247.0,319.201,220.924,1256.0,313.907,221.46,1256.0,309.742,223.099,1261.0,341.679,222.509,1247.0,345.613,220.848,1256.0,350.306,219.774,1256.0,355.406,219.665,1256.0,359.546,220.785,1275.0,0
6,326.432,232.839,1221.0,323.77,231.237,1234.0,320.291,230.849,1238.0,316.946,231.61,1243.0,314.357,233.355,1243.0,317.14,234.299,1243.0,320.43,234.48,1234.0,323.689,234.009,1234.0,344.781,232.08,1238.0,347.208,230.217,1247.0,350.548,229.499,1252.0,353.799,229.915,1252.0,356.349,231.426,1252.0,353.947,232.592,1247.0,350.848,233.082,1243.0,347.542,232.893,1243.0,327.629,223.961,1234.0,322.972,222.755,1252.0,318.161,222.501,1256.0,313.733,223.453,1256.0,310.207,225.374,1256.0,310.53,227.796,1256.0,314.297,226.554,1256.0,318.449,225.905,1252.0,322.861,225.997,1247.0,327.525,226.689,1216.0,343.026,223.31,1243.0,347.099,221.807,1252.0,351.619,221.103,1256.0,355.835,221.493,1256.0,359.289,222.903,1270.0,359.189,225.307,1265.0,355.598,224.56,1256.0,351.752,224.428,1256.0,347.549,224.973,1252.0,343.422,225.994,1238.0,331.915,232.712,1216.0,331.407,237.696,1221.0,329.979,242.375,1221.0,327.401,246.666,1221.0,328.96,250.684,1221.0,335.164,250.585,1221.0,339.576,250.418,1225.0,344.966,249.84,1229.0,345.857,245.647,1225.0,342.841,241.572,1229.0,340.91,237.097,1234.0,339.755,232.285,1234.0,325.767,262.496,1212.0,329.372,259.552,1216.0,333.633,257.506,1216.0,337.556,257.785,1216.0,341.144,257.129,1225.0,345.263,258.632,1225.0,348.804,261.262,1229.0,346.008,263.771,1221.0,342.646,265.428,1212.0,337.965,266.214,1212.0,333.002,265.889,1212.0,329.171,264.597,1212.0,328.486,262.238,1212.0,333.036,260.961,1212.0,337.718,260.559,1212.0,342.157,260.522,1221.0,346.324,261.319,1221.0,342.21,261.855,1216.0,337.751,262.257,1212.0,333.078,262.286,1212.0,301.575,234.338,1261.0,301.78,242.145,1261.0,302.695,249.874,1256.0,304.686,257.682,1252.0,307.677,264.806,1252.0,312.268,271.091,1243.0,317.647,275.656,1238.0,323.877,279.167,1234.0,330.961,281.271,1234.0,338.74,281.761,1234.0,346.406,280.181,1238.0,352.887,277.038,1247.0,358.251,272.481,1252.0,362.623,267.056,1265.0,365.775,260.24,0.0,367.491,252.881,1284.0,368.205,245.327,1280.0,368.074,237.9,1275.0,367.251,230.775,1275.0,320.382,232.835,1234.0,350.628,231.463,1247.0,336.843,247.223,1221.0,328.555,221.157,1229.0,323.543,219.869,1252.0,317.905,219.571,1252.0,312.541,220.731,1256.0,308.573,222.872,1261.0,341.754,220.608,1238.0,346.16,218.997,1252.0,351.517,218.175,1252.0,356.78,218.677,1261.0,360.751,220.273,1270.0,0
7,326.296,232.424,1221.0,323.58,230.746,1234.0,320.052,230.316,1238.0,316.653,231.098,1243.0,314.041,232.918,1243.0,316.865,233.878,1238.0,320.202,234.07,1234.0,323.509,233.585,1234.0,344.677,231.708,1238.0,347.145,229.807,1243.0,350.546,229.07,1247.0,353.865,229.533,1252.0,356.435,231.123,1252.0,353.998,232.288,1247.0,350.846,232.762,1243.0,347.499,232.54,1238.0,327.398,223.081,1229.0,322.516,221.863,1247.0,317.42,221.667,1256.0,312.985,222.859,1256.0,309.55,225.011,1256.0,309.992,227.299,1256.0,313.708,225.87,1256.0,317.839,225.103,1252.0,322.438,225.178,1238.0,327.26,225.888,1216.0,342.882,222.47,1247.0,347.204,220.967,1256.0,352.025,220.334,1256.0,356.301,221.001,1261.0,359.694,222.659,1265.0,359.462,224.96,1261.0,355.906,224.0,1256.0,352.043,223.717,1256.0,347.642,224.215,1252.0,343.308,225.238,1243.0,331.746,232.245,1221.0,331.276,237.248,1216.0,329.836,241.897,1216.0,327.209,246.101,1221.0,328.742,250.181,1221.0,334.987,250.046,1216.0,339.407,249.892,1221.0,344.905,249.383,1229.0,345.784,245.148,1229.0,342.708,241.129,1225.0,340.77,236.665,1225.0,339.652,231.837,1221.0,325.451,262.015,1204.0,329.107,259.073,1208.0,333.419,256.97,1216.0,337.362,257.317,1216.0,340.999,256.609,1221.0,345.218,258.184,1216.0,348.862,260.81,1221.0,345.955,263.166,1216.0,342.474,264.708,1208.0,337.77,265.442,1208.0,332.802,265.165,1208.0,328.906,263.993,1208.0,328.18,261.706,1208.0,332.748,260.504,1208.0,337.513,260.149,1212.0,342.082,260.072,1216.0,346.33,260.811,1216.0,342.113,261.084,1216.0,337.529,261.42,1212.0,332.783,261.509,1208.0,301.506,234.025,1261.0,301.737,241.889,1256.0,302.673,249.635,1256.0,304.638,257.449,1256.0,307.59,264.588,1247.0,312.117,270.846,1247.0,317.483,275.382,1243.0,323.712,278.899,1234.0,330.823,281.047,1234.0,338.69,281.57,1234.0,346.423,279.998,1243.0,352.963,276.858,1243.0,358.359,272.318,1247.0,362.734,266.899,1256.0,365.828,260.12,1275.0,367.47,252.796,1275.0,368.165,245.267,1280.0,368.033,237.87,1275.0,367.211,230.666,1280.0,320.15,232.379,1238.0,350.627,231.104,1243.0,336.697,246.722,1216.0,328.286,220.223,1225.0,323.04,218.928,1247.0,317.045,218.714,1256.0,311.608,220.19,1256.0,307.729,222.6,1261.0,341.657,219.703,1247.0,346.318,218.096,1252.0,352.045,217.367,1256.0,357.434,218.216,1265.0,361.346,220.092,1275.0,0
8,325.682,231.769,1229.0,322.952,230.091,1234.0,319.431,229.639,1243.0,316.013,230.384,1243.0,313.383,232.16,1243.0,316.205,233.119,1238.0,319.539,233.333,1238.0,322.858,232.874,1234.0,344.063,231.135,1238.0,346.577,229.278,1243.0,349.993,228.567,1252.0,353.329,229.046,1252.0,355.918,230.623,1252.0,353.446,231.751,1252.0,350.277,232.197,1243.0,346.923,231.962,1238.0,326.741,222.272,1225.0,321.831,221.026,1247.0,316.675,220.819,1256.0,312.28,222.055,1256.0,308.911,224.234,1256.0,309.341,226.446,1256.0,313.026,224.987,1256.0,317.121,224.215,1252.0,321.746,224.321,1243.0,326.585,225.068,1221.0,342.273,221.715,1252.0,346.712,220.235,1256.0,351.67,219.651,1256.0,355.965,220.439,1256.0,359.339,222.193,1270.0,359.071,224.429,1265.0,355.5,223.374,1256.0,351.614,223.016,1252.0,347.123,223.478,1252.0,342.673,224.488,1243.0,331.049,231.543,1225.0,330.548,236.487,1216.0,329.049,241.047,1216.0,326.271,245.119,1221.0,327.701,249.168,1221.0,334.055,249.129,1221.0,338.569,248.996,1221.0,344.291,248.479,1229.0,345.164,244.296,1229.0,341.984,240.383,1225.0,340.068,235.977,1221.0,339.018,231.185,1225.0,324.134,260.52,1208.0,327.979,257.674,1212.0,332.424,255.682,1204.0,336.449,256.083,1208.0,340.2,255.351,1221.0,344.679,256.86,1216.0,348.641,259.389,1229.0,345.469,261.888,1216.0,341.781,263.478,1212.0,336.874,264.21,1208.0,331.751,263.899,1204.0,327.739,262.665,1204.0,326.66,260.275,1204.0,331.537,259.139,1204.0,336.599,258.849,1204.0,341.561,258.717,1216.0,346.264,259.408,1221.0,341.641,259.863,1216.0,336.636,260.247,1204.0,331.555,260.274,1204.0,301.331,233.278,1256.0,301.505,241.025,1256.0,302.388,248.568,1252.0,304.291,256.19,1247.0,307.166,263.176,1243.0,311.558,269.303,1238.0,316.811,273.831,1238.0,322.915,277.416,1234.0,329.91,279.695,1234.0,337.759,280.318,1234.0,345.529,278.828,1238.0,352.111,275.732,1238.0,357.576,271.266,1252.0,362.026,265.936,1252.0,365.18,259.346,0.0,366.88,252.194,1275.0,367.642,244.816,1275.0,367.585,237.566,1265.0,366.846,230.408,1275.0,319.508,231.671,1238.0,350.066,230.57,1247.0,335.886,245.827,1221.0,327.647,219.452,1229.0,322.367,218.125,1252.0,316.28,217.903,1256.0,310.863,219.449,1256.0,307.053,221.9,1261.0,341.073,218.965,1247.0,345.853,217.387,1256.0,351.747,216.718,1256.0,357.177,217.719,1270.0,361.066,219.703,1280.0,0
9,325.146,231.611,1229.0,322.356,229.793,1234.0,318.786,229.271,1243.0,315.329,230.076,1243.0,312.746,231.995,1243.0,315.537,233.004,1243.0,318.903,233.23,1243.0,322.267,232.732,1234.0,343.325,230.932,1238.0,345.888,228.942,1243.0,349.372,228.14,1247.0,352.777,228.676,1252.0,355.329,230.38,1252.0,352.87,231.554,1247.0,349.673,232.025,1238.0,346.276,231.776,1238.0,326.156,222.102,1221.0,320.914,220.844,1247.0,315.308,220.731,1256.0,310.867,222.291,1256.0,307.63,224.794,1256.0,308.273,226.822,1256.0,311.834,225.109,1256.0,315.869,224.16,1256.0,320.805,224.223,1238.0,325.911,224.991,1221.0,341.422,221.492,1247.0,346.27,219.947,1256.0,351.72,219.403,1256.0,356.119,220.519,1265.0,359.412,222.585,1270.0,358.952,224.665,1261.0,355.456,223.362,1256.0,351.552,222.822,1256.0,346.729,223.274,1252.0,341.938,224.357,1243.0,330.323,231.356,1225.0,329.867,236.352,1221.0,328.37,240.866,1221.0,325.539,244.777,1221.0,326.873,248.933,1221.0,333.292,249.024,1216.0,337.771,248.883,1221.0,343.65,248.212,1229.0,344.466,243.952,1234.0,341.243,240.206,1225.0,339.346,235.84,1221.0,338.365,230.985,1229.0,322.982,260.209,1208.0,327.084,257.508,1208.0,331.688,255.598,1208.0,335.802,256.058,1208.0,339.675,255.235,1216.0,344.327,256.606,1221.0,348.544,258.92,1225.0,345.131,261.461,1221.0,341.261,263.045,1216.0,336.224,263.784,1208.0,330.99,263.526,1204.0,326.824,262.364,1204.0,325.384,259.978,1208.0,330.609,259.003,1204.0,335.936,258.783,1204.0,341.208,258.504,1216.0,346.287,258.957,1221.0,341.31,259.426,1216.0,335.973,259.851,1204.0,330.59,259.91,1204.0,301.074,233.079,1256.0,301.265,240.954,1256.0,302.181,248.593,1252.0,304.029,256.313,1247.0,306.845,263.437,1247.0,311.203,269.612,1238.0,316.378,274.023,1238.0,322.369,277.544,1234.0,329.293,279.762,1229.0,337.117,280.391,1234.0,344.847,278.894,1238.0,351.436,275.865,1243.0,356.867,271.455,1247.0,361.303,266.192,1270.0,364.448,259.506,0.0,366.076,252.266,1275.0,366.81,244.789,1275.0,366.758,237.471,1261.0,366.034,230.08,1275.0,318.884,231.464,1243.0,349.439,230.303,1243.0,335.15,245.607,1221.0,327.008,219.208,1221.0,321.39,217.875,1252.0,314.782,217.779,1252.0,309.255,219.744,1256.0,305.579,222.569,1265.0,340.287,218.664,1252.0,345.484,217.025,1256.0,351.938,216.421,1261.0,357.525,217.831,1275.0,361.321,220.167,1280.0,0
10,325.106,231.7,1225.0,322.311,229.896,1234.0,318.742,229.377,1238.0,315.269,230.166,1243.0,312.668,232.063,1243.0,315.469,233.053,1238.0,318.841,233.277,1243.0,322.214,232.789,1234.0,343.315,231.056,1234.0,345.902,229.102,1243.0,349.398,228.323,1252.0,352.813,228.864,1252.0,355.381,230.559,1256.0,352.893,231.7,1247.0,349.677,232.147,1243.0,346.275,231.891,1238.0,326.096,222.084,1216.0,320.847,220.828,1252.0,315.229,220.721,1256.0,310.814,222.301,1256.0,307.608,224.814,1261.0,308.24,226.803,1256.0,311.787,225.077,1256.0,315.804,224.125,1252.0,320.741,224.194,1238.0,325.847,224.965,1221.0,341.448,221.496,1247.0,346.341,219.979,1256.0,351.84,219.47,1256.0,356.244,220.642,1275.0,359.513,222.753,1275.0,359.035,224.795,1270.0,355.541,223.446,1261.0,351.627,222.872,1256.0,346.775,223.298,1256.0,341.939,224.359,1243.0,330.267,231.4,1221.0,329.788,236.348,1221.0,328.252,240.803,1221.0,325.346,244.66,1221.0,326.635,248.788,1225.0,333.093,248.868,1216.0,337.622,248.734,1221.0,343.596,248.118,1234.0,344.419,243.895,1234.0,341.161,240.193,1225.0,339.28,235.87,1229.0,338.336,231.052,1229.0,322.801,259.982,1208.0,326.87,257.192,1212.0,331.501,255.271,1216.0,335.634,255.732,1212.0,339.513,254.956,1221.0,344.209,256.401,1221.0,348.413,258.863,1229.0,345.036,261.581,1221.0,341.172,263.282,1216.0,336.088,264.039,1212.0,330.792,263.693,1208.0,326.611,262.365,1208.0,325.172,259.792,1208.0,330.393,258.697,1212.0,335.778,258.463,1208.0,341.104,258.264,1221.0,346.18,258.909,1225.0,341.237,259.613,1221.0,335.839,260.078,1208.0,330.391,260.033,1212.0,301.183,233.219,1256.0,301.336,241.018,1252.0,302.223,248.543,1252.0,304.039,256.15,1252.0,306.813,263.18,1247.0,311.084,269.287,1243.0,316.197,273.714,1238.0,322.138,277.284,1234.0,329.025,279.587,1229.0,336.872,280.27,1229.0,344.641,278.797,0.0,351.256,275.754,1252.0,356.721,271.347,1256.0,361.181,266.091,1270.0,364.34,259.504,0.0,366.007,252.365,1294.0,366.787,244.984,1280.0,366.778,237.762,1275.0,366.097,230.429,1289.0,318.828,231.54,1243.0,349.457,230.455,1243.0,335.016,245.507,1221.0,326.956,219.212,1225.0,321.327,217.881,1252.0,314.695,217.793,1256.0,309.185,219.79,1261.0,305.542,222.63,1265.0,340.332,218.682,1256.0,345.576,217.074,1256.0,352.094,216.511,1270.0,357.692,217.994,1275.0,361.463,220.382,1289.0,0
