,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,327.691,229.486,1247.0,324.834,227.602,1256.0,320.99,227.173,1261.0,317.072,228.093,1265.0,313.919,230.43,1261.0,317.635,230.62,1261.0,321.399,230.411,1256.0,324.849,230.019,1256.0,345.44,230.096,1270.0,348.356,228.715,1270.0,352.097,228.606,1275.0,355.624,229.747,1280.0,358.325,232.159,1280.0,355.171,232.064,1275.0,351.643,231.52,1270.0,348.262,230.851,1270.0,329.602,219.639,1238.0,323.905,218.476,1275.0,318.155,218.94,1280.0,313.537,221.135,1280.0,310.27,224.276,1280.0,311.175,225.849,1275.0,314.86,223.625,1275.0,319.087,222.331,1275.0,324.136,222.215,1256.0,329.305,222.84,1238.0,344.92,220.267,1280.0,349.82,219.768,1275.0,355.136,220.669,1284.0,359.516,223.131,1289.0,362.22,226.526,1299.0,361.028,228.0,1294.0,357.872,225.424,1284.0,354.081,223.923,1284.0,349.425,223.363,1280.0,344.832,223.35,1275.0,333.062,228.082,0.0,332.18,232.354,0.0,330.105,235.523,0.0,327.061,239.054,1243.0,328.104,243.101,1238.0,334.927,241.19,1238.0,339.45,241.35,0.0,345.425,243.612,1252.0,346.453,239.701,0.0,343.776,235.806,0.0,342.002,232.571,1261.0,341.2,228.268,1265.0,325.48,260.911,1225.0,327.363,252.272,1234.0,332.366,247.284,1238.0,336.991,247.428,1238.0,341.473,247.529,1243.0,345.657,252.589,1243.0,346.432,261.328,1247.0,345.595,267.097,1252.0,342.452,271.368,1252.0,336.507,272.83,1243.0,330.39,271.289,1234.0,326.7,267.016,1229.0,329.252,260.247,1229.0,331.549,253.597,1234.0,336.929,251.809,1238.0,341.584,253.88,1238.0,342.866,260.552,1234.0,341.252,265.344,1238.0,336.631,266.66,1238.0,331.533,265.154,1234.0,302.509,233.934,1280.0,301.379,241.821,1275.0,301.16,249.351,1270.0,302.22,257.267,1265.0,304.264,264.962,1265.0,307.301,272.342,1275.0,311.821,278.6,1280.0,318.172,283.992,1280.0,326.127,288.252,1275.0,335.844,290.292,1275.0,345.458,288.616,1284.0,353.048,284.308,1294.0,358.925,278.212,0.0,363.049,270.891,0.0,365.417,263.623,0.0,366.887,256.223,0.0,367.723,248.62,1309.0,367.254,241.865,0.0,366.036,235.142,1294.0,321.049,229.229,1256.0,351.865,230.47,1270.0,336.913,239.917,1234.0,330.306,216.801,1243.0,324.098,215.56,1275.0,317.176,216.149,1280.0,311.424,218.879,1284.0,307.699,222.387,1284.0,344.378,217.378,1280.0,349.771,216.831,1280.0,356.286,217.916,1284.0,361.928,221.046,1294.0,365.146,224.921,1304.0,0
2,327.698,229.535,1247.0,324.835,227.66,1252.0,320.994,227.235,1261.0,317.075,228.155,1261.0,313.915,230.489,1265.0,317.637,230.671,1261.0,321.403,230.459,1256.0,324.853,230.067,1256.0,345.468,230.133,1265.0,348.389,228.762,1270.0,352.123,228.653,1275.0,355.641,229.79,1280.0,358.337,232.197,1280.0,355.188,232.097,1275.0,351.668,231.552,1270.0,348.292,230.886,1265.0,329.622,219.645,1238.0,323.921,218.485,1270.0,318.17,218.958,1280.0,313.547,221.158,1280.0,310.274,224.3,1280.0,311.168,225.879,1275.0,314.869,223.649,1275.0,319.104,222.349,1275.0,324.157,222.229,1256.0,329.331,222.852,1238.0,344.947,220.267,1275.0,349.837,219.771,1275.0,355.138,220.678,1284.0,359.508,223.137,1289.0,362.208,226.532,1294.0,361.025,228.008,1289.0,357.868,225.43,1280.0,354.084,223.929,1280.0,349.44,223.368,1280.0,344.855,223.357,1275.0,333.083,228.107,0.0,332.204,232.378,0.0,330.126,235.535,0.0,327.054,239.047,1243.0,328.097,243.095,1243.0,334.989,241.186,1238.0,339.531,241.344,1238.0,345.526,243.592,1247.0,346.542,239.682,0.0,343.84,235.804,0.0,342.05,232.585,1261.0,341.239,228.286,1261.0,325.398,260.846,1225.0,327.339,252.207,1234.0,332.398,247.228,1238.0,337.052,247.37,1238.0,341.564,247.467,1243.0,345.787,252.513,1243.0,346.597,261.252,1243.0,345.727,267.08,1256.0,342.561,271.381,1252.0,336.578,272.857,1243.0,330.413,271.313,1234.0,326.675,267.017,1229.0,329.135,260.192,1229.0,331.532,253.531,1234.0,336.988,251.742,1238.0,341.713,253.806,1238.0,343.072,260.491,1238.0,341.393,265.353,1238.0,336.698,266.69,1234.0,331.513,265.168,1234.0,302.422,234.029,1280.0,301.297,241.927,1275.0,301.08,249.448,1270.0,302.142,257.359,1270.0,304.196,265.045,1261.0,307.247,272.412,1270.0,311.793,278.663,1284.0,318.174,284.049,1280.0,326.159,288.305,1270.0,335.907,290.333,1280.0,345.525,288.642,1284.0,353.098,284.31,1299.0,358.954,278.198,0.0,363.057,270.864,0.0,365.397,263.612,0.0,366.853,256.231,0.0,367.677,248.647,0.0,367.196,241.919,0.0,365.969,235.215,1289.0,321.051,229.284,1256.0,351.888,230.509,1270.0,336.963,239.911,1234.0,330.324,216.808,1247.0,324.11,215.571,1275.0,317.188,216.17,1280.0,311.438,218.904,1284.0,307.71,222.412,1284.0,344.402,217.381,1280.0,349.787,216.836,1280.0,356.287,217.927,1284.0,361.92,221.054,1294.0,365.134,224.931,1304.0,0
3,327.703,229.563,1247.0,324.84,227.691,1252.0,321.002,227.27,1256.0,317.086,228.192,1265.0,313.931,230.527,1261.0,317.65,230.705,1261.0,321.413,230.491,1261.0,324.86,230.096,1256.0,345.46,230.147,1265.0,348.379,228.775,1270.0,352.11,228.664,1275.0,355.627,229.798,1280.0,358.322,232.201,1280.0,355.175,232.103,1275.0,351.657,231.561,1270.0,348.283,230.897,1265.0,329.618,219.678,1238.0,323.92,218.524,1270.0,318.174,219.0,1280.0,313.556,221.202,1280.0,310.287,224.344,1280.0,311.183,225.921,1280.0,314.878,223.691,1275.0,319.11,222.389,1275.0,324.159,222.264,1256.0,329.33,222.883,1238.0,344.933,220.289,0.0,349.819,219.79,1280.0,355.116,220.692,1284.0,359.485,223.146,1289.0,362.186,226.537,1294.0,361.005,228.012,1289.0,357.849,225.439,1284.0,354.066,223.941,1280.0,349.425,223.385,1275.0,344.843,223.377,1275.0,333.083,228.132,0.0,332.208,232.401,0.0,330.133,235.557,0.0,327.067,239.069,1243.0,328.112,243.113,1243.0,334.997,241.2,0.0,339.536,241.354,1238.0,345.529,243.596,1247.0,346.541,239.688,0.0,343.838,235.815,0.0,342.047,232.6,1261.0,341.233,228.305,1265.0,325.428,260.853,1229.0,327.361,252.219,1229.0,332.413,247.239,1238.0,337.064,247.378,1238.0,341.572,247.472,1247.0,345.796,252.511,1247.0,346.612,261.244,1243.0,345.746,267.068,1252.0,342.586,271.368,1243.0,336.609,272.847,1247.0,330.447,271.309,1238.0,326.708,267.018,1229.0,329.162,260.196,1229.0,331.551,253.538,1229.0,337.002,251.748,1238.0,341.726,253.807,1238.0,343.089,260.485,1234.0,341.415,265.345,1225.0,336.723,266.684,1229.0,331.541,265.167,1229.0,302.449,234.072,1280.0,301.33,241.965,1280.0,301.119,249.481,1270.0,302.186,257.385,1270.0,304.244,265.065,1265.0,307.298,272.424,1270.0,311.846,278.667,1280.0,318.226,284.045,1280.0,326.208,288.292,1270.0,335.95,290.311,1275.0,345.56,288.615,1284.0,353.124,284.28,1294.0,358.972,278.168,0.0,363.067,270.837,0.0,365.4,263.588,0.0,366.85,256.211,0.0,367.668,248.632,0.0,367.182,241.909,0.0,365.95,235.21,1294.0,321.061,229.317,1256.0,351.877,230.518,1270.0,336.969,239.924,1234.0,330.318,216.843,1247.0,324.108,215.611,1275.0,317.191,216.215,1280.0,311.447,218.952,1284.0,307.724,222.459,1284.0,344.387,217.405,1280.0,349.767,216.857,1280.0,356.263,217.942,1284.0,361.894,221.063,1299.0,365.109,224.935,1304.0,0
4,327.702,229.539,1252.0,324.841,227.666,1252.0,321.003,227.242,1256.0,317.087,228.161,1261.0,313.929,230.494,1261.0,317.649,230.675,1261.0,321.412,230.463,1256.0,324.859,230.07,1256.0,345.459,230.134,1270.0,348.378,228.764,1270.0,352.109,228.655,1275.0,355.625,229.791,1280.0,358.319,232.196,1275.0,355.172,232.096,1275.0,351.654,231.552,1270.0,348.281,230.886,1270.0,329.624,219.656,1238.0,323.926,218.498,1270.0,318.18,218.971,1280.0,313.561,221.17,1280.0,310.29,224.309,1280.0,311.184,225.887,1275.0,314.882,223.659,1275.0,319.114,222.36,1275.0,324.163,222.238,1256.0,329.334,222.861,1238.0,344.938,220.276,0.0,349.824,219.78,1275.0,355.121,220.685,1284.0,359.488,223.142,1289.0,362.187,226.535,1294.0,361.005,228.009,1289.0,357.85,225.434,1284.0,354.068,223.934,1280.0,349.428,223.375,1275.0,344.846,223.364,0.0,333.083,228.111,0.0,332.205,232.38,0.0,330.129,235.535,1238.0,327.06,239.044,1238.0,328.103,243.089,1243.0,334.989,241.18,1225.0,339.527,241.338,1238.0,345.519,243.583,1252.0,346.534,239.676,0.0,343.833,235.801,0.0,342.044,232.585,1265.0,341.233,228.29,1265.0,325.408,260.827,1225.0,327.346,252.195,1229.0,332.401,247.218,1238.0,337.051,247.36,1243.0,341.56,247.456,1247.0,345.78,252.498,1247.0,346.591,261.231,1238.0,345.722,267.055,1252.0,342.559,271.353,1243.0,336.581,272.828,1247.0,330.42,271.286,1238.0,326.684,266.993,1229.0,329.142,260.173,1221.0,331.536,253.516,1225.0,336.987,251.729,1238.0,341.71,253.791,1238.0,343.068,260.47,1238.0,341.391,265.329,1234.0,336.699,266.666,1234.0,331.518,265.145,1225.0,302.446,234.033,1280.0,301.322,241.925,1280.0,301.106,249.44,1275.0,302.168,257.345,1265.0,304.221,265.026,1265.0,307.27,272.386,1280.0,311.814,278.633,1280.0,318.191,284.014,1280.0,326.17,288.266,1275.0,335.911,290.291,1275.0,345.522,288.601,1284.0,353.089,284.271,1299.0,358.941,278.163,0.0,363.04,270.834,0.0,365.378,263.587,0.0,366.831,256.211,0.0,367.654,248.633,1309.0,367.172,241.91,0.0,365.945,235.21,1289.0,321.06,229.289,1256.0,351.875,230.509,1270.0,336.962,239.906,1234.0,330.325,216.821,1243.0,324.116,215.585,1275.0,317.199,216.185,1280.0,311.453,218.918,1284.0,307.728,222.423,1284.0,344.393,217.392,1280.0,349.773,216.847,1275.0,356.269,217.936,1284.0,361.898,221.061,1294.0,365.111,224.935,1304.0,0
5,327.714,229.543,1252.0,324.859,227.671,1252.0,321.029,227.245,1256.0,317.119,228.16,1265.0,313.966,230.486,1265.0,317.679,230.669,1261.0,321.435,230.461,1256.0,324.875,230.071,1256.0,345.437,230.15,1265.0,348.352,228.784,1270.0,352.075,228.678,1275.0,355.584,229.815,1280.0,358.271,232.217,1280.0,355.13,232.115,1275.0,351.62,231.569,1270.0,348.253,230.903,1265.0,329.639,219.68,1238.0,323.953,218.52,1270.0,318.217,218.988,1280.0,313.605,221.179,1280.0,310.338,224.311,1280.0,311.23,225.886,1280.0,314.922,223.665,1275.0,319.147,222.371,1275.0,324.187,222.253,1252.0,329.347,222.878,1238.0,344.923,220.31,1275.0,349.801,219.818,1275.0,355.087,220.726,1284.0,359.444,223.181,1289.0,362.136,226.569,1294.0,360.955,228.04,1289.0,357.808,225.467,1284.0,354.034,223.967,1284.0,349.403,223.406,1275.0,344.83,223.392,1270.0,333.086,228.122,0.0,332.207,232.381,0.0,330.131,235.529,0.0,327.066,239.03,1238.0,328.104,243.068,1247.0,334.978,241.167,1234.0,339.508,241.328,1238.0,345.487,243.574,1247.0,346.502,239.674,0.0,343.81,235.805,0.0,342.026,232.594,1261.0,341.22,228.306,1265.0,325.401,260.77,1229.0,327.342,252.155,1229.0,332.391,247.192,1243.0,337.033,247.337,1243.0,341.532,247.437,1247.0,345.741,252.472,1252.0,346.544,261.189,0.0,345.672,267.001,1247.0,342.512,271.289,1243.0,336.544,272.757,1243.0,330.396,271.213,1238.0,326.67,266.926,1234.0,329.129,260.12,1225.0,331.523,253.478,1229.0,336.965,251.698,1238.0,341.677,253.759,1238.0,343.029,260.427,1238.0,341.351,265.276,1229.0,336.667,266.606,1234.0,331.496,265.085,1229.0,302.501,234.01,1280.0,301.374,241.886,1280.0,301.153,249.388,1270.0,302.208,257.278,1265.0,304.252,264.946,1265.0,307.29,272.295,1265.0,311.82,278.533,1280.0,318.182,283.908,1275.0,326.142,288.158,1275.0,335.863,290.187,1275.0,345.458,288.506,1284.0,353.013,284.19,1294.0,358.858,278.098,0.0,362.955,270.786,0.0,365.294,263.554,0.0,366.75,256.193,0.0,367.577,248.629,0.0,367.101,241.919,0.0,365.881,235.231,1289.0,321.085,229.288,1256.0,351.84,230.529,1270.0,336.948,239.897,1234.0,330.341,216.85,1238.0,324.144,215.613,1275.0,317.24,216.206,1284.0,311.503,218.93,1280.0,307.782,222.426,1284.0,344.382,217.43,1275.0,349.753,216.891,1280.0,356.235,217.983,1284.0,361.852,221.105,1294.0,365.055,224.974,1304.0,0
6,327.722,229.525,1252.0,324.869,227.652,1252.0,321.039,227.224,1256.0,317.13,228.137,1265.0,313.976,230.462,1261.0,317.688,230.647,1261.0,321.444,230.44,1256.0,324.884,230.052,1256.0,345.443,230.139,1265.0,348.358,228.775,1270.0,352.081,228.671,1275.0,355.589,229.808,1275.0,358.274,232.211,1275.0,355.134,232.108,1275.0,351.624,231.561,1270.0,348.259,230.893,1265.0,329.652,219.663,1238.0,323.967,218.501,1270.0,318.232,218.967,1280.0,313.619,221.156,1280.0,310.351,224.285,1280.0,311.242,225.861,1280.0,314.934,223.642,1280.0,319.16,222.35,1275.0,324.199,222.235,1256.0,329.358,222.861,1238.0,344.934,220.3,1275.0,349.811,219.81,1275.0,355.096,220.72,1284.0,359.452,223.177,1294.0,362.141,226.566,1294.0,360.96,228.036,1289.0,357.815,225.462,1289.0,354.042,223.961,1284.0,349.412,223.397,1275.0,344.839,223.381,1270.0,333.094,228.106,0.0,332.213,232.365,0.0,330.137,235.511,0.0,327.07,239.01,1243.0,328.106,243.048,1247.0,334.981,241.151,1234.0,339.51,241.313,0.0,345.487,243.561,1247.0,346.504,239.663,0.0,343.814,235.793,0.0,342.032,232.581,1265.0,341.228,228.294,1265.0,325.396,260.747,1229.0,327.341,252.134,1234.0,332.391,247.174,1238.0,337.032,247.32,1238.0,341.531,247.422,1247.0,345.738,252.458,1247.0,346.537,261.175,1243.0,345.663,266.986,1247.0,342.501,271.272,1243.0,336.533,272.737,1243.0,330.387,271.191,1238.0,326.663,266.902,1229.0,329.124,260.099,1225.0,331.521,253.458,1229.0,336.963,251.681,1238.0,341.674,253.744,1238.0,343.022,260.411,1238.0,341.343,265.259,1234.0,336.659,266.587,1234.0,331.489,265.064,1229.0,302.511,233.98,1280.0,301.38,241.855,1280.0,301.156,249.355,1270.0,302.208,257.246,1265.0,304.248,264.913,1265.0,307.282,272.262,1270.0,311.81,278.502,1280.0,318.168,283.879,1280.0,326.126,288.132,1270.0,335.845,290.164,1275.0,345.439,288.488,1280.0,352.995,284.176,1294.0,358.842,278.087,0.0,362.942,270.778,0.0,365.283,263.547,0.0,366.743,256.188,0.0,367.572,248.626,1309.0,367.099,241.916,0.0,365.882,235.229,1289.0,321.094,229.267,1256.0,351.845,230.521,1270.0,336.951,239.881,1234.0,330.355,216.835,1243.0,324.159,215.594,1275.0,317.255,216.185,1280.0,311.518,218.906,1284.0,307.796,222.4,1284.0,344.394,217.421,1280.0,349.764,216.883,1275.0,356.245,217.978,1284.0,361.86,221.103,1294.0,365.061,224.973,1299.0,0
7,327.658,229.535,1247.0,324.806,227.659,1252.0,320.976,227.228,1261.0,317.066,228.138,1265.0,313.91,230.46,1261.0,317.622,230.648,1261.0,321.378,230.445,1256.0,324.819,230.059,1256.0,345.379,230.164,1265.0,348.296,228.802,1270.0,352.02,228.701,1275.0,355.527,229.842,1280.0,358.21,232.248,1280.0,355.07,232.142,1275.0,351.56,231.592,1270.0,348.195,230.921,1265.0,329.596,219.674,1238.0,323.912,218.507,1270.0,318.175,218.968,1280.0,313.561,221.153,1280.0,310.29,224.28,1280.0,311.179,225.856,1275.0,314.874,223.64,1275.0,319.101,222.352,1275.0,324.141,222.241,1252.0,329.3,222.872,1238.0,344.879,220.324,0.0,349.757,219.839,1275.0,355.042,220.753,1284.0,359.396,223.214,1294.0,362.082,226.605,1294.0,360.9,228.075,1289.0,357.756,225.498,1284.0,353.985,223.993,1280.0,349.354,223.426,1275.0,344.781,223.406,1275.0,333.032,228.12,0.0,332.147,232.379,0.0,330.068,235.524,0.0,326.998,239.02,1238.0,328.03,243.06,1238.0,334.908,241.168,1238.0,339.437,241.334,0.0,345.412,243.588,0.0,346.433,239.69,0.0,343.746,235.817,0.0,341.966,232.604,1256.0,341.166,228.315,1265.0,325.305,260.758,1225.0,327.257,252.146,1234.0,332.312,247.189,1238.0,336.954,247.34,1238.0,341.453,247.445,1247.0,345.655,252.486,1247.0,346.447,261.204,1247.0,345.568,267.014,1252.0,342.403,271.298,1252.0,336.433,272.758,1247.0,330.287,271.207,1238.0,326.567,266.915,1229.0,329.034,260.113,1225.0,331.436,253.474,1234.0,336.881,251.701,1238.0,341.59,253.768,1238.0,342.933,260.437,1234.0,341.249,265.284,1234.0,336.563,266.608,1229.0,331.395,265.08,1229.0,302.441,233.969,1280.0,301.303,241.844,1280.0,301.073,249.345,1270.0,302.117,257.236,1265.0,304.151,264.906,1265.0,307.18,272.259,1275.0,311.702,278.502,1280.0,318.056,283.886,1280.0,326.011,288.146,1270.0,335.729,290.187,1275.0,345.325,288.519,1284.0,352.886,284.212,1294.0,358.739,278.128,0.0,362.845,270.821,0.0,365.193,263.592,0.0,366.659,256.234,0.0,367.495,248.672,0.0,367.028,241.961,0.0,365.816,235.272,1289.0,321.029,229.272,1256.0,351.782,230.552,1270.0,336.879,239.9,1234.0,330.301,216.846,1243.0,324.106,215.6,1275.0,317.201,216.185,1280.0,311.461,218.901,1284.0,307.736,222.392,1284.0,344.341,217.444,1275.0,349.712,216.911,1275.0,356.193,218.012,1284.0,361.805,221.141,1299.0,365.004,225.014,1304.0,0
8,327.658,229.535,1252.0,324.806,227.659,1256.0,320.976,227.228,1261.0,317.066,228.138,1265.0,313.91,230.46,1261.0,317.622,230.648,1261.0,321.378,230.445,1261.0,324.819,230.059,1256.0,345.379,230.164,1265.0,348.296,228.802,1270.0,352.02,228.701,1275.0,355.527,229.842,1280.0,358.21,232.248,1275.0,355.07,232.142,1275.0,351.56,231.592,1270.0,348.195,230.921,1270.0,329.596,219.674,1238.0,323.912,218.507,1275.0,318.175,218.968,1284.0,313.561,221.153,1280.0,310.29,224.28,1280.0,311.179,225.856,1280.0,314.874,223.64,1275.0,319.101,222.352,1275.0,324.141,222.241,1252.0,329.3,222.872,1238.0,344.879,220.324,1280.0,349.757,219.839,1275.0,355.042,220.753,1284.0,359.396,223.214,1289.0,362.082,226.605,1294.0,360.9,228.075,1289.0,357.756,225.498,1289.0,353.985,223.993,1280.0,349.354,223.426,1275.0,344.781,223.406,1275.0,333.032,228.12,0.0,332.147,232.379,0.0,330.068,235.524,1238.0,326.998,239.02,1238.0,328.03,243.06,1243.0,334.908,241.168,1238.0,339.437,241.334,0.0,345.412,243.588,0.0,346.433,239.69,0.0,343.746,235.817,0.0,341.966,232.604,1256.0,341.166,228.315,1261.0,325.305,260.758,1221.0,327.257,252.146,1229.0,332.312,247.189,1238.0,336.954,247.34,1238.0,341.453,247.445,1247.0,345.655,252.486,1243.0,346.447,261.204,1252.0,345.568,267.014,1261.0,342.403,271.298,1252.0,336.433,272.758,1238.0,330.287,271.207,1238.0,326.567,266.915,1229.0,329.034,260.113,1229.0,331.436,253.474,1234.0,336.881,251.701,1238.0,341.59,253.768,1238.0,342.933,260.437,1234.0,341.249,265.284,1238.0,336.563,266.608,1238.0,331.395,265.08,1238.0,302.441,233.969,1280.0,301.303,241.844,1275.0,301.073,249.345,1275.0,302.117,257.236,1265.0,304.151,264.906,1270.0,307.18,272.259,1270.0,311.702,278.502,1275.0,318.056,283.886,1280.0,326.011,288.146,1270.0,335.729,290.187,1275.0,345.325,288.519,1284.0,352.886,284.212,1294.0,358.739,278.128,0.0,362.845,270.821,0.0,365.193,263.592,0.0,366.659,256.234,0.0,367.495,248.672,0.0,367.028,241.961,0.0,365.816,235.272,1289.0,321.029,229.272,1256.0,351.782,230.552,1270.0,336.879,239.9,1234.0,330.301,216.846,1252.0,324.106,215.6,1275.0,317.201,216.185,1280.0,311.461,218.901,1284.0,307.736,222.392,1289.0,344.341,217.444,1280.0,349.712,216.911,1280.0,356.193,218.012,1284.0,361.805,221.141,1294.0,365.004,225.014,1299.0,0
9,327.658,229.535,1252.0,324.806,227.659,1256.0,320.976,227.228,1261.0,317.066,228.138,1265.0,313.91,230.46,1265.0,317.622,230.648,1261.0,321.378,230.445,1256.0,324.819,230.059,1256.0,345.379,230.164,1265.0,348.296,228.802,1270.0,352.02,228.701,1275.0,355.527,229.842,1280.0,358.21,232.248,1275.0,355.07,232.142,1275.0,351.56,231.592,1270.0,348.195,230.921,1265.0,329.596,219.674,1238.0,323.912,218.507,1275.0,318.175,218.968,1280.0,313.561,221.153,1280.0,310.29,224.28,1280.0,311.179,225.856,1280.0,314.874,223.64,1275.0,319.101,222.352,1275.0,324.141,222.241,1252.0,329.3,222.872,1238.0,344.879,220.324,1275.0,349.757,219.839,1275.0,355.042,220.753,1284.0,359.396,223.214,1294.0,362.082,226.605,1294.0,360.9,228.075,1289.0,357.756,225.498,1284.0,353.985,223.993,1275.0,349.354,223.426,1275.0,344.781,223.406,1275.0,333.032,228.12,0.0,332.147,232.379,0.0,330.068,235.524,1238.0,326.998,239.02,1238.0,328.03,243.06,1238.0,334.908,241.168,0.0,339.437,241.334,0.0,345.412,243.588,0.0,346.433,239.69,0.0,343.746,235.817,0.0,341.966,232.604,0.0,341.166,228.315,1265.0,325.305,260.758,1229.0,327.257,252.146,1234.0,332.312,247.189,1238.0,336.954,247.34,1238.0,341.453,247.445,1243.0,345.655,252.486,0.0,346.447,261.204,1247.0,345.568,267.014,1256.0,342.403,271.298,1252.0,336.433,272.758,1247.0,330.287,271.207,1238.0,326.567,266.915,1229.0,329.034,260.113,1234.0,331.436,253.474,1234.0,336.881,251.701,1238.0,341.59,253.768,1238.0,342.933,260.437,1243.0,341.249,265.284,1247.0,336.563,266.608,1234.0,331.395,265.08,1238.0,302.441,233.969,1275.0,301.303,241.844,1275.0,301.073,249.345,1275.0,302.117,257.236,1265.0,304.151,264.906,1270.0,307.18,272.259,1275.0,311.702,278.502,1275.0,318.056,283.886,1280.0,326.011,288.146,1275.0,335.729,290.187,1275.0,345.325,288.519,1284.0,352.886,284.212,1294.0,358.739,278.128,0.0,362.845,270.821,0.0,365.193,263.592,0.0,366.659,256.234,0.0,367.495,248.672,0.0,367.028,241.961,0.0,365.816,235.272,1294.0,321.029,229.272,1256.0,351.782,230.552,1270.0,336.879,239.9,0.0,330.301,216.846,1243.0,324.106,215.6,1280.0,317.201,216.185,1280.0,311.461,218.901,1284.0,307.736,222.392,1284.0,344.341,217.444,1275.0,349.712,216.911,1280.0,356.193,218.012,1289.0,361.805,221.141,1294.0,365.004,225.014,1299.0,0
10,327.658,229.534,1252.0,324.805,227.659,1256.0,320.974,227.23,1261.0,317.063,228.142,1265.0,313.907,230.466,1265.0,317.62,230.652,1261.0,321.378,230.447,1256.0,324.819,230.06,1256.0,345.384,230.156,1270.0,348.301,228.793,1270.0,352.026,228.69,1275.0,355.535,229.83,1280.0,358.22,232.235,1280.0,355.079,232.13,1275.0,351.568,231.581,1270.0,348.201,230.912,1270.0,329.592,219.67,1238.0,323.907,218.505,1270.0,318.169,218.969,1280.0,313.554,221.156,1280.0,310.284,224.286,1280.0,311.174,225.862,1280.0,314.869,223.644,1275.0,319.096,222.353,1275.0,324.137,222.24,1261.0,329.298,222.869,1238.0,344.88,220.314,1280.0,349.759,219.826,1275.0,355.045,220.739,1284.0,359.401,223.198,1289.0,362.09,226.589,1294.0,360.908,228.059,1289.0,357.762,225.483,1284.0,353.99,223.98,1280.0,349.358,223.414,1275.0,344.783,223.396,1275.0,333.033,228.117,0.0,332.15,232.377,0.0,330.071,235.523,1238.0,327.002,239.022,1238.0,328.037,243.062,1238.0,334.915,241.167,0.0,339.445,241.331,0.0,345.423,243.583,0.0,346.442,239.684,0.0,343.753,235.811,0.0,341.971,232.598,1261.0,341.169,228.308,1261.0,325.318,260.766,1225.0,327.267,252.151,1229.0,332.321,247.191,1238.0,336.964,247.34,1238.0,341.464,247.443,1243.0,345.67,252.483,0.0,346.466,261.203,1247.0,345.589,267.015,1252.0,342.425,271.301,1247.0,336.454,272.765,1243.0,330.306,271.216,1234.0,326.583,266.924,1229.0,329.047,260.119,1234.0,331.448,253.477,1234.0,336.893,251.702,1234.0,341.604,253.768,1238.0,342.95,260.438,1238.0,341.268,265.286,1234.0,336.582,266.613,1234.0,331.411,265.087,1234.0,302.437,233.98,1280.0,301.303,241.857,1280.0,301.075,249.36,1275.0,302.123,257.253,1265.0,304.161,264.925,1261.0,307.193,272.277,1270.0,311.72,278.521,1275.0,318.078,283.903,1280.0,326.036,288.16,1270.0,335.758,290.198,1275.0,345.356,288.525,1284.0,352.917,284.214,1294.0,358.768,278.126,1304.0,362.872,270.816,0.0,365.217,263.584,0.0,366.68,256.223,0.0,367.514,248.659,0.0,367.043,241.947,0.0,365.829,235.256,1289.0,321.028,229.274,1256.0,351.789,230.541,1275.0,336.886,239.898,0.0,330.297,216.841,1247.0,324.1,215.598,1275.0,317.194,216.186,1280.0,311.453,218.905,1284.0,307.729,222.398,1284.0,344.341,217.433,1280.0,349.713,216.898,1280.0,356.196,217.996,1289.0,361.811,221.124,1294.0,365.012,224.996,1309.0,0
