,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,327.901,227.004,1243.0,325.905,225.405,1247.0,323.129,224.701,1256.0,320.384,225.083,1261.0,318.171,226.43,1265.0,320.354,227.428,1256.0,322.929,227.88,1256.0,325.574,227.809,1247.0,343.734,228.321,1261.0,345.892,226.947,1270.0,348.705,226.672,1270.0,351.377,227.447,1275.0,353.41,229.139,1270.0,351.223,229.826,1270.0,348.571,229.872,1265.0,345.858,229.358,1265.0,329.884,219.373,1238.0,326.524,217.959,1265.0,322.989,217.405,1275.0,319.316,217.586,1275.0,316.197,218.68,1280.0,315.976,221.044,1275.0,319.279,220.429,1270.0,322.828,220.33,1270.0,326.182,220.77,1243.0,329.719,221.78,1238.0,342.778,220.31,1270.0,346.13,219.478,1275.0,349.868,219.495,1275.0,353.443,220.169,1280.0,356.439,221.595,1284.0,356.319,224.017,1280.0,353.029,222.932,1280.0,349.61,222.366,1275.0,346.017,222.314,1275.0,342.588,222.734,1265.0,332.508,227.641,0.0,331.334,231.579,1252.0,329.544,235.376,1243.0,327.161,238.99,1238.0,328.179,242.541,1234.0,332.983,242.977,1234.0,336.421,243.296,1238.0,341.276,243.608,1243.0,342.721,240.108,0.0,340.753,236.152,0.0,339.599,232.192,0.0,339.008,228.145,0.0,324.627,252.863,1229.0,327.666,250.487,1234.0,331.096,249.025,1234.0,334.27,249.623,1238.0,337.24,249.471,1238.0,340.691,251.424,1243.0,343.695,254.296,0.0,340.837,255.228,1238.0,337.789,255.619,1238.0,334.001,255.54,1234.0,330.256,254.961,1234.0,327.312,254.042,1229.0,326.982,252.674,1234.0,330.604,252.093,1234.0,334.226,252.192,1234.0,337.822,252.704,1238.0,341.43,253.837,1243.0,337.769,252.706,1238.0,334.183,252.192,1234.0,330.643,252.078,1234.0,308.31,226.246,1280.0,307.299,232.691,1270.0,306.829,239.232,1261.0,307.358,246.124,1261.0,308.765,252.736,1256.0,311.734,258.901,1243.0,315.735,263.596,1238.0,320.699,267.275,1229.0,326.607,269.767,1225.0,333.144,271.029,1238.0,340.245,270.875,1243.0,346.839,269.466,1247.0,352.68,266.462,1256.0,357.485,262.35,0.0,361.099,256.619,0.0,363.274,250.088,0.0,364.509,243.334,1284.0,365.008,236.57,1289.0,364.879,230.217,1294.0,323.044,226.467,1256.0,348.596,228.448,1270.0,334.88,240.381,1238.0,330.984,217.098,1238.0,327.284,215.555,1261.0,323.068,214.88,1275.0,318.64,215.114,1284.0,315.115,216.343,1280.0,341.967,217.875,1270.0,345.66,216.975,1280.0,350.083,216.983,1275.0,354.416,217.793,1284.0,357.809,219.377,1289.0,0
2,327.859,227.0,1243.0,325.851,225.399,1247.0,323.065,224.693,1256.0,320.307,225.073,1261.0,318.079,226.415,1265.0,320.276,227.416,1256.0,322.864,227.87,1256.0,325.52,227.802,1247.0,343.722,228.32,1261.0,345.89,226.95,1270.0,348.709,226.678,1270.0,351.382,227.452,1275.0,353.415,229.141,1270.0,351.23,229.826,1270.0,348.577,229.873,1265.0,345.858,229.359,1261.0,329.859,219.398,1238.0,326.474,217.976,1265.0,322.916,217.415,1275.0,319.217,217.593,1275.0,316.076,218.684,1280.0,315.856,221.051,1275.0,319.183,220.439,1270.0,322.754,220.343,1270.0,326.13,220.788,1238.0,329.69,221.806,1238.0,342.766,220.345,1275.0,346.12,219.514,1275.0,349.855,219.531,1275.0,353.432,220.2,1275.0,356.438,221.624,1280.0,356.317,224.043,1280.0,353.023,222.963,1275.0,349.605,222.4,1275.0,346.014,222.348,1275.0,342.583,222.769,1270.0,332.483,227.63,1247.0,331.318,231.58,1252.0,329.531,235.375,1243.0,327.131,238.972,1238.0,328.151,242.527,1238.0,333.017,242.981,1234.0,336.482,243.304,1238.0,341.346,243.595,1243.0,342.778,240.091,0.0,340.785,236.144,0.0,339.614,232.189,0.0,339.012,228.135,1256.0,324.616,252.871,1234.0,327.655,250.493,1234.0,331.087,249.029,1234.0,334.262,249.627,1238.0,337.233,249.475,1238.0,340.685,251.427,1243.0,343.692,254.299,1238.0,340.832,255.233,1234.0,337.784,255.625,1234.0,333.994,255.546,1234.0,330.248,254.969,1234.0,327.302,254.05,1234.0,326.972,252.681,1234.0,330.595,252.099,1234.0,334.218,252.197,1234.0,337.815,252.708,1238.0,341.426,253.841,1238.0,337.762,252.71,1238.0,334.176,252.197,1234.0,330.634,252.084,1234.0,308.115,226.211,1275.0,307.115,232.677,1270.0,306.656,239.231,1261.0,307.201,246.139,1261.0,308.634,252.759,1256.0,311.641,258.925,1247.0,315.679,263.612,1243.0,320.68,267.284,1234.0,326.619,269.767,1225.0,333.183,271.022,1234.0,340.29,270.856,1243.0,346.868,269.432,1252.0,352.688,266.419,1256.0,357.48,262.306,0.0,361.085,256.575,0.0,363.25,250.049,0.0,364.477,243.297,1284.0,364.963,236.544,1284.0,364.825,230.197,1294.0,322.978,226.459,1256.0,348.598,228.45,1270.0,334.903,240.374,1234.0,330.958,217.124,1238.0,327.233,215.573,1265.0,322.996,214.89,1275.0,318.545,215.119,1280.0,314.998,216.344,1280.0,341.949,217.91,1275.0,345.643,217.011,1275.0,350.063,217.018,1275.0,354.404,217.824,1280.0,357.81,219.407,1284.0,0
3,327.858,227.051,1243.0,325.851,225.451,1243.0,323.067,224.744,1256.0,320.31,225.123,1256.0,318.083,226.465,1265.0,320.279,227.465,1256.0,322.866,227.92,1256.0,325.52,227.852,1247.0,343.713,228.373,1261.0,345.881,227.004,1265.0,348.698,226.731,1270.0,351.37,227.505,1275.0,353.402,229.194,1270.0,351.218,229.879,1270.0,348.567,229.926,1265.0,345.849,229.411,1261.0,329.858,219.453,1238.0,326.475,218.03,1238.0,322.918,217.47,1275.0,319.222,217.647,1275.0,316.081,218.737,1280.0,315.861,221.103,1275.0,319.187,220.492,1275.0,322.756,220.396,1270.0,326.131,220.841,1238.0,329.688,221.859,1238.0,342.759,220.401,1270.0,346.112,219.571,1270.0,349.845,219.589,1270.0,353.42,220.257,1280.0,356.424,221.681,1280.0,356.303,224.099,1280.0,353.011,223.019,1275.0,349.594,222.456,1275.0,346.005,222.404,1270.0,342.576,222.824,1265.0,332.48,227.681,0.0,331.315,231.629,0.0,329.528,235.422,1243.0,327.128,239.018,1243.0,328.148,242.57,1243.0,333.011,243.025,1234.0,336.475,243.348,1238.0,341.336,243.64,1243.0,342.768,240.138,0.0,340.777,236.193,0.0,339.606,232.239,0.0,339.006,228.187,0.0,324.534,252.836,1229.0,327.628,250.485,1234.0,331.105,249.046,1238.0,334.307,249.649,1238.0,337.299,249.498,1238.0,340.775,251.43,1243.0,343.805,254.284,0.0,340.92,255.259,1238.0,337.854,255.673,1238.0,334.034,255.599,1238.0,330.245,255.01,1234.0,327.262,254.066,1229.0,326.871,252.659,1234.0,330.576,252.093,1229.0,334.26,252.204,1238.0,337.908,252.712,1238.0,341.566,253.84,1243.0,337.857,252.763,1238.0,334.214,252.262,1238.0,330.605,252.126,1229.0,308.123,226.259,1275.0,307.123,232.722,1270.0,306.663,239.273,1261.0,307.206,246.178,1261.0,308.638,252.796,1256.0,311.642,258.959,1243.0,315.679,263.644,1238.0,320.676,267.316,1225.0,326.613,269.798,1225.0,333.174,271.053,1234.0,340.277,270.888,1243.0,346.852,269.466,1252.0,352.67,266.456,1261.0,357.461,262.345,0.0,361.064,256.617,0.0,363.229,250.094,0.0,364.457,243.346,1284.0,364.944,236.595,1284.0,364.807,230.251,1294.0,322.979,226.509,1256.0,348.587,228.503,1265.0,334.896,240.419,1238.0,330.957,217.179,1238.0,327.234,215.628,1265.0,322.999,214.946,1280.0,318.55,215.174,1280.0,315.004,216.397,1280.0,341.943,217.966,1265.0,345.635,217.069,1275.0,350.054,217.077,1275.0,354.392,217.882,1284.0,357.796,219.465,1289.0,0
4,327.856,227.06,1247.0,325.85,225.46,1247.0,323.067,224.754,1256.0,320.311,225.132,1261.0,318.084,226.473,1265.0,320.279,227.473,1261.0,322.865,227.928,1256.0,325.518,227.861,1247.0,343.706,228.384,1261.0,345.874,227.015,1265.0,348.69,226.743,1270.0,351.361,227.518,1275.0,353.392,229.206,1270.0,351.208,229.891,1270.0,348.558,229.937,1265.0,345.841,229.422,1261.0,329.856,219.465,1238.0,326.475,218.042,1252.0,322.919,217.481,1275.0,319.224,217.658,1275.0,316.084,218.747,1280.0,315.864,221.113,1275.0,319.189,220.502,1270.0,322.757,220.407,1270.0,326.13,220.852,1238.0,329.687,221.87,1238.0,342.754,220.414,1270.0,346.105,219.585,1270.0,349.837,219.603,1275.0,353.411,220.272,1280.0,356.414,221.696,1284.0,356.293,224.113,1280.0,353.002,223.033,1275.0,349.586,222.469,1275.0,345.998,222.417,1270.0,342.57,222.836,1265.0,332.477,227.691,0.0,331.311,231.638,0.0,329.524,235.429,1243.0,327.125,239.023,1238.0,328.144,242.575,1234.0,333.006,243.031,1234.0,336.468,243.354,1238.0,341.328,243.646,1243.0,342.76,240.146,0.0,340.77,236.201,0.0,339.6,232.248,0.0,339.001,228.197,1256.0,324.53,252.837,1225.0,327.623,250.487,1229.0,331.099,249.049,1229.0,334.3,249.652,1238.0,337.291,249.502,1238.0,340.766,251.433,1238.0,343.795,254.287,1238.0,340.911,255.262,1234.0,337.845,255.675,1238.0,334.027,255.601,1234.0,330.238,255.011,1234.0,327.257,254.067,1229.0,326.866,252.661,1229.0,330.57,252.095,1234.0,334.253,252.207,1238.0,337.899,252.715,1238.0,341.556,253.843,1238.0,337.849,252.766,1238.0,334.207,252.264,1238.0,330.599,252.128,1234.0,308.127,226.266,1275.0,307.126,232.727,1270.0,306.666,239.276,1261.0,307.208,246.178,1256.0,308.638,252.795,1256.0,311.641,258.956,1243.0,315.676,263.641,1238.0,320.671,267.312,1229.0,326.606,269.794,1225.0,333.164,271.05,1238.0,340.265,270.886,1238.0,346.839,269.465,1256.0,352.656,266.456,1261.0,357.445,262.348,1256.0,361.049,256.622,0.0,363.214,250.101,1289.0,364.441,243.355,1289.0,364.929,236.607,1284.0,364.793,230.264,1294.0,322.979,226.518,1261.0,348.579,228.514,1270.0,334.891,240.425,1238.0,330.956,217.192,1238.0,327.234,215.641,1265.0,323.0,214.958,1289.0,318.552,215.185,1280.0,315.008,216.408,1280.0,341.938,217.98,1270.0,345.629,217.084,1275.0,350.046,217.092,1275.0,354.383,217.898,1289.0,357.786,219.481,1289.0,0
5,327.859,227.057,1243.0,325.852,225.457,1247.0,323.068,224.751,1256.0,320.31,225.131,1261.0,318.083,226.473,1265.0,320.28,227.473,1256.0,322.867,227.927,1256.0,325.521,227.859,1247.0,343.718,228.375,1261.0,345.886,227.006,1265.0,348.703,226.733,1270.0,351.376,227.507,1270.0,353.408,229.195,1270.0,351.224,229.881,1265.0,348.572,229.928,1265.0,345.854,229.414,1261.0,329.858,219.457,1238.0,326.475,218.035,1265.0,322.917,217.475,1275.0,319.22,217.653,1275.0,316.079,218.744,1280.0,315.86,221.111,1275.0,319.186,220.499,1270.0,322.756,220.402,1270.0,326.131,220.846,1243.0,329.689,221.864,1238.0,342.762,220.402,1270.0,346.115,219.572,1270.0,349.848,219.589,1275.0,353.425,220.257,1275.0,356.429,221.681,1280.0,356.309,224.098,1280.0,353.016,223.019,1275.0,349.599,222.457,1275.0,346.008,222.405,1275.0,342.579,222.826,1270.0,332.483,227.687,0.0,331.318,231.635,0.0,329.532,235.429,1238.0,327.133,239.026,1238.0,328.153,242.579,1234.0,333.017,243.033,1234.0,336.481,243.355,1238.0,341.344,243.645,1243.0,342.775,240.143,0.0,340.782,236.198,0.0,339.611,232.243,0.0,339.01,228.19,0.0,324.541,252.847,1225.0,327.635,250.495,1234.0,331.112,249.055,1238.0,334.314,249.657,1234.0,337.307,249.506,1238.0,340.784,251.437,1238.0,343.815,254.291,1238.0,340.93,255.267,1234.0,337.863,255.681,1234.0,334.043,255.608,1234.0,330.253,255.019,1234.0,327.269,254.077,1229.0,326.878,252.669,1229.0,330.584,252.102,1234.0,334.269,252.213,1238.0,337.917,252.719,1238.0,341.575,253.847,1238.0,337.866,252.771,1238.0,334.222,252.27,1238.0,330.612,252.135,1234.0,308.122,226.269,1275.0,307.123,232.734,1270.0,306.664,239.286,1261.0,307.209,246.191,1256.0,308.642,252.81,1256.0,311.649,258.973,1243.0,315.687,263.658,1238.0,320.686,267.329,1229.0,326.624,269.811,1229.0,333.186,271.065,1238.0,340.29,270.898,1247.0,346.866,269.474,1252.0,352.684,266.462,1256.0,357.475,262.35,0.0,361.078,256.621,0.0,363.241,250.096,0.0,364.467,243.346,1284.0,364.953,236.595,1284.0,364.815,230.25,1294.0,322.98,226.516,1261.0,348.593,228.505,1265.0,334.902,240.426,1238.0,330.958,217.183,1238.0,327.234,215.633,1270.0,322.998,214.951,1280.0,318.548,215.18,1280.0,315.002,216.405,1280.0,341.945,217.968,1270.0,345.638,217.07,1270.0,350.057,217.077,1275.0,354.396,217.881,1284.0,357.801,219.464,1289.0,0
6,327.851,227.059,1247.0,325.842,225.46,1247.0,323.056,224.756,1256.0,320.298,225.137,1261.0,318.07,226.481,1265.0,320.269,227.48,1261.0,322.857,227.933,1261.0,325.512,227.863,1252.0,343.716,228.367,1261.0,345.884,226.995,1265.0,348.702,226.72,1270.0,351.377,227.493,1275.0,353.411,229.18,1270.0,351.226,229.868,1270.0,348.573,229.916,1265.0,345.854,229.404,1261.0,329.846,219.455,1238.0,326.46,218.035,1256.0,322.9,217.477,1275.0,319.202,217.658,1275.0,316.061,218.751,1280.0,315.843,221.119,1275.0,319.17,220.504,1270.0,322.741,220.405,1270.0,326.118,220.847,1243.0,329.678,221.863,1238.0,342.755,220.392,1270.0,346.108,219.559,1275.0,349.843,219.573,1275.0,353.421,220.239,1280.0,356.428,221.661,1284.0,356.309,224.08,1280.0,353.014,223.002,1280.0,349.595,222.442,1275.0,346.004,222.393,1275.0,342.573,222.817,1270.0,332.477,227.686,0.0,331.314,231.637,0.0,329.53,235.433,1243.0,327.132,239.033,1234.0,328.156,242.586,1234.0,333.022,243.037,1234.0,336.487,243.357,1238.0,341.352,243.644,1243.0,342.781,240.14,0.0,340.785,236.194,0.0,339.611,232.239,0.0,339.006,228.185,1256.0,324.549,252.861,1225.0,327.642,250.506,1225.0,331.12,249.063,1221.0,334.324,249.663,1234.0,337.318,249.51,1238.0,340.797,251.439,1243.0,343.832,254.292,1234.0,340.946,255.27,1234.0,337.878,255.687,1234.0,334.057,255.617,1234.0,330.265,255.03,1234.0,327.279,254.089,1229.0,326.887,252.682,1225.0,330.593,252.112,1225.0,334.28,252.22,1234.0,337.93,252.724,1238.0,341.59,253.85,1238.0,337.879,252.776,1238.0,334.234,252.277,1234.0,330.622,252.145,1225.0,308.106,226.284,1280.0,307.11,232.752,1270.0,306.656,239.307,1261.0,307.206,246.214,1256.0,308.644,252.835,1256.0,311.656,258.998,1238.0,315.699,263.682,1234.0,320.702,267.351,1221.0,326.644,269.83,1229.0,333.209,271.08,1238.0,340.316,270.908,0.0,346.894,269.479,1256.0,352.712,266.462,1256.0,357.502,262.345,0.0,361.102,256.611,0.0,363.262,250.082,0.0,364.484,243.329,1289.0,364.965,236.575,1284.0,364.823,230.228,1294.0,322.969,226.521,1261.0,348.593,228.493,1265.0,334.906,240.428,1238.0,330.944,217.179,1238.0,327.217,215.631,1270.0,322.979,214.952,1284.0,318.528,215.184,1280.0,314.981,216.411,1280.0,341.936,217.957,1275.0,345.629,217.056,1275.0,350.05,217.06,1275.0,354.391,217.862,1284.0,357.798,219.442,1289.0,0
7,327.847,227.058,1243.0,325.839,225.458,1243.0,323.052,224.754,1256.0,320.294,225.135,1261.0,318.067,226.479,1265.0,320.265,227.478,1261.0,322.853,227.931,1256.0,325.509,227.862,1247.0,343.712,228.368,1261.0,345.88,226.997,1270.0,348.699,226.722,1270.0,351.373,227.494,1275.0,353.407,229.182,1270.0,351.222,229.869,1270.0,348.57,229.918,1265.0,345.85,229.405,1261.0,329.843,219.454,1238.0,326.457,218.034,1238.0,322.898,217.476,1275.0,319.2,217.656,1275.0,316.058,218.749,1280.0,315.84,221.116,1275.0,319.167,220.502,1270.0,322.738,220.404,1270.0,326.115,220.846,1238.0,329.675,221.862,1238.0,342.752,220.392,1270.0,346.105,219.56,1270.0,349.84,219.575,1270.0,353.418,220.241,1280.0,356.425,221.663,1284.0,356.306,224.082,1280.0,353.011,223.004,1280.0,349.592,222.443,1275.0,346.001,222.394,1275.0,342.57,222.817,1270.0,332.473,227.685,1243.0,331.31,231.636,1252.0,329.525,235.432,1243.0,327.127,239.031,1243.0,328.15,242.585,1243.0,333.016,243.037,1234.0,336.482,243.357,1238.0,341.346,243.645,1247.0,342.776,240.14,0.0,340.78,236.195,0.0,339.607,232.239,0.0,339.003,228.186,1256.0,324.542,252.86,1229.0,327.636,250.505,1229.0,331.114,249.062,1225.0,334.318,249.663,1234.0,337.312,249.51,1238.0,340.791,251.44,1243.0,343.825,254.293,1234.0,340.939,255.271,1238.0,337.871,255.687,1234.0,334.05,255.617,1234.0,330.258,255.029,1229.0,327.273,254.088,1229.0,326.88,252.681,1229.0,330.587,252.111,1225.0,334.273,252.219,1234.0,337.923,252.724,1238.0,341.584,253.85,1238.0,337.872,252.776,1238.0,334.227,252.277,1234.0,330.616,252.144,1225.0,308.102,226.281,1280.0,307.106,232.749,1270.0,306.651,239.304,1261.0,307.2,246.211,1261.0,308.637,252.831,1261.0,311.649,258.995,1243.0,315.691,263.68,1243.0,320.694,267.35,1234.0,326.635,269.829,1225.0,333.201,271.08,1238.0,340.308,270.909,1238.0,346.885,269.481,1252.0,352.704,266.464,1256.0,357.494,262.348,0.0,361.095,256.614,0.0,363.256,250.085,1289.0,364.478,243.333,1289.0,364.961,236.578,1284.0,364.819,230.231,1294.0,322.966,226.519,1261.0,348.589,228.494,1270.0,334.9,240.428,1238.0,330.941,217.179,1238.0,327.215,215.63,1270.0,322.977,214.95,1284.0,318.525,215.182,1280.0,314.979,216.409,1280.0,341.933,217.958,1275.0,345.627,217.057,1275.0,350.047,217.061,1275.0,354.389,217.864,1284.0,357.796,219.445,1289.0,0
8,327.839,227.06,1243.0,325.828,225.458,1247.0,323.039,224.751,1256.0,320.278,225.132,1256.0,318.047,226.477,1265.0,320.247,227.478,1256.0,322.839,227.932,1256.0,325.497,227.864,1247.0,343.722,228.378,1261.0,345.893,227.006,1265.0,348.714,226.732,1270.0,351.391,227.507,1275.0,353.427,229.197,1275.0,351.239,229.884,1270.0,348.584,229.932,1265.0,345.861,229.418,1261.0,329.84,219.449,1238.0,326.451,218.025,1261.0,322.888,217.465,1275.0,319.185,217.643,1275.0,316.039,218.737,1280.0,315.82,221.107,1275.0,319.151,220.493,1275.0,322.726,220.396,1270.0,326.107,220.84,1243.0,329.671,221.859,1238.0,342.763,220.393,1270.0,346.121,219.561,1275.0,349.86,219.577,1275.0,353.442,220.246,1280.0,356.452,221.671,1284.0,356.331,224.093,1280.0,353.033,223.012,1280.0,349.61,222.449,1275.0,346.015,222.398,1275.0,342.581,222.821,1270.0,332.469,227.69,0.0,331.303,231.645,1247.0,329.515,235.444,1243.0,327.113,239.047,1243.0,328.135,242.606,1238.0,333.007,243.06,1238.0,336.476,243.382,1238.0,341.346,243.672,1247.0,342.779,240.164,0.0,340.783,236.213,0.0,339.609,232.252,0.0,339.006,228.194,1256.0,324.519,252.89,1229.0,327.617,250.534,1234.0,331.1,249.091,1234.0,334.307,249.694,1234.0,337.305,249.542,1243.0,340.787,251.475,1243.0,343.823,254.333,1238.0,340.934,255.311,1234.0,337.862,255.727,1234.0,334.036,255.654,1234.0,330.24,255.065,1234.0,327.252,254.121,1229.0,326.86,252.712,1234.0,330.571,252.143,1234.0,334.262,252.253,1234.0,337.915,252.76,1238.0,341.58,253.889,1238.0,337.865,252.812,1238.0,334.215,252.311,1234.0,330.6,252.176,1234.0,308.071,226.274,1280.0,307.071,232.749,1270.0,306.613,239.311,1261.0,307.16,246.227,1261.0,308.596,252.855,1261.0,311.608,259.028,1243.0,315.653,263.719,1238.0,320.66,267.395,1229.0,326.608,269.88,1229.0,333.18,271.135,1238.0,340.295,270.967,1243.0,346.881,269.54,1252.0,352.708,266.522,1261.0,357.505,262.403,0.0,361.112,256.664,0.0,363.278,250.129,1289.0,364.505,243.369,1289.0,364.991,236.607,1284.0,364.851,230.252,1294.0,322.952,226.519,1256.0,348.604,228.507,1270.0,334.894,240.448,1238.0,330.94,217.171,1243.0,327.21,215.619,1270.0,322.968,214.936,1280.0,318.511,215.166,1284.0,314.96,216.393,1280.0,341.945,217.955,1280.0,345.643,217.055,1275.0,350.069,217.061,1275.0,354.415,217.867,1284.0,357.825,219.451,1289.0,0
9,327.838,227.061,1243.0,325.827,225.458,1243.0,323.038,224.752,1256.0,320.276,225.132,1261.0,318.045,226.477,1265.0,320.246,227.478,1256.0,322.837,227.933,1256.0,325.496,227.864,1247.0,343.723,228.38,1261.0,345.894,227.007,1265.0,348.716,226.734,1270.0,351.394,227.508,1275.0,353.43,229.199,1270.0,351.241,229.886,1270.0,348.586,229.934,1265.0,345.863,229.419,1261.0,329.84,219.448,1238.0,326.45,218.024,1247.0,322.886,217.464,1275.0,319.183,217.643,1275.0,316.037,218.736,1280.0,315.818,221.106,1275.0,319.15,220.493,1275.0,322.725,220.396,1270.0,326.106,220.84,1243.0,329.671,221.859,1238.0,342.765,220.393,1270.0,346.123,219.561,1275.0,349.863,219.578,1275.0,353.445,220.246,1280.0,356.455,221.672,1284.0,356.334,224.094,1280.0,353.036,223.013,1280.0,349.613,222.45,1275.0,346.017,222.399,1275.0,342.582,222.821,1270.0,332.469,227.691,1247.0,331.303,231.646,1247.0,329.514,235.446,1238.0,327.112,239.049,1243.0,328.134,242.608,1238.0,333.006,243.063,1238.0,336.476,243.385,1238.0,341.347,243.675,1247.0,342.78,240.167,1252.0,340.784,236.215,0.0,339.61,232.254,0.0,339.007,228.195,0.0,324.517,252.894,1234.0,327.616,250.537,1238.0,331.099,249.095,1234.0,334.307,249.698,1234.0,337.304,249.546,1243.0,340.787,251.479,1243.0,343.824,254.338,1238.0,340.934,255.316,1238.0,337.862,255.731,1234.0,334.036,255.659,1234.0,330.239,255.069,1234.0,327.251,254.126,1234.0,326.858,252.716,1234.0,330.57,252.147,1229.0,334.261,252.257,1229.0,337.915,252.765,1238.0,341.58,253.894,1238.0,337.865,252.816,1238.0,334.215,252.315,1229.0,330.599,252.18,1229.0,308.068,226.274,1275.0,307.068,232.75,1270.0,306.609,239.313,1265.0,307.156,246.229,1261.0,308.592,252.859,1261.0,311.604,259.032,1247.0,315.65,263.725,1243.0,320.657,267.401,1234.0,326.606,269.886,1225.0,333.179,271.141,1234.0,340.295,270.974,1238.0,346.881,269.546,1252.0,352.709,266.529,1261.0,357.507,262.409,1261.0,361.115,256.67,0.0,363.282,250.133,1289.0,364.509,243.373,1289.0,364.995,236.61,1289.0,364.855,230.254,1294.0,322.951,226.519,1256.0,348.606,228.508,1265.0,334.894,240.451,0.0,330.94,217.17,1243.0,327.21,215.618,1275.0,322.967,214.935,1289.0,318.509,215.165,1284.0,314.958,216.392,1280.0,341.946,217.955,1275.0,345.645,217.055,1275.0,350.071,217.061,1275.0,354.418,217.867,1280.0,357.828,219.451,1289.0,0
10,327.826,227.079,1243.0,325.817,225.479,1247.0,323.03,224.774,1256.0,320.271,225.155,1261.0,318.043,226.499,1265.0,320.241,227.499,1261.0,322.83,227.952,1261.0,325.486,227.883,1247.0,343.694,228.391,1261.0,345.863,227.02,1265.0,348.682,226.746,1270.0,351.356,227.519,1275.0,353.391,229.207,1270.0,351.205,229.894,1270.0,348.552,229.942,1265.0,345.832,229.429,1261.0,329.822,219.474,1238.0,326.436,218.053,1243.0,322.876,217.494,1275.0,319.177,217.674,1275.0,316.035,218.767,1280.0,315.816,221.135,1275.0,319.144,220.521,1270.0,322.716,220.423,1270.0,326.093,220.866,1238.0,329.654,221.882,1238.0,342.734,220.414,1275.0,346.088,219.582,1275.0,349.824,219.597,1275.0,353.403,220.264,1280.0,356.41,221.687,1284.0,356.291,224.106,1280.0,352.995,223.028,1280.0,349.576,222.466,1275.0,345.983,222.417,1275.0,342.552,222.839,1270.0,332.452,227.707,0.0,331.288,231.659,1243.0,329.503,235.455,1243.0,327.104,239.055,1243.0,328.127,242.61,1243.0,332.994,243.062,1238.0,336.46,243.383,1243.0,341.325,243.671,1252.0,342.756,240.166,0.0,340.76,236.219,0.0,339.587,232.263,0.0,338.983,228.208,0.0,324.517,252.886,1229.0,327.611,250.531,1234.0,331.09,249.089,1234.0,334.294,249.69,1234.0,337.289,249.537,1238.0,340.769,251.468,1243.0,343.803,254.322,1243.0,340.917,255.3,1234.0,337.848,255.716,1234.0,334.026,255.645,1234.0,330.233,255.057,1234.0,327.247,254.115,1234.0,326.855,252.707,1234.0,330.563,252.138,1234.0,334.25,252.247,1229.0,337.9,252.752,1238.0,341.562,253.879,1243.0,337.85,252.804,1238.0,334.204,252.305,1229.0,330.591,252.171,1234.0,308.076,226.3,1280.0,307.079,232.769,1270.0,306.623,239.325,1261.0,307.172,246.234,1261.0,308.608,252.856,1261.0,311.619,259.022,1247.0,315.662,263.708,1243.0,320.665,267.379,1234.0,326.608,269.859,1229.0,333.175,271.111,1243.0,340.283,270.941,1252.0,346.862,269.513,1252.0,352.683,266.497,1261.0,357.474,262.38,0.0,361.077,256.646,0.0,363.239,250.116,1289.0,364.463,243.362,1289.0,364.946,236.606,1284.0,364.805,230.257,1294.0,322.943,226.54,1256.0,348.572,228.519,1270.0,334.879,240.453,1238.0,330.921,217.198,1238.0,327.194,215.649,1270.0,322.956,214.968,1289.0,318.503,215.199,1284.0,314.956,216.426,1280.0,341.915,217.979,1275.0,345.61,217.078,1280.0,350.032,217.083,1275.0,354.374,217.886,1284.0,357.781,219.468,1289.0,0
