,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,target
1,325.06,226.132,1247.0,322.179,225.318,1256.0,318.874,225.227,1261.0,315.592,225.518,1261.0,312.697,226.25,1261.0,315.445,227.01,1256.0,318.731,227.168,1256.0,321.966,226.887,1252.0,341.201,225.211,1265.0,343.472,224.031,1265.0,346.452,223.646,1270.0,349.357,223.704,1270.0,351.654,224.374,1270.0,349.376,225.341,1270.0,346.635,225.719,1270.0,343.778,225.63,1265.0,326.483,217.175,1238.0,321.076,215.865,1261.0,315.242,215.39,1275.0,311.048,216.891,1280.0,307.731,219.12,1280.0,309.051,220.937,1275.0,312.245,219.821,1280.0,316.065,219.164,1275.0,320.902,219.344,1256.0,325.691,219.993,1243.0,340.679,216.734,1275.0,344.674,215.072,1280.0,348.846,213.96,1275.0,352.395,214.347,1284.0,354.878,215.842,1289.0,354.522,217.95,1289.0,351.873,217.457,1280.0,348.808,217.569,1275.0,345.228,218.252,1270.0,341.588,219.32,1270.0,330.675,225.555,1238.0,330.448,231.038,1234.0,328.942,235.872,1238.0,325.759,239.823,1238.0,326.771,244.188,1238.0,333.811,244.31,1229.0,338.031,244.214,1238.0,342.357,243.537,1243.0,343.037,239.204,1252.0,340.106,234.916,0.0,338.249,230.243,0.0,337.244,225.34,0.0,323.611,254.033,1229.0,327.615,251.879,1229.0,331.967,250.213,1225.0,335.194,250.654,1225.0,338.226,249.92,1234.0,341.466,251.082,1238.0,344.482,252.457,1238.0,342.039,255.706,1234.0,339.287,257.594,1229.0,335.182,258.632,1229.0,330.343,257.956,1225.0,326.61,256.269,1225.0,326.929,254.14,1225.0,330.198,253.759,1225.0,334.574,253.557,1225.0,338.529,253.245,1234.0,341.977,252.949,1238.0,339.028,253.4,1234.0,334.938,254.065,1225.0,330.518,253.937,1225.0,297.36,223.436,1289.0,297.541,230.045,1284.0,298.133,237.108,1275.0,299.527,244.687,1275.0,301.743,252.042,1270.0,305.331,258.565,1261.0,310.31,263.795,1252.0,316.486,268.245,1256.0,323.559,271.428,1238.0,331.782,272.783,1238.0,339.225,271.217,1243.0,344.862,267.428,0.0,349.164,262.216,1261.0,352.6,256.846,0.0,355.421,250.892,0.0,357.287,244.226,1275.0,358.63,237.381,1275.0,358.875,230.647,1280.0,357.871,223.684,1284.0,318.818,226.189,1261.0,346.491,224.707,1270.0,334.852,240.758,1238.0,327.221,214.18,1238.0,321.574,212.823,1261.0,314.857,212.339,1280.0,309.683,214.155,1284.0,306.028,216.586,1280.0,339.472,213.924,1275.0,343.635,212.197,1275.0,348.533,210.931,1280.0,353.307,211.44,1294.0,356.418,213.199,1294.0,0
2,325.107,226.232,1243.0,322.22,225.445,1256.0,318.913,225.376,1256.0,315.638,225.661,1261.0,312.745,226.369,1261.0,315.481,227.152,1256.0,318.771,227.313,1256.0,322.014,227.015,1256.0,341.276,225.204,1261.0,343.53,224.009,1261.0,346.509,223.599,1270.0,349.432,223.616,1270.0,351.751,224.238,1275.0,349.481,225.257,1270.0,346.732,225.674,1265.0,343.86,225.607,1261.0,326.48,217.252,1243.0,321.083,215.954,1261.0,315.252,215.464,1275.0,311.065,216.95,1280.0,307.75,219.168,1280.0,309.075,220.98,1275.0,312.267,219.891,1280.0,316.081,219.248,1275.0,320.909,219.427,1261.0,325.687,220.064,1243.0,340.739,216.729,1270.0,344.75,215.008,1275.0,348.96,213.812,1275.0,352.539,214.158,1289.0,355.041,215.629,1294.0,354.687,217.742,1289.0,352.033,217.294,1280.0,348.953,217.45,1275.0,345.35,218.184,1270.0,341.686,219.298,1265.0,330.704,225.647,1234.0,330.489,231.186,1238.0,329.0,236.092,1238.0,325.805,240.099,1238.0,326.821,244.485,1234.0,333.837,244.605,1229.0,338.087,244.486,1238.0,342.396,243.741,1247.0,343.053,239.405,1247.0,340.113,235.105,1243.0,338.272,230.366,0.0,337.286,225.412,0.0,323.6,254.03,1229.0,327.607,251.874,1225.0,331.962,250.206,1221.0,335.191,250.648,1229.0,338.226,249.914,1238.0,341.468,251.076,1238.0,344.486,252.452,1243.0,342.042,255.704,1238.0,339.288,257.593,1234.0,335.18,258.631,1229.0,330.337,257.956,1221.0,326.601,256.268,1221.0,326.921,254.137,1221.0,330.191,253.755,1221.0,334.572,253.553,1229.0,338.529,253.24,1238.0,341.98,252.944,1238.0,339.028,253.396,1238.0,334.935,254.061,1229.0,330.512,253.934,1221.0,297.344,223.474,1289.0,297.572,230.105,1284.0,298.212,237.19,1280.0,299.662,244.765,1275.0,301.927,252.083,1265.0,305.541,258.564,1265.0,310.499,263.753,1256.0,316.629,268.181,1252.0,323.631,271.335,1243.0,331.764,272.657,1243.0,339.135,271.074,1243.0,344.74,267.299,0.0,349.031,262.112,1261.0,352.478,256.764,0.0,355.332,250.818,0.0,357.244,244.149,1275.0,358.657,237.289,1275.0,358.978,230.505,1280.0,358.012,223.48,1284.0,318.861,226.32,1256.0,346.571,224.65,1265.0,334.889,241.002,1238.0,327.215,214.253,1238.0,321.585,212.908,1265.0,314.875,212.409,1280.0,309.704,214.209,1280.0,306.05,216.629,1280.0,339.491,213.928,1275.0,343.656,212.141,1275.0,348.59,210.774,1275.0,353.418,211.228,1294.0,356.558,212.961,1294.0,0
3,324.822,226.494,1261.0,321.869,225.792,1256.0,318.56,225.754,1261.0,315.318,226.024,1261.0,312.438,226.691,1261.0,315.166,227.483,1261.0,318.468,227.648,1261.0,321.719,227.331,1256.0,341.166,225.446,1265.0,343.456,224.268,1261.0,346.479,223.851,1270.0,349.467,223.852,1270.0,351.879,224.429,1270.0,349.551,225.477,1270.0,346.735,225.923,1265.0,343.798,225.86,1261.0,325.971,217.26,1238.0,320.68,215.993,1261.0,314.958,215.554,1280.0,310.818,217.024,1280.0,307.552,219.235,1280.0,308.791,221.056,1275.0,311.977,219.935,1275.0,315.752,219.278,1270.0,320.497,219.435,1256.0,325.211,220.063,1238.0,340.546,216.637,1270.0,344.652,214.895,1280.0,349.013,213.681,1289.0,352.688,214.065,1284.0,355.262,215.589,1289.0,354.906,217.713,1289.0,352.195,217.21,1280.0,349.041,217.327,1280.0,345.297,218.075,1270.0,341.488,219.223,1270.0,330.235,225.882,0.0,329.976,231.362,1234.0,328.439,236.217,1238.0,325.153,240.157,1238.0,326.077,244.54,1234.0,333.108,244.831,1234.0,337.531,244.725,1238.0,341.985,243.913,1243.0,342.631,239.625,1247.0,339.619,235.384,0.0,337.861,230.648,0.0,337.01,225.687,0.0,322.195,253.805,1229.0,326.451,252.042,1225.0,330.927,250.649,1225.0,334.25,251.121,1229.0,337.403,250.35,1234.0,340.828,251.233,1238.0,344.112,252.319,1243.0,341.475,255.667,1234.0,338.544,257.599,1234.0,334.261,258.633,1229.0,329.307,257.962,1221.0,325.45,256.244,1225.0,325.239,254.038,1225.0,329.022,253.905,1221.0,333.744,253.815,1225.0,337.984,253.374,1234.0,341.774,252.894,1238.0,338.52,253.552,1238.0,334.091,254.289,1229.0,329.263,254.112,1221.0,297.64,224.016,1289.0,297.876,230.562,1280.0,298.512,237.528,1275.0,299.938,244.958,1275.0,302.165,252.081,1265.0,305.682,258.352,1261.0,310.489,263.415,1256.0,316.409,267.786,1243.0,323.217,270.972,1234.0,331.27,272.311,1247.0,338.729,270.809,1234.0,344.491,267.07,1247.0,348.915,261.995,1252.0,352.518,256.752,0.0,355.467,250.955,1270.0,357.417,244.392,1275.0,358.853,237.599,1275.0,359.231,230.778,1280.0,358.383,223.72,1284.0,318.545,226.652,1261.0,346.566,224.888,1265.0,334.318,241.174,1238.0,326.717,214.23,1238.0,321.179,212.914,1265.0,314.57,212.467,1280.0,309.44,214.255,1280.0,305.825,216.677,1284.0,339.289,213.803,1275.0,343.545,211.994,1275.0,348.641,210.609,1284.0,353.576,211.105,1294.0,356.788,212.888,1294.0,0
4,318.581,226.625,0.0,316.244,225.015,1261.0,313.273,224.541,1261.0,310.313,224.917,1265.0,308.234,226.052,1265.0,310.162,227.305,1265.0,312.908,227.75,1261.0,315.899,227.453,0.0,335.143,226.017,0.0,337.554,224.211,1265.0,340.673,223.512,1261.0,343.724,223.752,1261.0,346.17,224.857,1265.0,343.83,226.171,1256.0,340.949,226.783,1261.0,337.873,226.692,1261.0,319.11,217.886,1238.0,315.377,216.357,1270.0,311.103,215.607,1280.0,307.584,216.274,1280.0,305.006,217.934,1280.0,305.102,220.047,1280.0,307.914,219.117,1280.0,311.059,218.805,1275.0,314.831,219.301,1265.0,318.766,220.314,1252.0,333.447,217.05,1261.0,338.018,215.237,1270.0,343.125,214.117,1275.0,347.265,214.665,1275.0,350.349,216.278,1280.0,350.286,218.396,1275.0,346.861,217.617,1275.0,343.035,217.485,1270.0,338.572,218.25,1265.0,333.881,219.572,1261.0,322.525,226.364,0.0,321.627,231.551,1238.0,319.813,236.348,1238.0,316.259,240.264,1247.0,316.658,244.226,1243.0,322.575,245.795,1234.0,327.23,245.709,1229.0,334.116,244.138,1234.0,334.876,240.075,1238.0,331.615,236.425,1238.0,330.382,231.515,0.0,330.172,226.226,0.0,312.287,253.026,1229.0,316.646,251.426,1234.0,321.161,250.725,1225.0,324.979,251.444,1225.0,328.902,250.531,1225.0,334.286,251.105,1229.0,339.667,252.471,1238.0,335.415,257.632,1229.0,331.011,260.813,1229.0,325.129,262.063,1225.0,319.589,260.972,1221.0,315.866,258.007,1229.0,313.154,253.805,1229.0,319.285,253.296,1225.0,325.073,253.539,1221.0,331.556,253.029,1225.0,338.708,253.337,1234.0,331.916,256.933,1225.0,325.149,258.202,1221.0,318.983,257.154,1225.0,300.875,226.143,1280.0,300.677,233.378,1270.0,301.425,239.903,1265.0,303.002,246.432,1261.0,305.249,252.509,1261.0,308.305,258.013,1247.0,311.539,262.857,1243.0,315.095,267.442,1247.0,319.496,270.998,1243.0,325.476,272.46,1243.0,332.084,271.324,1238.0,337.927,268.048,1243.0,343.151,263.576,1252.0,347.885,258.659,1256.0,352.068,252.863,1265.0,355.083,246.386,1275.0,356.931,239.455,1275.0,358.086,232.378,1280.0,358.534,224.772,1289.0,313.202,226.207,1261.0,340.739,225.249,1261.0,325.393,241.622,1229.0,320.397,215.317,1238.0,316.352,213.667,1275.0,311.209,212.787,1280.0,306.671,213.702,1284.0,303.664,215.64,1289.0,332.28,214.472,1261.0,337.124,212.56,1275.0,343.026,211.288,1275.0,348.128,211.99,1275.0,351.629,213.82,1289.0,0
5,316.59,226.462,1247.0,314.372,224.889,1252.0,311.468,224.435,1261.0,308.6,224.766,1265.0,306.662,225.816,1270.0,308.414,227.052,0.0,311.046,227.5,0.0,313.983,227.233,1252.0,332.939,225.999,1256.0,335.303,224.215,1256.0,338.443,223.565,1256.0,341.547,223.803,1256.0,344.071,224.875,1261.0,341.622,226.168,1256.0,338.66,226.744,1256.0,335.575,226.646,1256.0,316.951,218.031,1243.0,313.556,216.559,1243.0,309.602,215.756,1289.0,306.354,216.263,1289.0,304.0,217.775,1289.0,304.027,219.813,1284.0,306.545,219.029,1280.0,309.437,218.826,0.0,312.926,219.348,1247.0,316.588,220.316,1243.0,331.398,217.22,1265.0,336.041,215.435,1270.0,341.275,214.292,1270.0,345.485,214.831,1275.0,348.534,216.388,1275.0,348.451,218.491,1270.0,345.016,217.741,1270.0,341.087,217.622,1265.0,336.537,218.367,1265.0,331.754,219.624,1261.0,320.284,226.312,0.0,319.165,231.317,1238.0,317.207,236.078,1238.0,313.694,240.109,1243.0,313.924,243.915,1243.0,319.062,245.471,1229.0,323.599,245.429,1234.0,330.59,244.152,1238.0,331.543,240.215,1243.0,328.556,236.455,1243.0,327.643,231.495,0.0,327.711,226.299,1252.0,310.234,253.124,1229.0,313.903,251.318,1229.0,317.863,250.498,1229.0,321.386,251.207,1221.0,325.146,250.376,1229.0,330.322,251.251,1234.0,335.454,252.927,1238.0,331.412,257.868,1234.0,327.1,260.994,1234.0,321.303,262.171,1221.0,316.111,260.981,1225.0,312.992,257.943,1225.0,311.243,253.839,1225.0,316.356,253.184,1229.0,321.486,253.385,1221.0,327.527,253.089,1229.0,334.19,253.724,1234.0,327.742,257.073,1234.0,321.45,258.214,1221.0,316.032,257.125,1225.0,300.816,225.875,1280.0,300.374,232.681,1265.0,300.965,238.888,1261.0,302.382,245.078,1256.0,304.332,250.914,1247.0,306.875,256.353,1238.0,309.456,261.342,1234.0,312.329,266.133,1238.0,316.105,269.957,1243.0,321.642,271.656,1247.0,328.22,270.743,1247.0,334.319,267.656,1252.0,339.887,263.306,1247.0,344.938,258.524,1256.0,349.524,252.879,1270.0,352.961,246.521,1270.0,355.167,239.694,1280.0,356.703,232.605,1280.0,357.479,225.025,1289.0,311.392,226.019,1261.0,338.52,225.252,1256.0,322.272,241.478,1234.0,318.326,215.566,1243.0,314.631,213.967,1243.0,309.827,213.015,1294.0,305.543,213.749,1294.0,302.737,215.538,1294.0,330.297,214.707,1270.0,335.211,212.824,1270.0,341.212,211.523,1270.0,346.316,212.193,1280.0,349.745,213.947,1284.0,0
6,314.383,226.438,1252.0,311.85,224.844,1256.0,308.76,224.273,1261.0,305.867,224.653,1275.0,303.876,226.052,1280.0,305.921,227.086,0.0,308.68,227.39,1252.0,311.648,227.136,1252.0,329.372,226.244,1252.0,331.814,224.194,1252.0,335.114,223.46,1256.0,338.705,223.925,1256.0,341.59,225.277,1261.0,338.964,226.476,1256.0,335.713,226.935,1256.0,332.349,226.77,1256.0,314.216,217.827,1243.0,310.989,216.431,1243.0,307.299,215.77,1275.0,304.333,216.433,1294.0,302.24,218.115,1289.0,302.358,219.967,1289.0,304.736,219.059,1289.0,307.421,218.816,1275.0,310.555,219.27,1247.0,313.711,220.185,1243.0,328.581,216.875,1261.0,333.511,215.157,1270.0,339.25,214.122,1275.0,343.444,215.185,1275.0,346.705,216.962,1275.0,346.263,219.063,1270.0,342.963,218.103,1265.0,339.062,217.606,1270.0,334.101,218.156,1265.0,329.251,219.336,1261.0,317.708,225.973,0.0,316.499,230.976,1243.0,314.41,236.028,1243.0,311.359,240.256,1243.0,311.834,244.411,1243.0,315.365,244.941,1238.0,319.666,245.085,1234.0,326.172,244.936,1238.0,327.435,240.841,1238.0,324.77,236.532,1238.0,324.154,231.521,0.0,324.322,226.326,1252.0,307.995,253.244,1238.0,310.799,252.266,1229.0,313.972,251.524,1229.0,317.199,252.284,1225.0,320.64,251.795,1225.0,325.326,252.767,1229.0,330.605,254.483,1234.0,326.461,257.642,1234.0,321.951,259.603,1225.0,316.7,260.105,1229.0,312.503,258.901,1229.0,309.956,256.699,1234.0,309.611,253.779,1234.0,313.007,253.99,1225.0,317.322,254.512,1229.0,322.638,254.424,1225.0,328.137,254.826,1234.0,322.58,256.132,1225.0,316.861,256.508,1229.0,312.577,255.62,1229.0,300.102,225.635,1280.0,298.985,231.12,1280.0,298.398,236.954,1265.0,298.927,243.038,1265.0,300.187,249.147,1252.0,302.183,254.877,1243.0,304.551,259.956,1234.0,307.197,265.073,1243.0,310.541,269.317,1243.0,316.398,271.607,1243.0,324.303,271.166,1247.0,331.821,268.915,1252.0,338.68,265.291,1252.0,344.702,260.892,1261.0,349.71,255.094,1270.0,353.143,248.12,1280.0,355.195,240.483,1284.0,356.535,232.838,1280.0,357.147,225.229,1289.0,308.873,225.984,1261.0,335.453,225.41,1256.0,318.876,241.629,1243.0,315.414,215.104,1247.0,311.812,213.575,1252.0,307.16,212.798,1294.0,303.005,213.783,1294.0,300.361,215.837,1299.0,327.613,214.088,1270.0,332.758,212.299,1270.0,339.355,211.171,1270.0,344.551,212.458,1280.0,348.161,214.408,1280.0,0
7,312.885,226.61,1256.0,310.572,225.007,1256.0,307.631,224.418,1261.0,304.926,224.82,1270.0,303.19,226.289,1270.0,305.051,227.244,1261.0,307.612,227.507,1261.0,310.373,227.278,1256.0,327.117,226.493,1252.0,329.351,224.377,1252.0,332.552,223.633,1256.0,336.082,224.155,1261.0,338.905,225.593,1261.0,336.344,226.72,1261.0,333.19,227.15,1256.0,329.939,226.983,1252.0,312.78,217.987,1247.0,309.993,216.674,1247.0,306.809,216.053,1247.0,304.142,216.592,1299.0,302.222,218.117,1289.0,302.242,219.929,1284.0,304.436,219.148,1289.0,306.883,218.979,1247.0,309.587,219.41,1247.0,312.324,220.264,1256.0,326.15,216.923,1270.0,330.927,215.255,1265.0,336.533,214.277,1270.0,340.672,215.363,1270.0,343.923,217.106,1270.0,343.498,219.215,1270.0,340.191,218.262,1265.0,336.314,217.732,1265.0,331.474,218.237,1265.0,326.796,219.351,1261.0,315.833,226.104,1252.0,314.328,230.949,1243.0,312.082,235.894,1243.0,309.178,240.253,1243.0,309.762,244.336,1243.0,312.826,244.664,1238.0,316.742,244.831,1238.0,323.037,245.094,1238.0,324.557,241.132,1243.0,322.172,236.668,1238.0,321.728,231.709,0.0,322.06,226.561,1256.0,306.307,253.661,1234.0,308.483,252.222,1234.0,311.224,251.114,1229.0,314.119,251.852,1229.0,317.274,251.435,1229.0,321.628,252.916,1229.0,326.275,255.182,1229.0,322.688,258.018,1229.0,318.565,259.823,1229.0,313.765,260.256,1225.0,310.049,259.095,1229.0,307.878,256.967,1229.0,308.07,254.127,1229.0,310.762,254.04,1229.0,314.442,254.388,1225.0,319.071,254.555,1225.0,323.696,255.338,1229.0,318.915,256.228,1229.0,314.037,256.469,1225.0,310.476,255.676,1229.0,300.15,225.983,1280.0,298.772,231.225,1275.0,297.993,236.877,1270.0,298.402,242.865,1265.0,299.518,248.917,1252.0,301.241,254.713,1238.0,303.294,259.895,1234.0,305.549,265.064,1238.0,308.406,269.35,1252.0,313.832,271.772,1247.0,321.663,271.532,1243.0,329.345,269.482,1247.0,336.468,265.986,1252.0,342.682,261.674,1265.0,347.843,255.807,1261.0,351.377,248.768,1275.0,353.494,241.047,1275.0,354.811,233.341,1284.0,355.409,225.675,1275.0,307.78,226.147,1261.0,332.935,225.638,1256.0,316.295,241.609,1243.0,314.002,215.46,1252.0,310.833,213.998,1252.0,306.716,213.241,1294.0,302.907,214.073,1294.0,300.45,215.961,1299.0,325.227,214.286,1265.0,330.212,212.547,1270.0,336.644,211.482,1275.0,341.718,212.778,1275.0,345.285,214.672,1280.0,0
8,312.829,226.697,1252.0,310.514,225.095,1256.0,307.58,224.507,1261.0,304.875,224.907,1265.0,303.13,226.373,1275.0,304.993,227.336,0.0,307.554,227.603,1256.0,310.317,227.372,1256.0,327.097,226.565,1252.0,329.336,224.458,1252.0,332.53,223.714,1256.0,336.052,224.224,1256.0,338.88,225.652,1261.0,336.315,226.786,1256.0,333.166,227.222,1256.0,329.924,227.061,1252.0,312.714,217.988,1252.0,309.923,216.662,1247.0,306.736,216.036,1256.0,304.064,216.572,1294.0,302.14,218.098,1275.0,302.15,219.938,1275.0,304.353,219.151,1275.0,306.809,218.979,1256.0,309.525,219.414,1247.0,312.275,220.277,1252.0,326.097,216.909,1265.0,330.858,215.233,1265.0,336.448,214.258,1275.0,340.59,215.326,1275.0,343.853,217.063,1270.0,343.464,219.202,1265.0,340.122,218.244,1265.0,336.226,217.719,1265.0,331.387,218.231,1265.0,326.716,219.356,1265.0,315.779,226.214,0.0,314.289,231.091,1252.0,312.056,236.064,1247.0,309.147,240.436,1247.0,309.735,244.527,1243.0,312.849,244.903,1238.0,316.793,245.064,1238.0,323.155,245.269,1238.0,324.652,241.275,1238.0,322.218,236.8,1238.0,321.748,231.819,0.0,322.051,226.65,1256.0,306.213,253.906,1234.0,308.441,252.532,1234.0,311.196,251.462,1229.0,314.13,252.185,1229.0,317.319,251.744,1234.0,321.78,253.133,1234.0,326.637,255.319,1234.0,322.9,258.2,1234.0,318.669,260.025,1234.0,313.765,260.478,1229.0,309.994,259.316,1229.0,307.802,257.191,1229.0,307.911,254.363,1234.0,310.674,254.327,1229.0,314.434,254.69,1229.0,319.202,254.799,1229.0,324.073,255.509,1234.0,319.069,256.461,1225.0,314.013,256.729,1225.0,310.365,255.937,1229.0,300.08,226.093,1275.0,298.715,231.382,1275.0,297.936,237.057,1270.0,298.353,243.059,1265.0,299.497,249.131,1252.0,301.261,254.939,1238.0,303.369,260.147,1234.0,305.676,265.341,1238.0,308.573,269.65,1247.0,314.02,272.07,1252.0,321.854,271.819,1243.0,329.553,269.753,1247.0,336.702,266.232,1252.0,342.932,261.887,1256.0,348.098,255.999,1270.0,351.622,248.935,1270.0,353.712,241.191,1275.0,354.994,233.451,1275.0,355.564,225.748,1284.0,307.724,226.236,1256.0,332.912,225.71,1256.0,316.326,241.792,1243.0,313.945,215.464,1256.0,310.772,213.986,1252.0,306.649,213.223,1294.0,302.833,214.05,1294.0,300.37,215.937,1294.0,325.167,214.271,1270.0,330.14,212.523,1270.0,336.554,211.459,1275.0,341.628,212.734,1275.0,345.208,214.621,1280.0,0
9,313.488,226.516,1252.0,311.105,224.854,1256.0,308.109,224.25,1256.0,305.309,224.658,1265.0,303.429,226.101,1275.0,305.407,227.08,0.0,308.065,227.372,1256.0,310.9,227.157,1256.0,328.102,226.487,1252.0,330.445,224.486,1256.0,333.679,223.799,1261.0,337.157,224.312,1261.0,339.944,225.743,1261.0,337.353,226.814,1261.0,334.224,227.201,1256.0,330.982,227.019,1256.0,313.433,217.762,1252.0,310.318,216.335,1247.0,306.751,215.698,1256.0,303.887,216.357,1299.0,301.861,218.026,1294.0,301.939,219.924,1280.0,304.26,219.014,1270.0,306.879,218.769,1247.0,309.95,219.222,1252.0,313.036,220.145,1252.0,327.017,216.927,1270.0,331.81,215.306,1270.0,337.399,214.448,1270.0,341.55,215.568,1275.0,344.758,217.396,1270.0,344.397,219.558,1270.0,341.012,218.495,1265.0,337.104,217.942,1270.0,332.238,218.399,1265.0,327.522,219.474,1261.0,316.64,226.182,0.0,315.307,231.221,0.0,313.177,236.211,1243.0,310.25,240.492,1247.0,310.813,244.586,1243.0,314.407,245.154,1243.0,318.423,245.3,1243.0,324.937,245.262,1238.0,326.273,241.172,1238.0,323.623,236.812,1243.0,322.93,231.816,0.0,323.058,226.548,1256.0,307.727,253.809,1234.0,310.238,252.473,1234.0,313.209,251.503,1238.0,316.243,252.307,1234.0,319.5,251.805,1234.0,324.016,253.081,1234.0,328.841,254.994,1238.0,325.031,257.74,1234.0,320.857,259.398,1234.0,316.052,259.819,1234.0,312.156,258.795,1229.0,309.674,256.871,1238.0,309.427,254.219,1229.0,312.576,254.317,1229.0,316.477,254.736,1234.0,321.348,254.764,1234.0,326.379,255.206,1234.0,321.262,255.909,1234.0,316.166,256.115,1229.0,312.283,255.442,1229.0,299.729,225.947,1280.0,298.527,231.725,1275.0,297.92,237.744,1275.0,298.464,244.002,1261.0,299.754,250.311,1247.0,301.792,256.246,1238.0,304.22,261.456,1234.0,306.953,266.577,1238.0,310.427,270.735,1243.0,316.237,272.954,1247.0,324.053,272.561,1247.0,331.646,270.371,1256.0,338.589,266.692,1252.0,344.584,262.157,1261.0,349.478,256.106,0.0,352.697,248.965,1270.0,354.545,241.253,1275.0,355.623,233.513,1280.0,356.055,225.749,1294.0,308.226,225.998,1256.0,333.986,225.733,1256.0,317.738,241.874,1243.0,314.65,215.165,1256.0,311.156,213.595,1256.0,306.632,212.834,1299.0,302.599,213.806,1294.0,300.033,215.84,1299.0,326.105,214.217,1270.0,331.132,212.526,1270.0,337.558,211.593,1275.0,342.661,212.943,1280.0,346.207,214.95,1280.0,0
10,314.591,226.297,1256.0,312.066,224.611,1256.0,308.952,223.995,1261.0,305.998,224.342,1275.0,303.922,225.666,1275.0,306.034,226.751,1270.0,308.849,227.106,1261.0,311.835,226.909,1252.0,329.9,226.422,1252.0,332.423,224.536,1256.0,335.749,223.903,1261.0,339.251,224.366,1261.0,342.07,225.699,1265.0,339.42,226.816,1256.0,336.224,227.211,1256.0,332.891,227.004,1256.0,314.453,217.791,1252.0,310.912,216.199,1243.0,306.835,215.389,1294.0,303.702,216.114,1294.0,301.541,217.895,1294.0,301.738,219.823,1294.0,304.181,218.865,1289.0,306.996,218.625,1289.0,310.497,219.177,1247.0,314.002,220.213,1256.0,328.857,217.209,1265.0,333.835,215.557,1270.0,339.547,214.616,1275.0,343.753,215.723,1280.0,346.974,217.559,1280.0,346.598,219.72,1275.0,343.182,218.692,1270.0,339.237,218.199,1270.0,334.268,218.69,1270.0,329.369,219.79,1265.0,318.065,226.161,0.0,316.997,231.456,1243.0,315.035,236.626,1243.0,312.062,240.844,1243.0,312.548,244.96,1243.0,316.477,245.775,1243.0,320.733,245.933,1238.0,327.341,245.6,1243.0,328.51,241.388,1238.0,325.629,237.082,1247.0,324.763,231.917,0.0,324.762,226.466,1256.0,309.508,253.935,1234.0,312.379,253.159,1229.0,315.508,252.499,1229.0,318.653,253.373,1234.0,321.988,252.775,1229.0,326.51,253.639,1234.0,331.543,254.901,1238.0,327.613,257.493,1234.0,323.361,259.077,1234.0,318.486,259.494,1234.0,314.407,258.532,1229.0,311.704,256.767,1229.0,311.235,254.422,1229.0,314.762,255.058,1229.0,318.842,255.661,1234.0,323.801,255.432,1234.0,328.969,255.208,1234.0,323.703,255.661,1234.0,318.477,255.845,1234.0,314.373,255.288,1229.0,299.553,225.414,1280.0,298.708,231.568,1280.0,298.521,237.889,1270.0,299.378,244.352,1265.0,300.873,250.79,1256.0,303.198,256.724,1238.0,305.913,261.806,1234.0,308.985,266.743,1243.0,312.889,270.674,1247.0,318.912,272.686,1247.0,326.594,272.199,1252.0,333.959,269.955,1252.0,340.609,266.247,1252.0,346.413,261.715,1270.0,351.238,255.661,1275.0,354.346,248.553,1284.0,356.119,240.897,1289.0,357.208,233.17,1280.0,357.667,225.376,1289.0,309.031,225.71,1261.0,335.991,225.745,1256.0,319.792,242.276,1238.0,315.7,215.061,1252.0,311.819,213.341,1252.0,306.765,212.392,1294.0,302.371,213.443,1294.0,299.644,215.604,1299.0,327.918,214.367,1270.0,333.121,212.648,1270.0,339.694,211.626,1275.0,344.909,212.974,1280.0,348.49,215.002,1284.0,0
